CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;TRUE;170;1;2;NA;NA;1.35;2.32;0.79
2;FALSE;70;4;0;NA;NA;0.1;1.07;0.34
3;FALSE;120;6;1;14;NA;1.97;0.45;0.57
4;FALSE;20;3;2;NA;NA;0.72;1.7;0.12
5;FALSE;145;2;0;NA;NA;1.66;1.39;0.01
6;FALSE;45;5;1;NA;9;0.41;0.14;0.46
7;TRUE;95;0;0;NA;NA;1.04;2.01;0.68
8;FALSE;195;3;2;NA;NA;2.29;0.76;0.23
9;FALSE;108;0;2;NA;NA;2.44;2.48;0.85
10;FALSE;8;3;1;NA;NA;1.19;1.23;0.4
11;FALSE;58;1;1;NA;NA;0.57;1.85;0.17
12;FALSE;157;5;0;NA;6;1.82;0.6;0.62
13;FALSE;182;2;0;NA;NA;2.13;1.54;0.06
14;FALSE;33;0;0;NA;NA;0.26;2.17;0.74
15;FALSE;132;4;1;NA;NA;1.51;0.92;0.29
16;FALSE;114;3;1;NA;NA;0.02;1.15;0.15
17;FALSE;64;1;2;NA;NA;1.9;0.53;0.82
18;FALSE;164;5;1;NA;8;0.65;1.78;0.37
19;FALSE;89;4;2;NA;NA;1.58;1.46;0.26
20;FALSE;188;0;0;NA;NA;0.33;0.21;0.71
21;FALSE;39;2;1;NA;NA;2.21;0.84;0.03
22;FALSE;139;5;2;NA;7;0.96;2.09;0.48
23;FALSE;52;5;0;NA;10;2.37;2.25;0.65
24;FALSE;151;2;2;NA;NA;1.12;1;0.2
25;FALSE;2;0;1;NA;NA;1.74;0.37;0.88
26;FALSE;101;3;0;NA;NA;0.49;1.62;0.43
27;FALSE;27;4;2;NA;NA;2.05;1.31;0.31
28;FALSE;126;1;1;NA;NA;0.8;0.06;0.76
29;FALSE;76;2;0;NA;NA;1.43;0.68;0.09
30;FALSE;111;5;2;NA;2;2.17;1.03;0.75
31;FALSE;11;2;0;NA;NA;0.92;2.28;0.3
32;FALSE;61;3;2;NA;NA;0.29;0.41;0.08
33;FALSE;160;0;1;NA;NA;1.54;1.66;0.53
34;FALSE;36;6;1;6;NA;0.61;0.72;0.86
35;FALSE;136;2;2;NA;NA;1.86;1.97;0.41
36;FALSE;185;4;0;NA;NA;2.48;0.1;0.19
37;FALSE;86;1;1;NA;NA;1.23;1.35;0.64
38;FALSE;73;3;1;NA;NA;0.45;2.44;0.24
39;TRUE;123;1;0;NA;NA;2.33;1.82;0.47
40;FALSE;24;5;1;NA;3;1.08;0.57;0.02
41;FALSE;98;6;0;13;NA;0.76;0.88;0.81
42;FALSE;198;2;1;NA;NA;2.01;2.13;0.36
43;FALSE;148;4;0;NA;NA;1.39;0.25;0.13
44;FALSE;48;0;2;NA;NA;0.14;1.5;0.58
45;FALSE;80;4;1;NA;NA;1.78;2.05;0.22
46;FALSE;179;1;2;NA;NA;0.53;0.8;0.67
47;FALSE;30;2;2;NA;NA;2.4;0.17;0.44
48;FALSE;129;6;0;10;NA;1.15;1.42;0.89
49;FALSE;55;0;0;NA;NA;2.09;1.11;0.55
50;FALSE;154;3;1;NA;NA;0.84;2.36;0.1
51;TRUE;5;5;2;NA;5;1.47;1.74;0.78
52;FALSE;104;1;0;NA;NA;0.22;0.49;0.33
53;FALSE;92;2;2;NA;NA;1.31;0.02;0.39
54;FALSE;192;5;1;NA;4;0.06;1.27;0.84
55;FALSE;42;4;0;NA;NA;1.94;1.89;0.16
56;FALSE;142;0;1;NA;NA;0.69;0.64;0.61
57;FALSE;67;6;1;9;NA;2.25;1.58;0.72
58;FALSE;167;3;0;NA;NA;1;0.33;0.27
59;TRUE;17;1;0;NA;NA;1.62;0.96;0.5
60;FALSE;117;4;2;NA;NA;0.37;2.21;0.05
61;FALSE;140;3;1;NA;NA;0.51;2.3;0.55
62;FALSE;190;4;2;NA;NA;1.13;0.43;0.77
63;FALSE;90;1;0;NA;NA;2.38;1.68;0.32
64;FALSE;16;2;1;NA;NA;2.07;1.99;0.66
65;FALSE;115;5;0;NA;10;0.82;0.74;0.21
66;TRUE;182;5;0;NA;3;2.41;2.42;0.8
67;FALSE;90;1;0;NA;NA;2.12;1.43;0.53
68;FALSE;89;5;0;NA;10;2.47;2.23;0.37
69;FALSE;125;6;1;5;NA;2.11;1.37;0.72
70;FALSE;80;4;2;NA;NA;2.27;1.44;0.6
71;FALSE;58;5;2;NA;3;2.18;1.32;0.58
72;FALSE;44;1;0;NA;NA;1.42;1.19;0.11
73;FALSE;96;5;2;NA;4;1.96;2.16;0.36
74;FALSE;176;3;0;NA;NA;1.48;1.06;0.25
75;FALSE;47;6;1;17;NA;2.08;2.39;0.42
76;TRUE;166;4;1;NA;NA;2.37;0.98;0.57
77;FALSE;145;0;1;NA;NA;2.05;1.37;0.2
78;FALSE;88;4;1;NA;NA;1.77;2.45;0.33
79;TRUE;180;0;0;NA;NA;2.34;2.06;0.67
80;FALSE;133;5;2;NA;8;0.61;1.27;0.6
81;FALSE;52;1;1;NA;NA;1.29;1.41;0.74
82;FALSE;113;6;0;6;NA;1.67;0.66;0.73
83;FALSE;126;2;1;NA;NA;1.45;2.39;0.69
84;FALSE;107;4;0;NA;NA;0.43;2.26;0.66
85;FALSE;192;1;2;NA;NA;2.3;1.92;0.56
86;FALSE;114;5;2;NA;9;1.27;1.82;0.49
87;FALSE;148;3;0;NA;NA;1.7;1.55;0.08
88;FALSE;149;2;0;NA;NA;2;1.43;0.61
89;FALSE;30;2;0;NA;NA;0.53;0.84;0.75
90;FALSE;82;4;0;NA;NA;2.07;0.4;0.22
91;FALSE;4;5;1;NA;10;0.35;1.89;0.24
92;FALSE;16;5;2;NA;2;1.01;1.92;0.81
93;FALSE;59;3;0;NA;NA;1.47;2.36;0.36
94;FALSE;81;1;1;NA;NA;1.67;1.22;0.09
95;FALSE;141;0;0;NA;NA;1.58;2.48;0.41
96;FALSE;10;1;2;NA;NA;0.34;2.4;0.66
97;FALSE;151;5;0;NA;10;1.44;0.91;0.61
98;TRUE;183;4;0;NA;NA;1.9;2.49;0.31
99;FALSE;97;6;1;15;NA;2.49;2.38;0.86
100;FALSE;26;1;0;NA;NA;2.06;1.72;0.78
101;FALSE;45;1;2;NA;NA;1.19;2.06;0.67
102;FALSE;170;1;2;NA;NA;1.17;2.17;0.77
103;FALSE;48;1;2;NA;NA;0.92;1.77;0.38
104;FALSE;192;1;0;NA;NA;1.84;2.22;0.71
105;FALSE;159;4;2;NA;NA;0.5;1.13;0.56
106;FALSE;57;1;2;NA;NA;2.42;1.35;0.76
107;FALSE;122;3;0;NA;NA;1.82;1.69;0.52
108;FALSE;163;4;1;NA;NA;1.3;2.31;0.68
109;FALSE;198;0;2;NA;NA;1.92;1.45;0.11
110;FALSE;174;1;1;NA;NA;1.36;1.12;0.55
111;FALSE;54;6;0;10;NA;1.43;1.15;0.89
112;FALSE;95;5;0;NA;3;0.99;0.9;0.5
113;FALSE;68;1;2;NA;NA;1.69;0.86;0.49
114;FALSE;191;1;1;NA;NA;1.17;1.26;0.79
115;FALSE;89;5;2;NA;5;2.07;1.9;0.44
116;FALSE;157;4;1;NA;NA;1.93;2.4;0.54
117;FALSE;169;0;1;NA;NA;2.09;1.35;0.54
118;FALSE;175;2;0;NA;NA;2.01;1.61;0.42
119;FALSE;121;4;1;NA;NA;2.44;0.54;0.64
120;TRUE;153;4;2;NA;NA;1.82;2.08;0.66
121;FALSE;152;1;0;NA;NA;2.4;1.56;0.67
122;FALSE;161;3;0;NA;NA;2.45;2.33;0.89
123;FALSE;163;0;2;NA;NA;2;1.85;0.44
124;FALSE;180;1;0;NA;NA;1.79;2.15;0.24
125;FALSE;135;4;0;NA;NA;1.35;2.3;0.3
126;FALSE;166;4;2;NA;NA;1.99;2.26;0.34
127;FALSE;128;4;2;NA;NA;1.28;2.17;0.49
128;FALSE;158;0;0;NA;NA;2.01;2.05;0.79
129;FALSE;93;5;0;NA;2;2.46;2.29;0.69
130;FALSE;91;4;2;NA;NA;1.79;2;0.52
131;FALSE;175;3;0;NA;NA;1.76;2.44;0.3
132;FALSE;145;5;2;NA;2;1.78;1.62;0.55
133;TRUE;76;1;0;NA;NA;2.36;2.07;0.7
134;FALSE;149;1;0;NA;NA;2.38;2.13;0.73
135;FALSE;41;5;0;NA;7;2.1;1.71;0.63
136;FALSE;187;4;1;NA;NA;2.39;2.37;0.55
