CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
18;TRUE;FALSE;45;4;0;NA;NA;2.46;0.66;0.84;18;18
23;TRUE;FALSE;20;1;0;NA;NA;1.52;2.22;0.28;23;23
24;TRUE;FALSE;57;0;0;NA;NA;2.3;2.38;0.23;24;24
100;TRUE;FALSE;143;5;0;NA;5;0.44;2.48;0.35;100;100
115;TRUE;FALSE;62;1;1;NA;NA;1.15;1.46;0.77;115;115
156;TRUE;FALSE;35;1;0;NA;NA;1.84;2.01;0.26;156;156
166;TRUE;FALSE;114;1;0;NA;NA;0.19;2.48;0.36;166;166
219;TRUE;FALSE;67;4;0;NA;NA;1.4;2.18;0.06;219;219
253;TRUE;FALSE;72;0;0;NA;NA;2.15;2.46;0.35;253;253
299;TRUE;FALSE;64;1;0;NA;NA;0.74;2.11;0.44;299;299
343;TRUE;FALSE;13;1;0;NA;NA;1.43;2.38;0.2;343;343
366;TRUE;FALSE;55;0;0;NA;NA;2.11;2.48;0.27;366;366
418;TRUE;FALSE;52;0;0;NA;NA;2.02;2.46;0.25;418;418
425;TRUE;TRUE;9;1;0;NA;NA;1.54;2.48;0.26;425;425
428;TRUE;FALSE;63;0;0;NA;NA;2;2.43;0.2;428;428
