CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
103;FALSE;61;2;1;NA;NA;0.64;0.5;0.01
104;FALSE;185;2;2;NA;NA;1.58;0.19;0.13
105;FALSE;86;5;0;NA;7;0.33;1.44;0.58
106;FALSE;36;0;2;NA;NA;0.95;0.81;0.8
107;FALSE;135;3;1;NA;NA;2.2;2.06;0.35
108;FALSE;17;5;2;NA;8;2.44;1.2;0.55
109;FALSE;117;2;1;NA;NA;1.19;2.45;0.1
110;FALSE;67;0;0;NA;NA;1.81;1.83;0.77
111;FALSE;167;4;2;NA;NA;0.56;0.58;0.32
112;FALSE;42;3;1;NA;NA;1.5;2.14;0.21
113;FALSE;142;6;0;11;NA;0.25;0.89;0.66
114;FALSE;92;4;0;NA;NA;2.12;0.27;0.44
115;FALSE;191;1;2;NA;NA;0.87;1.52;0.89
116;FALSE;104;4;2;NA;NA;0.72;0.42;0.27
117;TRUE;5;0;1;NA;NA;1.97;1.67;0.72
118;FALSE;154;2;0;NA;NA;0.09;2.3;0.04
119;FALSE;129;0;1;NA;NA;0.4;1.36;0.83
120;FALSE;30;3;0;NA;NA;1.65;0.11;0.38
121;FALSE;80;1;2;NA;NA;2.28;1.98;0.15
122;FALSE;179;5;1;NA;9;1.03;0.73;0.6
123;FALSE;180;1;1;NA;NA;1.43;1.64;0.47
124;FALSE;80;5;0;NA;10;0.18;0.39;0.02
125;FALSE;130;6;1;15;NA;2.05;1.02;0.7
126;FALSE;31;3;2;NA;NA;0.8;2.27;0.25
127;FALSE;6;5;2;NA;7;0.49;0.71;0.81
128;FALSE;105;2;0;NA;NA;1.74;1.96;0.36
129;FALSE;155;4;2;NA;NA;2.37;0.08;0.14
130;FALSE;55;0;1;NA;NA;1.12;1.33;0.59
131;FALSE;167;2;1;NA;NA;1.9;2.11;0.42
132;FALSE;18;1;0;NA;NA;0.02;1.49;0.64
133;FALSE;118;4;1;NA;NA;1.27;0.24;0.19
134;FALSE;104;3;1;NA;NA;0.82;1.94;0.18
135;FALSE;30;0;2;NA;NA;0.7;1.31;0.54
136;FALSE;109;0;1;NA;NA;0.73;0.63;0.46
137;FALSE;169;0;2;NA;NA;1.94;0.92;0.03
138;FALSE;58;3;0;NA;NA;0.02;1.75;0.39
139;TRUE;22;0;0;NA;NA;1.88;1.54;0.53
140;FALSE;117;4;0;NA;NA;1.92;1.3;0.42
141;FALSE;48;1;1;NA;NA;0.54;1.9;0.55
142;FALSE;159;0;0;NA;NA;1.01;1.86;0.08
143;FALSE;25;6;0;9;NA;0.59;1.29;0.5
144;FALSE;10;5;2;NA;9;1.99;1.72;0.62
145;FALSE;72;3;0;NA;NA;1.56;2.01;0.86
146;FALSE;65;1;0;NA;NA;1.74;0.89;0.31
147;FALSE;32;5;1;NA;3;1.3;1.63;0.7
148;FALSE;3;4;2;NA;NA;0.66;0.93;0.5
149;FALSE;124;0;0;NA;NA;1.98;1.71;0.04
150;FALSE;65;4;2;NA;NA;2.49;1.84;0.66
151;FALSE;105;0;2;NA;NA;1.8;1.65;0.11
152;FALSE;107;0;0;NA;NA;1.5;2.35;0.55
153;FALSE;100;5;1;NA;6;2.44;0.31;0.46
154;FALSE;60;3;0;NA;NA;0.92;0.32;0.42
