CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;FALSE;FALSE;as;3;0.5;4.93;0.04;81;NA;NA;NA;50;1
2;FALSE;FALSE;eas;1;3;9.93;0.53;33;NA;NA;87;27;0
3;FALSE;FALSE;mmas;0;4.25;7.43;0.29;57;NA;NA;NA;NA;NA
4;FALSE;FALSE;acs;2;1.75;2.43;0.78;9;0.98;NA;NA;15;0
5;TRUE;FALSE;ras;3;4.87;8.68;0.66;21;NA;10;NA;33;1
6;FALSE;FALSE;as;1;2.37;3.68;0.16;69;NA;NA;NA;10;0
7;FALSE;FALSE;acs;0;1.12;1.18;0.91;45;0.35;NA;NA;NA;NA
8;FALSE;FALSE;eas;2;3.62;6.18;0.41;93;NA;NA;368;21;0
9;FALSE;FALSE;ras;2;0.19;6.81;0.22;51;NA;91;NA;41;0
10;FALSE;FALSE;as;0;2.69;1.81;0.72;99;NA;NA;NA;NA;NA
11;FALSE;FALSE;mmas;3;1.44;9.31;0.97;75;NA;NA;NA;7;1
12;FALSE;FALSE;acs;1;3.94;4.31;0.47;27;0.17;NA;NA;30;0
13;FALSE;FALSE;mmas;2;4.56;0.56;0.6;63;NA;NA;NA;35;0
14;FALSE;FALSE;ras;0;2.06;5.56;0.1;15;NA;29;NA;NA;NA
15;TRUE;FALSE;acs;3;3.31;3.06;0.35;39;0.54;NA;NA;24;1
16;FALSE;FALSE;eas;1;0.81;8.06;0.84;87;NA;NA;134;47;0
17;FALSE;FALSE;mmas;2;0.97;2.74;0.75;30;NA;NA;NA;11;1
18;FALSE;FALSE;ras;0;3.47;7.74;0.26;78;NA;44;NA;NA;NA
19;FALSE;FALSE;as;1;4.72;5.24;1;6;NA;NA;NA;23;1
20;FALSE;FALSE;eas;3;2.22;0.24;0.5;54;NA;NA;157;46;0
21;FALSE;FALSE;ras;1;0.34;1.49;0.38;90;NA;57;NA;5;1
22;FALSE;FALSE;as;3;2.84;6.49;0.87;42;NA;NA;NA;28;0
23;FALSE;FALSE;eas;0;1.59;3.99;0.63;18;NA;NA;251;NA;NA
24;FALSE;FALSE;acs;2;4.09;8.99;0.13;66;0.01;NA;NA;17;1
25;FALSE;FALSE;mmas;1;3.16;0.87;0.07;48;NA;NA;NA;31;1
26;FALSE;FALSE;acs;3;0.66;5.87;0.56;96;0.45;NA;NA;8;0
27;FALSE;FALSE;as;2;1.91;8.37;0.32;24;NA;NA;NA;43;1
28;FALSE;FALSE;eas;0;4.41;3.37;0.81;72;NA;NA;298;NA;NA
29;FALSE;FALSE;mmas;0;0.03;9.62;0.44;36;NA;NA;NA;NA;NA
30;FALSE;FALSE;ras;2;2.53;4.62;0.94;84;NA;76;NA;37;1
31;FALSE;FALSE;acs;1;1.28;7.12;0.69;60;0.82;NA;NA;48;1
32;FALSE;FALSE;eas;3;3.78;2.12;0.19;12;NA;NA;17;25;0
33;FALSE;FALSE;mmas;3;0.27;0.71;0.27;7;NA;NA;NA;19;0
34;FALSE;FALSE;acs;1;2.77;5.71;0.77;55;0.59;NA;NA;42;1
35;FALSE;FALSE;ras;2;1.52;3.21;0.52;79;NA;71;NA;30;1
36;FALSE;FALSE;as;0;4.02;8.21;0.02;31;NA;NA;NA;NA;NA
37;FALSE;FALSE;as;2;3.39;9.46;0.15;19;NA;NA;NA;48;1
38;FALSE;FALSE;eas;0;0.89;4.46;0.64;67;NA;NA;661;NA;NA
39;FALSE;FALSE;mmas;1;2.14;1.96;0.39;43;NA;NA;NA;36;1
40;TRUE;FALSE;ras;3;4.64;6.96;0.89;91;NA;33;NA;13;0
41;FALSE;FALSE;mmas;3;1.83;5.09;0.7;49;NA;NA;NA;33;0
42;FALSE;FALSE;ras;1;4.33;0.09;0.21;97;NA;90;NA;10;1
43;FALSE;FALSE;acs;2;0.58;7.59;0.46;73;0.28;NA;NA;22;1
44;FALSE;FALSE;eas;0;3.08;2.59;0.95;25;NA;NA;614;NA;NA
45;FALSE;FALSE;acs;0;2.45;8.84;0.33;85;0.9;NA;NA;NA;NA
46;FALSE;FALSE;mmas;2;4.95;3.84;0.83;37;NA;NA;NA;5;1
47;FALSE;FALSE;eas;3;3.7;1.34;0.09;61;NA;NA;521;39;0
48;FALSE;FALSE;as;1;1.2;6.34;0.58;13;NA;NA;NA;16;1
49;FALSE;FALSE;ras;3;1.05;9.78;0.8;28;NA;43;NA;38;1
50;FALSE;FALSE;mmas;1;3.55;4.78;0.3;76;NA;NA;NA;15;0
51;FALSE;FALSE;acs;0;4.8;2.28;0.55;52;0.12;NA;NA;NA;NA
52;FALSE;FALSE;eas;2;2.3;7.28;0.05;100;NA;NA;732;26;0
53;FALSE;FALSE;as;3;4.17;3.53;0.43;88;NA;NA;NA;43;1
54;FALSE;FALSE;ras;1;1.67;8.53;0.92;40;NA;80;NA;20;0
55;FALSE;FALSE;mmas;0;0.42;6.03;0.18;64;NA;NA;NA;NA;NA
56;FALSE;FALSE;acs;2;2.92;1.03;0.67;16;0.74;NA;NA;9;0
57;FALSE;FALSE;eas;2;3.86;5.4;0.36;46;NA;NA;591;46;0
58;FALSE;FALSE;as;0;1.36;0.4;0.86;94;NA;NA;NA;NA;NA
59;FALSE;FALSE;ras;1;0.11;2.9;0.12;22;NA;87;NA;35;0
60;FALSE;FALSE;mmas;3;2.61;7.9;0.61;70;NA;NA;NA;12;1
61;TRUE;FALSE;acs;3;1.98;4.15;0.24;34;0.81;NA;NA;17;1
62;FALSE;FALSE;eas;1;4.48;9.15;0.74;82;NA;NA;497;40;0
63;FALSE;FALSE;as;2;0.73;1.65;0.98;58;NA;NA;NA;29;0
64;FALSE;FALSE;ras;0;3.23;6.65;0.49;10;NA;24;NA;NA;NA
65;FALSE;FALSE;mmas;0;3.74;8.92;0.77;12;NA;NA;NA;NA;NA
66;FALSE;FALSE;ras;2;1.24;3.92;0.28;60;NA;39;NA;13;1
67;FALSE;FALSE;eas;1;4.99;6.42;0.03;84;NA;NA;280;24;1
68;FALSE;FALSE;as;3;2.49;1.42;0.53;36;NA;NA;NA;47;0
69;FALSE;FALSE;as;1;0.62;0.17;0.65;24;NA;NA;NA;7;1
70;FALSE;FALSE;ras;3;3.12;5.17;0.15;72;NA;51;NA;30;0
71;FALSE;FALSE;mmas;2;4.37;7.67;0.9;48;NA;NA;NA;19;1
72;FALSE;FALSE;acs;0;1.87;2.67;0.4;96;0.24;NA;NA;NA;NA
73;FALSE;FALSE;mmas;2;2.8;3.29;0.09;6;NA;NA;NA;39;1
74;FALSE;FALSE;ras;0;0.3;8.29;0.59;54;NA;83;NA;NA;NA
75;FALSE;FALSE;eas;1;1.55;5.79;0.34;30;NA;NA;327;50;1
76;TRUE;FALSE;acs;3;4.05;0.79;0.84;78;0.92;NA;NA;27;0
77;FALSE;FALSE;as;0;4.68;4.54;0.22;42;NA;NA;NA;NA;NA
78;FALSE;FALSE;eas;2;2.18;9.54;0.71;90;NA;NA;46;44;1
79;FALSE;FALSE;mmas;3;0.93;7.04;0.46;18;NA;NA;NA;10;0
80;FALSE;FALSE;acs;1;3.43;2.04;0.96;66;0.3;NA;NA;33;1
81;FALSE;FALSE;as;3;4.84;9.85;0.37;99;NA;NA;NA;31;1
82;FALSE;FALSE;ras;1;2.34;4.85;0.87;51;NA;5;NA;8;0
83;FALSE;FALSE;eas;0;1.09;2.35;0.12;75;NA;NA;69;NA;NA
84;FALSE;FALSE;acs;2;3.59;7.35;0.62;27;0.39;NA;NA;20;0
85;FALSE;FALSE;acs;0;4.21;6.1;0.74;39;0.77;NA;NA;NA;NA
86;FALSE;FALSE;mmas;2;1.71;1.1;0.25;87;NA;NA;NA;14;0
87;FALSE;FALSE;as;1;2.96;8.6;0.5;63;NA;NA;NA;26;0
88;FALSE;FALSE;eas;3;0.46;3.6;0.99;15;NA;NA;351;49;1
89;FALSE;FALSE;ras;0;2.65;0.48;0.31;21;NA;98;NA;NA;NA
90;FALSE;FALSE;as;2;0.15;5.48;0.8;69;NA;NA;NA;40;0
91;FALSE;FALSE;mmas;1;3.9;2.98;0.56;93;NA;NA;NA;29;0
92;FALSE;FALSE;as;3;4.64;3.82;0.98;74;NA;NA;NA;6;0
93;FALSE;FALSE;eas;1;1.21;7.31;0.05;42;NA;NA;37;16;1
94;FALSE;FALSE;ras;0;2.29;7.06;0.93;85;NA;63;NA;NA;NA
95;FALSE;FALSE;acs;1;2.62;6.68;0.6;35;0.62;NA;NA;19;0
96;FALSE;FALSE;eas;2;2.23;4.76;0.2;95;NA;NA;667;25;0
97;FALSE;FALSE;ras;3;1.74;6.61;0.53;39;NA;40;NA;19;1
98;FALSE;FALSE;acs;1;4.42;2.6;0.55;88;0.59;NA;NA;40;0
99;FALSE;FALSE;acs;3;3.65;7.87;0.16;76;0.86;NA;NA;39;1
100;FALSE;FALSE;ras;2;4.31;3.35;0.31;91;NA;58;NA;48;1
101;FALSE;FALSE;acs;0;4.05;3.41;0.43;55;0.56;NA;NA;NA;NA
102;FALSE;FALSE;as;0;3.12;0.87;0.19;65;NA;NA;NA;NA;NA
103;FALSE;FALSE;mmas;3;2.24;8.05;0.45;38;NA;NA;NA;35;0
104;FALSE;FALSE;ras;3;3.28;5.1;0.68;56;NA;63;NA;24;0
105;FALSE;FALSE;as;0;3.92;3.94;0.89;38;NA;NA;NA;NA;NA
106;FALSE;FALSE;mmas;2;4.62;2.73;0.47;97;NA;NA;NA;43;0
107;FALSE;FALSE;eas;0;3.71;2.55;0.94;80;NA;NA;709;NA;NA
108;FALSE;FALSE;eas;3;3.56;5.68;0.36;65;NA;NA;90;50;1
109;FALSE;FALSE;ras;2;3.98;8.04;0.19;99;NA;50;NA;10;0
110;FALSE;FALSE;mmas;1;3.58;6.01;0.79;20;NA;NA;NA;33;1
111;FALSE;FALSE;acs;1;3.9;3.09;0.98;26;0.24;NA;NA;31;1
112;FALSE;FALSE;ras;3;1.44;4.84;0.14;66;NA;61;NA;24;0
113;FALSE;FALSE;mmas;2;1.14;9.82;0.36;71;NA;NA;NA;11;1
114;FALSE;FALSE;as;0;3.63;4.87;0.81;44;NA;NA;NA;NA;NA
115;FALSE;FALSE;ras;3;3.37;4.81;0.89;92;NA;37;NA;21;0
116;FALSE;FALSE;acs;1;2.65;0.49;0.5;88;0.72;NA;NA;6;1
117;FALSE;FALSE;acs;0;2.41;1.9;0.36;50;0.34;NA;NA;NA;NA
118;FALSE;FALSE;as;0;0.79;6.09;0.62;44;NA;NA;NA;NA;NA
119;FALSE;FALSE;eas;0;1.59;3.74;0.72;81;NA;NA;731;NA;NA
120;FALSE;FALSE;as;1;2.16;2.37;0.19;12;NA;NA;NA;11;0
