CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
22;TRUE;FALSE;ras;3;3.63;7.26;0.34;6;NA;18;NA;24;0;22;22
45;TRUE;FALSE;mmas;3;3.86;6.79;0.41;53;NA;NA;NA;45;0;45;45
59;TRUE;FALSE;mmas;3;1.52;4.6;0.69;20;NA;NA;NA;35;1;59;59
85;TRUE;FALSE;mmas;3;2.18;8.27;0.53;9;NA;NA;NA;47;1;85;85
96;TRUE;FALSE;acs;3;1.99;1.41;0.48;39;0.48;NA;NA;42;1;96;96
174;TRUE;FALSE;acs;3;3.06;6.38;0.85;6;0.26;NA;NA;26;1;174;174
186;TRUE;FALSE;acs;3;2.33;1.61;0.83;33;0.61;NA;NA;28;0;186;186
198;TRUE;FALSE;acs;3;2.96;6.02;0.83;15;0.39;NA;NA;29;1;198;198
231;TRUE;FALSE;ras;3;2.35;2.55;0.74;27;NA;15;NA;44;1;231;231
239;TRUE;FALSE;acs;3;4.24;2.96;0.44;60;0.36;NA;NA;26;0;239;239
248;TRUE;FALSE;acs;3;3.45;3.07;1;10;0.52;NA;NA;39;0;248;248
312;TRUE;FALSE;acs;3;3.06;0.8;0.37;54;0.69;NA;NA;31;0;312;312
316;TRUE;FALSE;acs;3;2.45;7;0.84;19;0.49;NA;NA;31;1;316;316
400;TRUE;FALSE;acs;3;3.08;6.53;0.73;19;0.43;NA;NA;36;1;400;400
432;TRUE;FALSE;acs;3;4.47;2.83;0.55;64;0.26;NA;NA;23;0;432;432
453;TRUE;FALSE;acs;3;3.59;2.48;0.56;60;0.21;NA;NA;22;0;453;453
469;TRUE;FALSE;ras;3;2.23;2.67;0.86;26;NA;10;NA;41;1;469;469
496;TRUE;FALSE;ras;3;2.43;2.09;0.79;25;NA;11;NA;42;1;496;496
512;TRUE;FALSE;ras;3;2.24;2.36;0.71;26;NA;13;NA;47;1;512;512
545;TRUE;FALSE;acs;3;3.34;2.59;0.53;60;0.18;NA;NA;20;0;545;545
588;TRUE;FALSE;ras;3;2.35;2.3;0.74;32;NA;11;NA;47;1;588;588
613;TRUE;TRUE;ras;3;2.31;2.5;0.73;32;NA;13;NA;45;1;613;613
633;TRUE;FALSE;ras;3;2.62;1.97;0.71;37;NA;11;NA;47;1;633;633
693;TRUE;FALSE;ras;3;2.2;1.56;0.75;35;NA;12;NA;46;1;693;693
701;TRUE;FALSE;ras;3;2.56;1.91;0.71;36;NA;15;NA;46;1;701;701
706;TRUE;FALSE;acs;3;3.41;2.8;0.51;61;0.16;NA;NA;20;0;706;706
