RUN_ID;PATH;ITERATION_1;CONFIG_ID_1;SOLUTION_1;QUALITY_1;ORIGIN_TYPE_1;TYPE_1;ORIGIN_IS_ELITE_1;IS_ELITE_1;ITERATION_2;CONFIG_ID_2;SOLUTION_2;QUALITY_2;ORIGIN_TYPE_2;TYPE_2;ORIGIN_IS_ELITE_2;IS_ELITE_2
1;FALSE;1;1;17212XXXX12524075;0.54279809;START;START;FALSE;FALSE;1;1;17212XXXX12524075;0.54279809;START;START;FALSE;FALSE
1;FALSE;1;2;07251XX0700011530;0.74360168;START;START;FALSE;FALSE;1;2;07251XX0700011530;0.74360168;START;START;FALSE;FALSE
1;FALSE;1;3;02202XXXX06018005;0.61101196;START;START;FALSE;FALSE;1;3;02202XXXX06018005;0.61101196;START;START;FALSE;FALSE
1;FALSE;1;4;12230XXXX18505550;0.83926279;START;START;FALSE;FALSE;1;4;12230XXXX18505550;0.83926279;START;START;FALSE;FALSE
1;FALSE;1;5;04742XXXX03002065;0.51277964;START;START;FALSE;FALSE;1;5;04742XXXX03002065;0.51277964;START;START;FALSE;FALSE
1;FALSE;1;6;14701XXXX15514520;0.89964626;START;START;FALSE;FALSE;1;6;14701XXXX15514520;0.89964626;START;START;FALSE;FALSE
1;FALSE;1;7;09720XXXX09021085;0.75156185;START;START;FALSE;FALSE;1;7;09720XXXX09021085;0.75156185;START;START;FALSE;FALSE
1;FALSE;1;8;1976109XX22008540;0.86476209;START;START;FALSE;FALSE;1;8;1976109XX22008540;0.86476209;START;START;FALSE;FALSE
1;FALSE;1;9;13252XX0714006535;0.899595;START;START;FALSE;FALSE;1;9;13252XX0714006535;0.899595;START;START;FALSE;FALSE
1;FALSE;1;10;03220XXXX01519580;0.64671326;START;START;FALSE;FALSE;1;10;03220XXXX01519580;0.64671326;START;START;FALSE;FALSE
1;FALSE;1;11;08241XXXX07500555;0.5764759;START;START;FALSE;FALSE;1;11;08241XXXX07500555;0.5764759;START;START;FALSE;FALSE
1;FALSE;1;12;18200XXXX20013010;0.54571828;START;START;FALSE;FALSE;1;12;18200XXXX20013010;0.54571828;START;START;FALSE;FALSE
1;FALSE;1;13;10731XXXX23522565;0.58998698;START;START;FALSE;FALSE;1;13;10731XXXX23522565;0.58998698;START;START;FALSE;FALSE
1;FALSE;1;14;0076009XX11010025;0.97902098;START;START;FALSE;FALSE;1;14;0076009XX11010025;0.97902098;START;START;FALSE;FALSE
1;FALSE;1;15;05712XXXX04516000;0.53287292;START;START;FALSE;FALSE;1;15;05712XXXX04516000;0.53287292;START;START;FALSE;FALSE
1;FALSE;1;16;15741XXXX17003545;0.58257113;START;START;FALSE;FALSE;1;16;15741XXXX17003545;0.58257113;START;START;FALSE;FALSE
1;FALSE;1;17;05250XX0724023045;0.40684243;START;STANDARD;TRUE;TRUE;1;17;05250XX0724023045;0.40684243;START;STANDARD;TRUE;TRUE
1;FALSE;1;18;15211XXXX11510500;0.86054134;START;START;FALSE;FALSE;1;18;15211XXXX11510500;0.86054134;START;START;FALSE;FALSE
1;FALSE;1;19;00232XXXX18004565;0.57397206;START;START;FALSE;FALSE;1;19;00232XXXX18004565;0.57397206;START;START;FALSE;FALSE
1;FALSE;1;20;1026004XX05517020;0.92209834;START;START;FALSE;FALSE;1;20;1026004XX05517020;0.92209834;START;START;FALSE;FALSE
