RUN_ID;CONFIG_ID;MNRG
100003;21;0.461154634544712
1000193;22;0.425280192857367
1100211;23;0.566240506329114
1200239;24;0.435147723298887
1300277;25;0.415970027536095
1400299;26;0.615877183779879
1500311;27;0.416058546136047
1600333;28;0.438882047094052
1700359;29;0.467496416119609
1800371;30;0.424576149344055
1900393;31;0.443010640659191
200009;32;0.535164660615008
2000419;33;0.478221833087288
300017;34;0.571353223188952
400031;35;0.571876445645004
500057;36;0.438120771429469
600083;37;0.41856123483159
700099;38;0.40945246934908
800123;39;0.611453919443834
900149;40;0.55493670886076
