RUN_ID;CONFIG_ID;MNRG
100003;1;0.51276320245102
1000193;2;0.456090300733693
1100211;3;0.549486172700153
1200239;4;0.428279690397484
1300277;5;0.428725550270096
1400299;6;0.650549705716359
1500311;7;0.431190518422962
1600333;8;0.461544545674434
1700359;9;0.431876239619447
1800371;10;0.454674111102153
1900393;11;0.469270660324115
200009;12;0.434369184874627
2000419;13;0.431941062646134
300017;14;0.478139643634605
400031;15;0.5462466338789
500057;16;0.452002015641377
600083;17;0.456104893977264
700099;18;0.466762557445779
800123;19;0.583815931629444
900149;20;0.548556962025316
