RUN_ID;CONFIG_ID;MNRG
100003;61;0.597506019201977
1000193;62;0.420965104542932
1100211;63;0.437192936939201
1200239;64;0.588031157667703
1300277;65;0.425523537602999
1400299;66;0.64894564605124
1500311;67;0.476283212404854
1600333;68;0.514814508276534
1700359;69;0.629621896954278
1800371;70;0.426223994094921
1900393;71;0.475148890703689
200009;72;0.528845522505261
2000419;73;0.462830980724733
300017;74;0.544615712326329
400031;75;0.476115928008292
500057;76;0.441036459674802
600083;77;0.52182976515794
700099;78;0.459358990063972
800123;79;0.590758945042979
900149;80;0.595186795238245
