RUN_ID;CONFIG_ID;MNRG
100003;41;0.589446424252197
1000193;42;0.462521406111425
1100211;43;0.587271869708941
1200239;44;0.549104007095058
1300277;45;0.458544787551399
1400299;46;0.664269934693219
1500311;47;0.466367088607595
1600333;48;0.508092074498105
1700359;49;0.497848988148029
1800371;50;0.442887527211159
1900393;51;0.444774651294042
200009;52;0.422371684269935
2000419;53;0.538777231315004
300017;54;0.554633959525921
400031;55;0.602411029589615
500057;56;0.469582439732323
600083;57;0.462851003789406
700099;58;0.434570910263646
800123;59;0.588296460533742
900149;60;0.571246392001935
