CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
5;TRUE;FALSE;16;4;1;NA;NA;0.56;2.26;0.56;5;5
12;TRUE;FALSE;178;4;0;NA;NA;1.65;2.11;0.62;12;12
23;TRUE;FALSE;10;5;2;NA;10;1.89;1.09;0.25;23;23
28;TRUE;FALSE;22;1;1;NA;NA;2.36;1.87;0.08;28;28
32;TRUE;FALSE;13;0;1;NA;NA;2.24;2.46;0.35;32;32
86;TRUE;FALSE;14;5;0;NA;10;1.41;2.29;0.52;86;86
93;TRUE;FALSE;4;2;0;NA;NA;2.1;1.74;0.23;93;93
102;TRUE;FALSE;156;4;0;NA;NA;2.43;2.44;0.56;102;102
118;TRUE;FALSE;28;4;0;NA;NA;1.89;2.43;0.4;118;118
127;TRUE;FALSE;12;2;1;NA;NA;2.34;2.47;0.47;127;127
151;TRUE;FALSE;4;0;1;NA;NA;2.25;2.33;0.11;151;151
216;TRUE;FALSE;152;4;0;NA;NA;2.35;2.19;0.59;216;216
218;TRUE;FALSE;161;4;0;NA;NA;2.47;2.48;0.35;218;218
221;TRUE;FALSE;62;4;0;NA;NA;2.16;2.39;0.41;221;221
245;TRUE;FALSE;36;0;0;NA;NA;2.33;2.33;0.08;245;245
248;TRUE;FALSE;69;4;0;NA;NA;2.06;2.42;0.33;248;248
258;TRUE;FALSE;62;4;0;NA;NA;2.23;2.37;0.43;258;258
285;TRUE;FALSE;35;4;0;NA;NA;2.42;2.34;0.43;285;285
298;TRUE;FALSE;162;4;0;NA;NA;2.45;2.5;0.4;298;298
306;TRUE;FALSE;172;4;0;NA;NA;2.47;2.43;0.38;306;306
359;TRUE;TRUE;165;4;0;NA;NA;2.45;2.44;0.37;359;359
