CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
4;TRUE;FALSE;eas;3;2.62;3.85;0.64;75;NA;NA;77;17;0;4;4
10;TRUE;FALSE;mmas;3;1.06;3.23;0.95;21;NA;NA;NA;43;0;10;10
19;TRUE;FALSE;acs;3;1.84;1.67;0.55;42;0.65;NA;NA;42;1;19;19
36;TRUE;FALSE;eas;3;1.45;2.76;0.81;68;NA;NA;464;22;0;36;36
69;TRUE;FALSE;acs;3;2.42;5.49;0.74;31;0.49;NA;NA;28;1;69;69
137;TRUE;FALSE;acs;3;4.08;7.36;0.5;56;0.65;NA;NA;42;1;137;137
139;TRUE;FALSE;acs;3;2.62;6.74;0.97;22;0.09;NA;NA;25;1;139;139
143;TRUE;FALSE;mmas;3;0.89;5.65;0.94;34;NA;NA;NA;33;0;143;143
167;TRUE;FALSE;ras;3;2.38;0.68;0.8;54;NA;15;NA;43;1;167;167
193;TRUE;FALSE;acs;3;1.81;5.7;0.92;44;0.07;NA;NA;17;0;193;193
217;TRUE;FALSE;acs;3;2.65;9.5;0.7;31;0.09;NA;NA;24;1;217;217
259;TRUE;FALSE;acs;3;2.44;5.55;0.74;42;0.28;NA;NA;36;0;259;259
286;TRUE;FALSE;acs;3;3.07;6.86;0.97;56;0.26;NA;NA;18;0;286;286
338;TRUE;FALSE;acs;3;2.26;7.66;0.83;36;0.43;NA;NA;22;0;338;338
345;TRUE;FALSE;ras;3;2.39;0.43;0.58;51;NA;13;NA;35;1;345;345
349;TRUE;FALSE;acs;3;3.16;6.23;0.96;64;0.14;NA;NA;15;0;349;349
359;TRUE;FALSE;ras;3;2.41;1.6;0.86;52;NA;18;NA;35;1;359;359
360;TRUE;FALSE;acs;3;3.41;5.58;0.9;64;0.04;NA;NA;16;0;360;360
371;TRUE;FALSE;acs;3;1.74;3.82;0.82;38;0.06;NA;NA;10;0;371;371
479;TRUE;FALSE;ras;3;2.58;0.85;0.65;59;NA;18;NA;35;1;479;479
498;TRUE;FALSE;acs;3;3.02;5.35;0.93;64;0.2;NA;NA;13;0;498;498
547;TRUE;FALSE;ras;3;2.25;0.48;0.59;53;NA;14;NA;31;1;547;547
561;TRUE;FALSE;ras;3;2.46;0.21;0.6;51;NA;17;NA;35;1;561;561
623;TRUE;FALSE;ras;3;2.26;0.38;0.64;53;NA;17;NA;32;1;623;623
654;TRUE;FALSE;ras;3;2.21;0.03;0.64;53;NA;11;NA;32;1;654;654
666;TRUE;TRUE;ras;3;2.35;0.75;0.67;50;NA;16;NA;31;1;666;666
675;TRUE;FALSE;ras;3;2.25;0.36;0.66;51;NA;17;NA;31;1;675;675
681;TRUE;FALSE;ras;3;2.26;0.25;0.55;49;NA;13;NA;34;1;681;681
