CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
10;TRUE;FALSE;mmas;3;1.06;3.23;0.95;21;NA;NA;NA;43;0;10;10
19;TRUE;FALSE;acs;3;1.84;1.67;0.55;42;0.65;NA;NA;42;1;19;19
69;TRUE;FALSE;acs;3;2.42;5.49;0.74;31;0.49;NA;NA;28;1;69;69
221;TRUE;FALSE;acs;3;4.06;3.19;0.58;72;0.77;NA;NA;22;1;221;221
254;TRUE;FALSE;acs;3;1.98;4.99;0.75;40;0.36;NA;NA;39;0;254;254
294;TRUE;FALSE;acs;3;2.61;7.82;0.48;17;0.83;NA;NA;34;1;294;294
297;TRUE;FALSE;acs;3;2.58;7.72;0.87;62;0.5;NA;NA;12;1;297;297
329;TRUE;FALSE;acs;3;2.04;5.26;0.72;39;0.64;NA;NA;31;1;329;329
361;TRUE;FALSE;acs;3;4.4;9.71;0.87;63;0.56;NA;NA;24;0;361;361
427;TRUE;FALSE;acs;3;1.94;4.91;0.43;44;0.69;NA;NA;40;1;427;427
492;TRUE;FALSE;acs;3;4.13;3.33;0.71;76;0.81;NA;NA;12;1;492;492
503;TRUE;FALSE;acs;3;3.87;7.49;0.79;66;0.6;NA;NA;24;0;503;503
529;TRUE;FALSE;acs;3;3.6;6.43;0.35;56;0.69;NA;NA;39;1;529;529
571;TRUE;FALSE;acs;3;1.88;3.8;0.49;52;0.75;NA;NA;33;1;571;571
617;TRUE;FALSE;acs;3;4.07;2.46;0.56;83;1;NA;NA;12;1;617;617
706;TRUE;FALSE;acs;3;3.44;4.07;0.68;66;0.66;NA;NA;10;1;706;706
728;TRUE;FALSE;acs;3;4.83;4.48;0.68;77;0.74;NA;NA;12;1;728;728
748;TRUE;FALSE;acs;3;3.8;2.8;0.63;77;0.91;NA;NA;12;1;748;748
756;TRUE;FALSE;acs;3;4.29;3.81;0.74;77;0.93;NA;NA;9;1;756;756
791;TRUE;FALSE;acs;3;3.7;2.61;0.68;78;0.94;NA;NA;11;1;791;791
794;TRUE;FALSE;acs;3;3.69;3.52;0.75;74;0.79;NA;NA;11;1;794;794
795;TRUE;FALSE;acs;3;4.19;3.43;0.64;74;0.85;NA;NA;11;1;795;795
798;TRUE;TRUE;acs;3;3.72;2.21;0.69;81;0.96;NA;NA;7;1;798;798
801;TRUE;FALSE;acs;3;4.6;3.71;0.73;78;0.92;NA;NA;8;1;801;801
