CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
2;TRUE;FALSE;181;4;0;NA;NA;1.67;2.42;0.39;2;2
3;TRUE;FALSE;32;5;1;NA;9;1.04;1.79;0.62;3;3
6;TRUE;FALSE;57;4;2;NA;NA;0.73;2.11;0.28;6;6
24;TRUE;FALSE;75;5;1;NA;10;1.75;0.93;0.53;24;24
38;TRUE;FALSE;29;0;0;NA;NA;0.77;0.35;0.49;38;38
71;TRUE;FALSE;51;4;0;NA;NA;2;1.59;0.3;71;71
79;TRUE;FALSE;41;0;0;NA;NA;0.6;2.23;0.1;79;79
105;TRUE;FALSE;74;1;2;NA;NA;2.19;2.01;0.39;105;105
130;TRUE;FALSE;11;4;2;NA;NA;0.76;1.83;0.31;130;130
156;TRUE;TRUE;25;1;2;NA;NA;2.11;2.38;0.3;156;156
164;TRUE;FALSE;13;1;2;NA;NA;2.15;2.27;0.19;164;164
172;TRUE;FALSE;184;4;0;NA;NA;1.87;2.38;0.39;172;172
176;TRUE;FALSE;15;1;2;NA;NA;1.96;2.21;0.14;176;176
208;TRUE;FALSE;195;4;0;NA;NA;1.71;2.35;0.33;208;208
211;TRUE;FALSE;17;1;2;NA;NA;2.06;1.93;0.17;211;211
212;TRUE;FALSE;178;4;0;NA;NA;1.75;2.45;0.32;212;212
230;TRUE;FALSE;15;1;2;NA;NA;1.94;1.98;0.06;230;230
