CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
4;TRUE;FALSE;107;4;2;NA;NA;0.88;1.13;0.71;4;4
26;TRUE;FALSE;138;4;1;NA;NA;2.36;1.37;0.79;26;26
35;TRUE;FALSE;172;5;0;NA;5;1.93;1.64;0.41;35;35
41;TRUE;FALSE;185;4;2;NA;NA;1.46;2.11;0.47;41;41
45;TRUE;FALSE;61;4;0;NA;NA;1.15;2.42;0.58;45;45
71;TRUE;FALSE;160;1;0;NA;NA;0.73;2.09;0.55;71;71
105;TRUE;FALSE;143;4;2;NA;NA;0.25;1.9;0.56;105;105
111;TRUE;FALSE;158;4;0;NA;NA;1.67;1.85;0.67;111;111
114;TRUE;FALSE;140;4;0;NA;NA;1.55;2.14;0.54;114;114
135;TRUE;FALSE;179;4;0;NA;NA;2.5;2.48;0.39;135;135
152;TRUE;FALSE;64;4;0;NA;NA;1.95;1.84;0.54;152;152
159;TRUE;FALSE;111;4;0;NA;NA;1.18;2.22;0.43;159;159
174;TRUE;FALSE;164;4;0;NA;NA;0.95;1.75;0.51;174;174
214;TRUE;FALSE;106;4;0;NA;NA;1.18;2.13;0.44;214;214
218;TRUE;FALSE;150;4;0;NA;NA;2.29;2.39;0.47;218;218
227;TRUE;FALSE;170;4;0;NA;NA;1.85;2.43;0.42;227;227
228;TRUE;FALSE;121;4;0;NA;NA;1.92;2.47;0.43;228;228
233;TRUE;FALSE;141;4;0;NA;NA;2.29;2.18;0.47;233;233
256;TRUE;FALSE;117;4;0;NA;NA;1.91;2.36;0.4;256;256
269;TRUE;FALSE;112;4;0;NA;NA;1.9;2.37;0.42;269;269
272;TRUE;FALSE;141;4;0;NA;NA;2.02;2.32;0.42;272;272
294;TRUE;FALSE;102;4;0;NA;NA;1.91;2.49;0.42;294;294
353;TRUE;FALSE;96;4;0;NA;NA;1.98;2.5;0.4;353;353
360;TRUE;TRUE;102;4;0;NA;NA;2.17;2.48;0.43;360;360
408;TRUE;FALSE;94;4;0;NA;NA;2.18;2.47;0.45;408;408
