CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
14;TRUE;FALSE;86;4;0;NA;NA;1.57;0.84;0.31;14;14
18;TRUE;FALSE;142;4;0;NA;NA;1.49;1.54;0.23;18;18
23;TRUE;FALSE;18;5;2;NA;2;1.18;1.85;0.34;23;23
28;TRUE;FALSE;5;2;1;NA;NA;0.71;1.07;0.17;28;28
29;TRUE;FALSE;105;5;2;NA;3;1.96;2.32;0.62;29;29
35;TRUE;FALSE;50;4;0;NA;NA;1.77;1.35;0.41;35;35
46;TRUE;FALSE;134;4;0;NA;NA;2.16;2.22;0.32;46;46
48;TRUE;FALSE;46;5;0;NA;6;2.34;1.18;0.4;48;48
52;TRUE;FALSE;14;5;1;NA;6;1.96;0.9;0.59;52;52
62;TRUE;FALSE;95;0;0;NA;NA;2.26;1.5;0.55;62;62
84;TRUE;FALSE;129;4;0;NA;NA;2.42;2.22;0.35;84;84
86;TRUE;FALSE;119;1;0;NA;NA;2.11;2.41;0.33;86;86
109;TRUE;FALSE;121;4;0;NA;NA;2.32;2.34;0.5;109;109
112;TRUE;FALSE;120;4;0;NA;NA;2.42;2.28;0.41;112;112
113;TRUE;FALSE;120;4;0;NA;NA;2.29;1.98;0.31;113;113
116;TRUE;FALSE;112;4;0;NA;NA;2.17;2.25;0.37;116;116
123;TRUE;FALSE;126;4;0;NA;NA;2.11;2.29;0.49;123;123
136;TRUE;FALSE;117;4;0;NA;NA;2.18;2.16;0.29;136;136
150;TRUE;TRUE;113;4;0;NA;NA;2.17;2.37;0.39;150;150
162;TRUE;FALSE;107;4;0;NA;NA;2.02;2.32;0.19;162;162
171;TRUE;FALSE;96;4;0;NA;NA;1.88;2.48;0.23;171;171
177;TRUE;FALSE;114;4;0;NA;NA;2.26;2.25;0.27;177;177
