CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
4;TRUE;FALSE;ras;3;3.87;5.44;0.59;58;NA;34;NA;17;1;4;4
5;TRUE;FALSE;acs;2;2;4.19;0.96;70;0.97;NA;NA;46;0;5;5
46;TRUE;FALSE;eas;3;2.54;4.66;0.14;23;NA;NA;384;9;0;46;46
76;TRUE;FALSE;mmas;3;3.91;6.61;0.43;38;NA;NA;NA;18;1;76;76
84;TRUE;FALSE;acs;3;4.69;2.55;0.89;41;0.88;NA;NA;34;0;84;84
101;TRUE;FALSE;acs;3;3.39;2.1;0.85;10;0.71;NA;NA;11;0;101;101
102;TRUE;FALSE;acs;3;3.71;5.88;0.4;33;0.21;NA;NA;30;1;102;102
134;TRUE;FALSE;mmas;3;1.48;2.1;0.54;48;NA;NA;NA;19;1;134;134
164;TRUE;FALSE;eas;3;2.71;8.59;0.45;41;NA;NA;190;14;1;164;164
182;TRUE;FALSE;acs;3;3.9;4.2;0.6;67;0.62;NA;NA;17;1;182;182
189;TRUE;FALSE;acs;3;3.04;6.3;0.85;34;0.72;NA;NA;10;0;189;189
195;TRUE;FALSE;acs;3;2.37;6.33;0.72;50;0.1;NA;NA;39;1;195;195
211;TRUE;FALSE;acs;3;2.73;4.51;0.34;39;0.13;NA;NA;16;1;211;211
218;TRUE;FALSE;acs;3;4.48;9.2;0.15;54;0.56;NA;NA;20;0;218;218
255;TRUE;FALSE;acs;3;3.45;3.49;0.47;61;0.42;NA;NA;9;1;255;255
295;TRUE;FALSE;acs;3;4.53;7.54;0.1;49;0.93;NA;NA;17;0;295;295
299;TRUE;FALSE;acs;3;3.85;4.04;0.59;70;0.22;NA;NA;12;1;299;299
309;TRUE;FALSE;acs;3;3.01;6.06;0.38;50;0.28;NA;NA;18;1;309;309
311;TRUE;FALSE;acs;3;3.73;9.11;0.83;55;0.06;NA;NA;40;1;311;311
320;TRUE;FALSE;acs;3;3.28;6.11;0.37;56;0.2;NA;NA;20;1;320;320
328;TRUE;FALSE;acs;3;4.99;7.76;0.09;49;0.72;NA;NA;12;0;328;328
332;TRUE;FALSE;acs;3;4.48;6.67;0.04;42;0.82;NA;NA;17;0;332;332
373;TRUE;FALSE;acs;3;4.08;7.38;0.11;49;0.87;NA;NA;14;0;373;373
381;TRUE;FALSE;acs;3;3.47;6.79;0.43;58;0.24;NA;NA;28;1;381;381
401;TRUE;FALSE;acs;3;4.29;6.64;0.04;40;0.69;NA;NA;16;0;401;401
402;TRUE;FALSE;acs;3;4.43;5.56;0.04;40;0.84;NA;NA;13;0;402;402
421;TRUE;FALSE;acs;3;4.48;6.48;0.03;30;0.5;NA;NA;19;0;421;421
425;TRUE;TRUE;acs;3;4.22;7.81;0.14;48;0.79;NA;NA;12;0;425;425
