CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;0.847213810977957;491.842406387576;7;12;87.8571428571429;0.0802919708029197;0.691359749504753;18.9770117779671;143.839089644676;12;87.8571428571429;0.0802919708029197;0.691359749504753;1.09804195509578
2;284.021426186443;933.553758451836;5;109;120.4;0.788321167883212;0.866992805240169;16.1494715674262;15740.6570928838;109;120.4;0.788321167883212;0.866992805240169;1.47898772658617
3;0.971827632119436;414.030111739109;9;7;60.1111111111111;0.0810810810810811;0.480604115353523;5.8924400451231;159.521377705358;7;60.1111111111111;0.0810810810810811;0.480604115353523;0.706770757872828
4;24.2501580404069;440.024592524794;7;53;87.5714285714286;0.444444444444444;0.661022115548019;8.35802332744292;928.447443848349;53;87.5714285714286;0.444444444444444;0.661022115548019;1.04985865410568
5;0.865413610811508;612.989347449687;7;6;81;0.032258064516129;0.652615226466846;13.2128561163893;306.450393413419;6;81;0.032258064516129;0.652615226466846;1.03650653615323
6;170.439765445969;559.216698193706;5;87;112.4;0.735042735042735;0.80256484232451;15.0052545925776;8677.77270398756;87;112.4;0.735042735042735;0.80256484232451;1.3690812016124
7;286.590897607514;927.387320439804;5;109;124.4;0.868965517241379;0.894137237769335;20.9581527584629;15754.0126760392;109;124.4;0.868965517241379;0.894137237769335;1.52529293501828
8;352.200357003747;911.226788386039;5;100;123.2;0.722627737226277;0.885498768187888;14.0717398464217;18306.8808521629;100;123.2;0.722627737226277;0.885498768187888;1.51055672220287
9;0.968830849806316;379.348150833347;5;38;89.8;0.27007299270073;0.656352635597701;21.4153973263395;233.930725677633;38;89.8;0.27007299270073;0.656352635597701;1.11966037837255
10;100.470229541476;589.877649731279;7;87;105.571428571429;0.627737226277372;0.817632920093957;13.325054720162;3679.87577143905;87;105.571428571429;0.627737226277372;0.817632920093957;1.2985934613257
11;462.088060196941;4972.62369445296;5;97;128.6;0.795620437956204;0.917798398078677;17.1921159718797;86044.1913654464;97;128.6;0.795620437956204;0.917798398078677;1.5656560908401
12;1.01492277709087;418.666940394411;9;8;62.6666666666667;0.0598290598290598;0.487250205183911;10.0104826534821;223.391795936056;8;62.6666666666667;0.0598290598290598;0.487250205183911;0.716544419388104
13;338.773777686204;1055.99087306529;5;98;121;0.802919708029197;0.865743925897381;17.3785851860507;18939.3796534278;98;121;0.802919708029197;0.865743925897381;1.47685728535436
14;329.225352763886;1195.39672140275;5;112;126.4;0.76551724137931;0.91084310965574;31.0967646436856;20288.4918145666;112;126.4;0.76551724137931;0.91084310965574;1.55379118705979
15;0.858502316385566;489.978331378583;7;13;89.4285714285714;0.0875912408759124;0.700983982317203;22.935829488893;171.182481062843;13;89.4285714285714;0.0875912408759124;0.700983982317203;1.11332750132732
16;0.975897487482824;360.032399447843;5;43;91.2;0.306569343065693;0.665744336721172;21.0124544042892;185.473778268634;43;91.2;0.306569343065693;0.665744336721172;1.13568151558318
17;0.928919519150674;511.362095307356;7;29;91.8571428571429;0.204379562043796;0.720403558783097;13.6011415613498;208.932156015413;29;91.8571428571429;0.204379562043796;0.720403558783097;1.14417035806727
18;228.49494729003;857.904694628557;5;105;119.4;0.717241379310345;0.859502363312436;22.5264442381382;12986.3179796959;105;119.4;0.717241379310345;0.859502363312436;1.46620991388592
