CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
103;TRUE;109;4;0;NA;NA;0.34;2.14;0.25
104;FALSE;120;5;0;NA;2;0.22;2.38;0.29
105;FALSE;176;1;0;NA;NA;0.7;1.43;0.42
106;FALSE;122;4;0;NA;NA;0.64;2.18;0.2
107;FALSE;86;4;0;NA;NA;0.93;2.17;0.02
108;FALSE;176;4;0;NA;NA;1;1.94;0.42
109;FALSE;158;4;0;NA;NA;0.07;2.02;0.68
110;FALSE;92;4;0;NA;NA;0.05;2.46;0.38
111;FALSE;100;4;0;NA;NA;0.24;2.3;0.37
112;FALSE;127;4;0;NA;NA;0.37;2.4;0.32
113;FALSE;188;6;0;11;NA;0.32;2.22;0.45
114;FALSE;174;5;0;NA;10;0.59;2.4;0.43
115;FALSE;176;4;0;NA;NA;0.2;2.36;0.38
116;FALSE;98;4;0;NA;NA;0.29;2.24;0.21
117;FALSE;137;5;0;NA;9;0.46;1.76;0.48
118;FALSE;159;5;0;NA;10;0.84;2.05;0.42
119;TRUE;109;4;0;NA;NA;0.66;2.09;0.42
120;FALSE;134;5;0;NA;10;0.87;2.01;0.63
121;FALSE;155;5;0;NA;9;1.08;2.47;0.55
122;FALSE;170;5;0;NA;10;0.51;2.26;0.46
123;TRUE;131;4;0;NA;NA;0.29;2.1;0.24
124;FALSE;103;4;0;NA;NA;0.84;2.44;0.16
125;FALSE;165;5;0;NA;9;0.62;2.04;0.5
126;FALSE;197;5;0;NA;9;1;1.96;0.64
127;FALSE;154;4;0;NA;NA;0.12;1.99;0.46
128;FALSE;196;5;0;NA;8;0.69;2.33;0.46
129;TRUE;117;4;0;NA;NA;0.25;2.11;0.27
130;FALSE;164;5;0;NA;9;1.18;1.96;0.52
131;FALSE;79;4;2;NA;NA;0.71;1.74;0.15
132;FALSE;100;4;0;NA;NA;0.1;2.28;0.28
133;FALSE;151;5;0;NA;9;0.48;2.23;0.39
134;FALSE;159;5;0;NA;10;0.63;2.31;0.59
135;FALSE;99;4;0;NA;NA;0.23;2.09;0.08
136;FALSE;190;5;0;NA;10;0.77;2.25;0.5
137;FALSE;91;0;0;NA;NA;0.07;2.21;0.16
138;FALSE;150;5;0;NA;10;0.61;2.36;0.53
139;FALSE;157;4;0;NA;NA;0.02;2.05;0.42
140;FALSE;136;5;0;NA;9;0.57;2.24;0.53
141;FALSE;145;4;0;NA;NA;0.39;2.05;0.2
142;FALSE;98;4;0;NA;NA;0.26;2.02;0.39
143;FALSE;101;4;0;NA;NA;0.55;2.32;0.24
