EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;1;1703658332;--competition 3 --problem 0 --dimensions 50;0.617443371834182
2;2;838603238;--competition 3 --problem 1 --dimensions 50;1779059.18819609
3;3;225920605;--competition 3 --problem 2 --dimensions 50;822008.954248423
4;4;973719316;--competition 3 --problem 3 --dimensions 50;13555.8021936764
5;5;1479713200;--competition 3 --problem 4 --dimensions 50;0.641081837918485
6;6;841671182;--competition 3 --problem 5 --dimensions 50;1.91882789209873
7;7;2072807347;--competition 3 --problem 6 --dimensions 50;919.029046739793
8;8;880917815;--competition 3 --problem 7 --dimensions 50;4.21334549473674
9;9;940778228;--competition 3 --problem 8 --dimensions 50;51.6624053692054
10;10;1772879829;--competition 3 --problem 9 --dimensions 50;17.5686177464911
11;11;960102638;--competition 3 --problem 10 --dimensions 50;49.7600373204247
12;12;192832834;--competition 3 --problem 11 --dimensions 50;169.383203821557
13;13;1486478832;--competition 3 --problem 12 --dimensions 50;1.18481401465153
14;14;882028587;--competition 3 --problem 13 --dimensions 50;20.6943648624235
15;15;417710414;--competition 3 --problem 14 --dimensions 50;104.739970563762
16;16;2074191013;--competition 3 --problem 15 --dimensions 50;46.0489693847176
17;17;2081452661;--competition 3 --problem 16 --dimensions 50;0.0198007070268952
18;18;529408206;--competition 3 --problem 17 --dimensions 50;0.599618152342554
19;19;281825838;--competition 3 --problem 18 --dimensions 50;339.018624286682
20;20;1996613517;--competition 3 --problem 19 --dimensions 50;113.427507700871
21;21;512381296;--competition 3 --problem 20 --dimensions 50;26229.7783344452
22;22;667057660;--competition 3 --problem 21 --dimensions 50;26883.0889632967
23;23;996697277;--competition 3 --problem 22 --dimensions 50;17.2761764612997
24;24;1512033282;--competition 3 --problem 23 --dimensions 50;0.197941550758012
25;25;1666696950;--competition 3 --problem 24 --dimensions 50;0.37096064526119
26;26;507653264;--competition 3 --problem 25 --dimensions 50;0.216369383659579
27;27;543213282;--competition 3 --problem 26 --dimensions 50;12.5427752073449
28;28;1081756640;--competition 3 --problem 27 --dimensions 50;117.058312957791
29;29;1459833515;--competition 3 --problem 28 --dimensions 50;233.670079444253
30;30;610926801;--competition 3 --problem 29 --dimensions 50;8.03848381994153
31;31;247921527;--competition 3 --problem 30 --dimensions 50;36.6289387641176
32;32;859450482;--competition 3 --problem 31 --dimensions 50;225.744361068939
33;33;908950459;--competition 3 --problem 32 --dimensions 50;88.5849730967967
34;34;1444832980;--competition 3 --problem 33 --dimensions 50;19.9421497751466
35;35;1893640276;--competition 3 --problem 34 --dimensions 50;12146.7127941757
36;36;169803932;--competition 3 --problem 35 --dimensions 50;114625.967099823
37;37;1444205172;--competition 3 --problem 36 --dimensions 50;48.9947784767148
38;38;1598868806;--competition 3 --problem 37 --dimensions 50;123901.694096146
39;39;865358416;--competition 3 --problem 38 --dimensions 50;4.52034487824165
40;40;199504520;--competition 3 --problem 39 --dimensions 50;7.32426494928879
41;41;150957926;--competition 3 --problem 40 --dimensions 50;424.060314813552
42;42;614479596;--competition 3 --problem 41 --dimensions 50;229.06727539625
43;43;1030148343;--competition 3 --problem 42 --dimensions 50;283.456015913311
44;44;1537723905;--competition 3 --problem 43 --dimensions 50;920.38933301517
45;45;1405852198;--competition 3 --problem 44 --dimensions 50;919.765377736952
46;46;225915224;--competition 3 --problem 45 --dimensions 50;882.405172800798
47;47;196185045;--competition 3 --problem 46 --dimensions 50;525.927786606529
48;48;949269338;--competition 3 --problem 47 --dimensions 50;904.98909789892
49;49;1510885185;--competition 3 --problem 48 --dimensions 50;541.892833381355
50;50;1468610385;--competition 3 --problem 49 --dimensions 50;351.356964994908
