CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
12;TRUE;FALSE;178;0;0;NA;NA;0.48;1.65;0.11;12;12
17;TRUE;FALSE;172;5;0;NA;10;1.65;1.26;0.36;17;17
19;TRUE;FALSE;23;4;1;NA;NA;1.03;1.88;0.58;19;19
20;TRUE;FALSE;147;4;2;NA;NA;1.34;2.2;0.47;20;20
25;TRUE;FALSE;60;4;0;NA;NA;0.25;2.04;0.64;25;25
44;TRUE;FALSE;96;4;0;NA;NA;1.31;2.05;0.16;44;44
47;TRUE;FALSE;176;0;0;NA;NA;0.06;2.01;0.42;47;47
56;TRUE;FALSE;185;4;2;NA;NA;1.53;2.09;0.67;56;56
65;TRUE;FALSE;141;4;2;NA;NA;0.17;2;0.47;65;65
66;TRUE;FALSE;36;4;1;NA;NA;2.05;2.11;0.61;66;66
75;TRUE;FALSE;13;4;1;NA;NA;1.35;1.91;0.65;75;75
77;TRUE;FALSE;156;5;0;NA;9;0.61;1.27;0.57;77;77
102;TRUE;FALSE;101;4;2;NA;NA;0.2;2.02;0.7;102;102
107;TRUE;FALSE;32;4;0;NA;NA;1.94;2.28;0.44;107;107
111;TRUE;FALSE;134;4;0;NA;NA;0.57;2.09;0.42;111;111
112;TRUE;FALSE;134;4;2;NA;NA;1.77;2.1;0.88;112;112
123;TRUE;FALSE;69;4;2;NA;NA;0.21;2.15;0.81;123;123
125;TRUE;FALSE;35;4;0;NA;NA;1.82;2.38;0.35;125;125
139;TRUE;FALSE;32;4;0;NA;NA;1.98;2.23;0.33;139;139
147;TRUE;FALSE;70;4;2;NA;NA;0.08;2.09;0.73;147;147
163;TRUE;FALSE;145;4;2;NA;NA;1.69;2.32;0.85;163;163
167;TRUE;FALSE;38;4;0;NA;NA;1.9;2.3;0.3;167;167
168;TRUE;FALSE;91;4;2;NA;NA;0.12;2.13;0.73;168;168
181;TRUE;TRUE;136;4;2;NA;NA;1.47;2.26;0.82;181;181
184;TRUE;FALSE;80;4;2;NA;NA;0.32;2.24;0.78;184;184
187;TRUE;FALSE;85;4;2;NA;NA;0.23;2.41;0.83;187;187
