CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
18;TRUE;FALSE;acs;3;4.46;4.94;0.41;40;0.08;NA;NA;11;0;18;18
41;TRUE;FALSE;mmas;3;3.91;9.78;0.65;69;NA;NA;NA;23;0;41;41
65;TRUE;FALSE;acs;3;2.49;8.21;0.91;47;0.08;NA;NA;39;1;65;65
78;TRUE;FALSE;acs;3;2.65;5.25;0.2;46;0.63;NA;NA;41;0;78;78
88;TRUE;FALSE;acs;3;3.99;5.99;0.37;33;0;NA;NA;45;0;88;88
114;TRUE;FALSE;acs;3;2.73;7.55;0.33;7;0.54;NA;NA;36;0;114;114
121;TRUE;FALSE;acs;3;2.33;3.05;0.11;20;0.53;NA;NA;26;0;121;121
136;TRUE;FALSE;acs;3;3.6;5.32;0.61;35;0.17;NA;NA;44;0;136;136
142;TRUE;FALSE;acs;3;2.42;5.25;0.38;31;0.01;NA;NA;41;0;142;142
150;TRUE;FALSE;acs;3;2.48;6.74;0.14;39;0.78;NA;NA;34;0;150;150
204;TRUE;FALSE;acs;3;3;4.96;0.19;48;0.48;NA;NA;45;0;204;204
208;TRUE;FALSE;acs;3;2.63;4.92;0.25;48;0.59;NA;NA;44;0;208;208
209;TRUE;FALSE;acs;3;3.28;7.17;0.09;37;0.82;NA;NA;40;0;209;209
217;TRUE;FALSE;acs;3;2.74;4.74;0.22;43;0.8;NA;NA;32;0;217;217
220;TRUE;FALSE;acs;3;2.48;7.43;0.17;35;0.83;NA;NA;25;0;220;220
251;TRUE;TRUE;acs;3;2.6;7.69;0.22;36;0.77;NA;NA;31;0;251;251
320;TRUE;FALSE;acs;3;2.7;7.4;0.14;39;0.76;NA;NA;31;0;320;320
352;TRUE;FALSE;acs;3;3.19;4.99;0.18;51;0.57;NA;NA;42;0;352;352
372;TRUE;FALSE;acs;3;2.67;6.69;0.12;37;0.83;NA;NA;35;0;372;372
