RUN_ID;CONFIG_ID;MNRG
100003;1;0.454509493670886
1000193;2;0.448488924050633
1100211;3;0.475862341772152
1200239;4;0.436210443037975
1300277;5;0.481803797468354
1400299;6;0.61748417721519
1500311;7;0.435142405063291
1600333;8;0.394604430379747
1700359;9;0.441930379746835
1800371;10;0.44628164556962
1900393;11;0.435941455696203
200009;12;0.576455696202532
2000419;13;0.51368670886076
300017;14;0.43631329113924
400031;15;0.399762658227848
500057;16;0.465696202531646
600083;17;0.430348101265823
700099;18;0.43381329113924
800123;19;0.40496835443038
900149;20;0.403243670886076
