CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
1;38142834;38587950.6;5;164;228.6;0.9375;0.949560811586085;17.6989617335395;18.4822478874368;164;228.6;0.9375;0.949560811586085
2;33162412;33562752.4;5;132;200.2;0.761627906976744;0.825989420889837;2.42066103157221;3.05733353872486;132;200.2;0.761627906976744;0.825989420889837
3;33344425;33587569.4;5;141;201.8;0.813953488372093;0.836490329929466;2.85926184355084;3.13223261769625;141;201.8;0.813953488372093;0.836490329929466
4;32733355;33105585.2;5;102;166.6;0.587209302325581;0.684326016329904;1.09553722693993;1.65399909319431;102;166.6;0.587209302325581;0.684326016329904
5;33702035;34085714.6;5;153;215.2;0.883720930232558;0.892422147976462;4.00017614159068;4.66297519395801;153;215.2;0.883720930232558;0.892422147976462
6;32964463;33219209.4;5;118;178.2;0.680232558139535;0.734772426962659;1.80930419086537;2.00146888379743;118;178.2;0.680232558139535;0.734772426962659
7;37190512;37615002;5;158;223;0.912790697674419;0.925000454929603;14.571113147629;15.4966173788279;158;223;0.912790697674419;0.925000454929603
8;33362764;33595798.8;5;140;202.6;0.808139534883721;0.838125511096562;3.03943943282353;3.15785397238076;140;202.6;0.808139534883721;0.838125511096562
9;38707186;39201295.8;5;167;233.2;0.964566929133858;0.9681993583216;19.4454329522034;20.3680360006481;167;233.2;0.964566929133858;0.9681993583216
10;33039853;33445237.8;5;126;194.6;0.726744186046512;0.800883672848454;2.04214291306598;2.69680592173754;126;194.6;0.726744186046512;0.800883672848454
11;33380793;33667672.6;5;142;206.4;0.819767441860465;0.854047913909054;3.0951212118732;3.37913480124217;142;206.4;0.819767441860465;0.854047913909054
12;33745554;33969699.6;5;151;213.4;0.872093023255814;0.88498125890378;3.70971983069393;4.30630760543514;151;213.4;0.872093023255814;0.88498125890378
13;32878531;33223242.8;5;111;177;0.63953488372093;0.727577955771424;1.54390696210634;2.0144220228187;111;177;0.63953488372093;0.727577955771424
14;40015394;40401308;5;171;238.2;0.98695652173913;0.989051557443754;23.4823957774405;24.0561809588581;171;238.2;0.98695652173913;0.989051557443754
15;32932581;33116697.6;5;117;167;0.666666666666667;0.691685246059284;1.4750971066001;1.68753072558212;117;167;0.666666666666667;0.691685246059284
16;33675112;33828697.8;5;149;211.2;0.86046511627907;0.875421705236423;3.54523759385353;3.87440445733244;149;211.2;0.86046511627907;0.875421705236423
17;32644375;32866720.3333333;6;92;126.166666666667;0.378472222222222;0.527916693579967;0.535258758955707;0.845351100400736;92;126.166666666667;0.378472222222222;0.527916693579967
18;33970587;34256454.6;5;152;216.4;0.877906976744186;0.896940113376731;4.91667422051609;5.18631111910246;152;216.4;0.877906976744186;0.896940113376731
19;39437325;40569077.4;5;168;238;0.970930232558139;0.98713028286188;21.8004557634996;24.5704122094824;168;238;0.970930232558139;0.98713028286188
20;32900924;33156432.8;5;114;171;0.656976744186046;0.705934185255036;1.61306676455014;1.80849948440558;114;171;0.656976744186046;0.705934185255036
21;32808753;33106574;5;107;165.4;0.616279069767442;0.683369496594181;1.29972621943971;1.65453217401565;107;165.4;0.616279069767442;0.683369496594181
22;32744243;32934261;5;103;144.6;0.496527777777778;0.601485399205475;0.670363460258793;1.12714781520575;103;144.6;0.496527777777778;0.601485399205475
23;34319080;34596484.4;5;154;218.6;0.88953488372093;0.906053380518522;5.90766738883081;6.23223082855798;154;218.6;0.88953488372093;0.906053380518522
24;41459912;41964274.8;5;172;239.8;0.994186046511628;0.995701484340196;27.7073803546019;28.8580013369217;172;239.8;0.994186046511628;0.995701484340196
25;34393661;34678778.4;5;155;219.6;0.895348837209302;0.910619974081632;5.70153763846534;6.48590437460037;155;219.6;0.895348837209302;0.910619974081632
26;32685574;32942417.6666667;6;95;148.666666666667;0.546511627906977;0.613457876469522;0.947967695364551;1.07753575524559;95;148.666666666667;0.546511627906977;0.613457876469522
27;32659890;32851907.3333333;6;97;124.833333333333;0.447916666666667;0.522498214506099;0.602228722016046;0.799845892494871;97;124.833333333333;0.447916666666667;0.522498214506099
28;39576622;39794445.6;5;169;235.8;0.976377952755906;0.978882810823854;21.6302562247245;22.1907261727238;169;235.8;0.976377952755906;0.978882810823854
29;33267036;33507168.2;5;146;196.6;0.769565217391304;0.817387104347191;2.23909742769696;2.88893807912443;146;196.6;0.769565217391304;0.817387104347191
30;32990937;33197539.2;5;120;173.8;0.691860465116279;0.719022669869309;1.8142648879474;1.93532059542137;120;173.8;0.691860465116279;0.719022669869309
31;33507382;33705310.8;5;147;208.2;0.848837209302326;0.862737220094708;3.18344121179891;3.49540849318385;147;208.2;0.848837209302326;0.862737220094708
32;41831557;43028454;5;173;240.8;1;1;29.0868428650374;32.119123493516;173;240.8;1;1
33;32979012;33241485;5;122;180;0.703488372093023;0.744202207180015;1.76901949617086;2.06948682021387;122;180;0.703488372093023;0.744202207180015
34;34596240;34853843.4;5;157;219.8;0.901960784313726;0.912063666831987;6.60963944144532;7.01930124647808;157;219.8;0.901960784313726;0.912063666831987
35;32726950;32942054;5;100;148.6;0.575581395348837;0.613710812569576;1.04190830373452;1.15046260771326;100;148.6;0.575581395348837;0.613710812569576
36;37652606;38301639.6;5;160;226.8;0.924418604651163;0.940831458521218;16.2884290829431;17.6056948483614;160;226.8;0.924418604651163;0.940831458521218
37;33031166;33296289.4;5;123;185.2;0.709302325581395;0.76335323048672;2.01531349298696;2.23909398873773;123;185.2;0.709302325581395;0.76335323048672
38;39690192;40066030.4;5;170;236.8;0.980314960629921;0.983181326483657;22.58142444856;23.0241682543187;170;236.8;0.980314960629921;0.983181326483657
39;33826670;34023888.4;5;150;214.6;0.866279069767442;0.889127395782614;3.99794483255942;4.47301041077088;150;214.6;0.866279069767442;0.889127395782614
40;33168287;33528156.2;5;144;199;0.807086614173228;0.825755855517689;2.35309797508763;2.94977513990174;144;199;0.807086614173228;0.825755855517689
41;37598174;38065939.6;5;159;226.8;0.918604651162791;0.939210166952009;14.8778591782335;16.8900697023086;159;226.8;0.918604651162791;0.939210166952009
42;32640542;32962250.4;5;91;152.4;0.523255813953488;0.624256530613965;0.808888330221456;1.21248611271618;91;152.4;0.523255813953488;0.624256530613965
43;32709430;32905658.6666667;6;44;130.833333333333;0.18695652173913;0.538174609225953;0.485820983487363;0.966126925235815;44;130.833333333333;0.18695652173913;0.538174609225953
44;33357360;33664136.8;5;139;205;0.802325581395349;0.847082838855947;3.02274941485334;3.36847284383817;139;205;0.802325581395349;0.847082838855947
45;32802624;33050123;5;105;160.6;0.604651162790698;0.66202692811186;1.30947150798667;1.48238776765165;105;160.6;0.604651162790698;0.66202692811186
46;38468531;38976231.8;5;165;229.2;0.939130434782609;0.964882186100949;17.7475358599155;19.4585482190867;165;229.2;0.939130434782609;0.964882186100949
47;32920171;33213831.6;5;136;166.4;0.625;0.708043182552108;1.17308227295766;1.79630255463561;136;166.4;0.625;0.708043182552108
48;32568188;32799343.125;8;76;112.75;0.350694444444444;0.540750205260422;0.464069229159879;0.693168793014573;76;112.75;0.350694444444444;0.540750205260422
49;32867182;33038755.6;5;119;147.8;0.579861111111111;0.626852540485498;0.932080528147886;1.25892200623489;119;147.8;0.579861111111111;0.626852540485498
50;33082565;33461364.8;5;127;192.2;0.732558139534884;0.804356938593275;2.17405705953942;2.55273614676162;127;192.2;0.732558139534884;0.804356938593275
51;32889328;33267734.8;5;112;173.2;0.645348837209302;0.726729842771427;1.54725477548605;1.95883414938486;112;173.2;0.645348837209302;0.726729842771427
52;32890941;33374514.2;5;113;186.2;0.651162790697674;0.77607366404886;1.58223470507636;2.28637166180438;113;186.2;0.651162790697674;0.77607366404886
53;32861163;33167631.6;5;110;164.8;0.633720930232558;0.691331444801647;1.49026665268625;1.65226109593232;110;164.8;0.633720930232558;0.691331444801647
54;33386784;33572898.2;5;143;196.8;0.795652173913043;0.827961403117913;2.41049279267525;2.89600565741992;143;196.8;0.795652173913043;0.827961403117913
55;34357798;34687045.4;5;156;216.8;0.901162790697674;0.91338121001001;5.59132040266923;6.31112134880074;156;216.8;0.901162790697674;0.91338121001001
56;33094814;33353548.8;5;129;184;0.744186046511628;0.773780073945112;1.97818164026653;2.22237789916935;129;184;0.744186046511628;0.773780073945112
57;32834951;33136740.4;5;109;162.4;0.627906976744186;0.679609799267516;1.37470371382453;1.55870448138408;109;162.4;0.627906976744186;0.679609799267516
58;32946447;33300658.4;5;125;175.6;0.638888888888889;0.742746693074355;1.25383592122407;2.05963103681524;125;175.6;0.638888888888889;0.742746693074355
59;33196537;33560530.2;5;134;197.2;0.773255813953488;0.82801236541471;2.52605460359895;2.856342968565;134;197.2;0.773255813953488;0.82801236541471
60;38198953;38704742.6;5;166;226.2;0.944444444444444;0.954293648657443;17.6777713166187;18.6217993450096;166;226.2;0.944444444444444;0.954293648657443
61;33095056;33371996.6;5;130;186.8;0.75;0.785313239026881;2.18921800497799;2.27886506253061;130;186.8;0.75;0.785313239026881
62;33275444;33640256;5;137;200.8;0.790697674418605;0.844868713290529;2.49093165664714;3.09949082559645;137;200.8;0.790697674418605;0.844868713290529
63;33091735;33467572.4;5;128;190.6;0.738372093023256;0.799981187910261;2.2023782040225;2.5708317475997;128;190.6;0.738372093023256;0.799981187910261
64;32729370;32950731.6;5;101;138.6;0.556862745098039;0.582567896523888;0.855657732504869;0.98814226298225;101;138.6;0.556862745098039;0.582567896523888
65;32806494;33020349.8;5;106;148.2;0.607843137254902;0.622978260057486;0.923309897294659;1.20116785344989;106;148.2;0.607843137254902;0.622978260057486
66;32621502;32814666.75;8;85;118.75;0.365217391304348;0.562629061993386;0.406002595331881;0.741177160230191;85;118.75;0.365217391304348;0.562629061993386
67;33234740;33485012;5;135;192;0.779069767441861;0.807696361818936;2.40368722952783;2.62510843616745;135;192;0.779069767441861;0.807696361818936
68;33409376;33747279.2;5;145;207;0.837209302325581;0.870176043182664;3.18339855895716;3.42950110422292;145;207;0.837209302325581;0.870176043182664
69;32588798;32864033.3333333;6;85;131.5;0.451388888888889;0.545139462948399;0.60661737362681;0.836837569400985;85;131.5;0.451388888888889;0.545139462948399
70;32916280;33262009;5;115;174.8;0.662790697674419;0.731836789093454;1.66049309984809;1.94218948012953;115;174.8;0.662790697674419;0.731836789093454
71;33290245;33519706.4;5;138;194.2;0.78695652173913;0.817186457003554;2.44674957153019;2.73305298657288;138;194.2;0.78695652173913;0.817186457003554
72;32687923;33049353.8;5;96;153.6;0.552325581395349;0.639936298144103;0.955222479267579;1.28936553214501;96;153.6;0.552325581395349;0.639936298144103
73;33019722;33319178;5;121;180.2;0.697674418604651;0.755297451091283;1.95606935151341;2.11751628029731;121;180.2;0.697674418604651;0.755297451091283
74;32927505;33243151.8;5;116;174.6;0.665217391304348;0.729714724212936;1.48070778540712;1.88521744194509;116;174.6;0.665217391304348;0.729714724212936
