EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;199;1085002164;2000-503.tsp;32193389
2;302;1336444254;2000-724.tsp;32710941
3;223;498613101;2000-527.tsp;32704448
4;243;1182249412;2000-606.tsp;32550509
5;79;828396114;2000-224.tsp;32739725
6;351;635932651;2000-832.tsp;32778082
7;337;458042341;2000-818.tsp;32623282
8;173;667109247;2000-418.tsp;32890172
9;89;1301756854;2000-233.tsp;32318698
10;237;492420030;2000-6.tsp;32639893
11;265;1421697616;2000-628.tsp;32221803
12;96;466270506;2000-24.tsp;32396894
13;260;764102594;2000-623.tsp;32603892
14;121;1897205910;2000-316.tsp;32555768
15;250;888089775;2000-613.tsp;32752354
16;36;1495875197;2000-131.tsp;32658052
17;328;723687293;2000-809.tsp;32348694
18;286;820572396;2000-708.tsp;32717253
