CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
8;TRUE;FALSE;acs;3;3.34;2.02;0.81;36;0.8;NA;NA;49;0;8;8
20;TRUE;FALSE;acs;2;4.12;6.08;0.53;69;0.27;NA;NA;42;0;20;20
56;TRUE;FALSE;acs;3;2.01;0.92;0.64;29;0.54;NA;NA;44;0;56;56
71;TRUE;FALSE;eas;3;3.22;0.69;0.21;53;NA;NA;85;48;0;71;71
92;TRUE;FALSE;acs;3;3.3;2.19;0.64;44;0.51;NA;NA;45;1;92;92
117;TRUE;FALSE;ras;3;3.3;1.02;0.62;43;NA;49;NA;27;1;117;117
171;TRUE;FALSE;acs;3;1.8;4.82;0.79;22;0.21;NA;NA;29;1;171;171
212;TRUE;FALSE;ras;3;2.36;0.74;0.77;76;NA;27;NA;49;1;212;212
236;TRUE;FALSE;acs;3;2.48;1.15;0.47;15;0.78;NA;NA;23;1;236;236
240;TRUE;FALSE;acs;3;3.71;0.29;0.71;13;0.56;NA;NA;38;0;240;240
241;TRUE;FALSE;acs;3;3.51;5.52;0.38;22;0.19;NA;NA;41;1;241;241
245;TRUE;FALSE;acs;3;3.57;0.68;0.99;32;0.11;NA;NA;44;1;245;245
252;TRUE;FALSE;acs;3;3.77;4.24;0.61;7;0.58;NA;NA;39;1;252;252
272;TRUE;FALSE;ras;3;2.72;0.77;0.64;48;NA;24;NA;50;1;272;272
302;TRUE;FALSE;acs;3;2;2.49;0.51;15;0.92;NA;NA;15;1;302;302
340;TRUE;FALSE;acs;3;2.18;2.16;0.54;5;0.91;NA;NA;20;1;340;340
347;TRUE;FALSE;ras;3;2.49;1.38;0.6;69;NA;10;NA;45;1;347;347
351;TRUE;FALSE;ras;3;2.41;0.56;0.71;30;NA;21;NA;47;1;351;351
388;TRUE;TRUE;ras;3;2.18;1.18;0.54;49;NA;10;NA;50;1;388;388
413;TRUE;FALSE;ras;3;2.46;0.59;0.8;55;NA;15;NA;45;1;413;413
424;TRUE;FALSE;ras;3;2.35;1.75;0.75;62;NA;18;NA;42;1;424;424
429;TRUE;FALSE;ras;3;2.45;0.7;0.58;50;NA;21;NA;47;1;429;429
