CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
9;TRUE;FALSE;mmas;3;0.83;5.47;1;6;NA;NA;NA;18;0;9;9
45;TRUE;FALSE;as;3;3.57;2.5;0.4;41;NA;NA;NA;32;0;45;45
56;TRUE;FALSE;acs;3;2.79;8.44;0.92;38;0.24;NA;NA;25;1;56;56
72;TRUE;FALSE;acs;3;1.89;3.36;0.7;46;0.63;NA;NA;9;1;72;72
109;TRUE;FALSE;acs;3;2.31;0.82;0.58;53;0.43;NA;NA;14;0;109;109
157;TRUE;FALSE;acs;3;2.84;9.37;0.93;33;0.35;NA;NA;42;1;157;157
166;TRUE;FALSE;ras;3;4.3;6.8;0.64;38;NA;13;NA;21;1;166;166
223;TRUE;FALSE;acs;3;2.17;7.52;0.99;51;0.33;NA;NA;28;1;223;223
236;TRUE;FALSE;acs;3;3.11;3.44;0.92;66;0.38;NA;NA;22;1;236;236
273;TRUE;FALSE;mmas;3;0.95;6.6;0.97;20;NA;NA;NA;22;0;273;273
274;TRUE;FALSE;acs;3;2.44;2.64;0.99;35;0.22;NA;NA;12;1;274;274
281;TRUE;TRUE;acs;3;3.13;5.52;0.69;63;0.57;NA;NA;27;0;281;281
286;TRUE;FALSE;acs;3;2.39;6.34;0.75;53;0.48;NA;NA;19;1;286;286
316;TRUE;FALSE;acs;3;1.96;6.31;0.69;44;0.6;NA;NA;21;1;316;316
355;TRUE;FALSE;mmas;3;1.06;7.56;0.85;24;NA;NA;NA;15;0;355;355
376;TRUE;FALSE;acs;3;3.07;5.17;0.71;56;0.32;NA;NA;24;1;376;376
427;TRUE;FALSE;acs;3;2.23;6.41;0.74;52;0.55;NA;NA;18;1;427;427
