CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;190;0;2;NA;NA;0.67;1.65;0.27
2;FALSE;90;3;0;NA;NA;1.92;0.4;0.72
3;FALSE;40;2;1;NA;NA;1.29;2.28;0.5
4;FALSE;140;5;0;NA;7;0.04;1.03;0.05
5;FALSE;165;4;2;NA;NA;0.36;0.09;0.83
6;FALSE;65;1;0;NA;NA;1.61;1.34;0.38
7;FALSE;115;3;1;NA;NA;0.98;1.97;0.61
8;FALSE;3;0;1;NA;NA;2.07;1.5;0.44
9;FALSE;103;3;2;NA;NA;0.82;0.25;0.89
10;TRUE;152;1;0;NA;NA;0.2;2.12;0.66
11;FALSE;53;5;2;NA;9;1.45;0.87;0.21
12;FALSE;78;2;2;NA;NA;2.39;2.44;0.55
13;FALSE;177;6;1;12;NA;1.14;1.19;0.1
14;FALSE;28;4;0;NA;NA;1.76;0.56;0.78
15;FALSE;127;0;1;NA;NA;0.51;1.81;0.33
16;TRUE;196;4;0;NA;NA;1.37;2.36;0.69
17;FALSE;96;0;1;NA;NA;0.12;1.11;0.24
18;FALSE;146;2;2;NA;NA;2;0.48;0.47
19;FALSE;47;5;1;NA;9;0.75;1.73;0.02
20;FALSE;72;5;2;NA;6;1.06;2.05;0.8
21;FALSE;171;1;0;NA;NA;2.31;0.8;0.35
22;FALSE;22;3;0;NA;NA;0.43;0.17;0.58
23;FALSE;121;6;1;7;NA;1.68;1.42;0.13
24;FALSE;159;5;2;NA;8;2.15;1.26;0.19
25;FALSE;59;2;1;NA;NA;0.9;0.01;0.64
26;FALSE;9;3;1;NA;NA;0.28;1.89;0.86
27;FALSE;109;0;0;NA;NA;1.53;0.64;0.41
28;FALSE;34;1;2;NA;NA;1.22;0.95;0.3
29;TRUE;134;4;1;NA;NA;2.47;2.2;0.75
30;FALSE;84;6;0;4;NA;0.59;1.58;0.07
31;FALSE;183;2;2;NA;NA;1.84;0.33;0.52
32;FALSE;187;4;2;NA;NA;1.49;1.77;0.62
33;FALSE;87;1;1;NA;NA;0.24;0.52;0.17
34;FALSE;137;2;0;NA;NA;2.11;1.15;0.85
35;FALSE;112;5;0;NA;3;1.8;2.08;0.28
36;FALSE;12;1;2;NA;NA;0.55;0.83;0.73
37;FALSE;62;3;0;NA;NA;1.18;1.46;0.51
38;FALSE;162;0;1;NA;NA;2.43;0.21;0.06
39;FALSE;75;3;1;NA;NA;0.71;0.68;0.68
