CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
28;TRUE;FALSE;11;2;1;NA;NA;0.15;1.78;0.15;28;28
33;TRUE;FALSE;64;0;1;NA;NA;1.44;1.03;0.53;33;33
49;TRUE;FALSE;8;4;2;NA;NA;0.42;0.33;0.05;49;49
50;TRUE;FALSE;33;1;2;NA;NA;0.73;1.27;0.62;50;50
62;TRUE;FALSE;109;4;2;NA;NA;2.47;1.56;0.55;62;62
67;TRUE;FALSE;85;1;2;NA;NA;1.65;2.27;0.64;67;67
105;TRUE;FALSE;10;2;1;NA;NA;0.7;0.65;0.22;105;105
106;TRUE;FALSE;8;0;1;NA;NA;2.03;1.01;0.22;106;106
128;TRUE;FALSE;93;1;1;NA;NA;1.55;1.86;0.62;128;128
137;TRUE;FALSE;17;1;1;NA;NA;2.48;1.42;0.11;137;137
149;TRUE;FALSE;36;1;1;NA;NA;2.25;1.48;0.55;149;149
154;TRUE;FALSE;84;1;1;NA;NA;1.97;2.31;0.58;154;154
174;TRUE;FALSE;93;1;1;NA;NA;2.27;2.24;0.49;174;174
177;TRUE;FALSE;112;1;1;NA;NA;2.03;2.43;0.65;177;177
182;TRUE;FALSE;81;1;1;NA;NA;2.02;2.06;0.63;182;182
187;TRUE;FALSE;115;1;1;NA;NA;1.98;2.48;0.57;187;187
199;TRUE;FALSE;112;1;1;NA;NA;2.26;2.14;0.62;199;199
212;TRUE;FALSE;93;1;1;NA;NA;1.96;2.49;0.57;212;212
217;TRUE;TRUE;115;1;1;NA;NA;2.36;2.43;0.66;217;217
220;TRUE;FALSE;66;1;1;NA;NA;2.42;2.2;0.6;220;220
225;TRUE;FALSE;47;1;1;NA;NA;2.09;1.99;0.65;225;225
241;TRUE;FALSE;48;1;1;NA;NA;2.26;2.11;0.58;241;241
