CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
14;TRUE;FALSE;mmas;3;4.08;1.96;0.33;90;NA;NA;NA;48;0;14;14
49;TRUE;FALSE;mmas;3;3.85;3.67;0.1;22;NA;NA;NA;17;1;49;49
101;TRUE;FALSE;eas;3;2.79;5;0.35;30;NA;NA;29;8;0;101;101
175;TRUE;FALSE;acs;3;4.06;1.84;0.2;29;0.27;NA;NA;19;1;175;175
219;TRUE;FALSE;acs;3;3.61;0.92;0.3;14;0.4;NA;NA;9;1;219;219
227;TRUE;FALSE;mmas;3;4.79;1.59;0.05;18;NA;NA;NA;17;0;227;227
238;TRUE;FALSE;mmas;3;4.04;5.56;0.13;23;NA;NA;NA;11;0;238;238
239;TRUE;FALSE;acs;3;2.83;3.78;0.69;66;0.4;NA;NA;26;1;239;239
350;TRUE;FALSE;acs;3;4.86;1.6;0.08;54;0.79;NA;NA;10;0;350;350
391;TRUE;FALSE;mmas;3;4.59;2.07;0.09;18;NA;NA;NA;8;0;391;391
393;TRUE;FALSE;mmas;3;3.49;1.83;0.04;8;NA;NA;NA;11;0;393;393
465;TRUE;FALSE;mmas;3;4.65;4.94;0.11;20;NA;NA;NA;16;0;465;465
479;TRUE;FALSE;acs;3;4.8;2.31;0.16;60;0.91;NA;NA;17;0;479;479
488;TRUE;FALSE;acs;3;4.98;3.21;0.07;53;0.82;NA;NA;16;0;488;488
588;TRUE;FALSE;acs;3;4.87;1.73;0.08;52;0.66;NA;NA;10;0;588;588
596;TRUE;FALSE;acs;3;4.49;1.67;0.17;62;0.91;NA;NA;13;0;596;596
627;TRUE;FALSE;acs;3;4.87;3.44;0.08;53;0.69;NA;NA;13;0;627;627
630;TRUE;FALSE;acs;3;3.97;2.49;0.14;65;0.97;NA;NA;11;0;630;630
761;TRUE;FALSE;acs;3;4.74;3.47;0.05;47;0.68;NA;NA;9;0;761;761
793;TRUE;FALSE;acs;3;4.85;1.59;0.09;51;0.78;NA;NA;10;0;793;793
804;TRUE;TRUE;acs;3;4.65;0.88;0.05;43;0.68;NA;NA;9;0;804;804
852;TRUE;FALSE;acs;3;3.98;2.99;0.15;64;0.94;NA;NA;11;0;852;852
