CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
8;TRUE;FALSE;acs;3;3.34;2.02;0.81;36;0.8;NA;NA;49;0;8;8
9;TRUE;FALSE;ras;3;4.9;6.39;0.25;18;NA;19;NA;6;0;9;9
20;TRUE;FALSE;acs;2;4.12;6.08;0.53;69;0.27;NA;NA;42;0;20;20
50;TRUE;FALSE;acs;3;3.54;9.05;0.8;65;0.61;NA;NA;44;0;50;50
59;TRUE;FALSE;acs;3;2.45;4.76;0.61;30;0.52;NA;NA;49;0;59;59
97;TRUE;FALSE;acs;3;3.55;5.5;0.59;71;0.99;NA;NA;43;0;97;97
105;TRUE;FALSE;acs;3;4.5;8.31;0.53;62;0.29;NA;NA;32;0;105;105
107;TRUE;FALSE;acs;3;3.05;9.53;0.53;53;0.64;NA;NA;35;0;107;107
117;TRUE;FALSE;acs;3;3.28;7.79;0.73;28;0.33;NA;NA;44;1;117;117
150;TRUE;FALSE;acs;3;2.82;7.94;0.62;43;0.62;NA;NA;43;0;150;150
152;TRUE;FALSE;acs;3;2.77;9.21;0.76;32;0.2;NA;NA;45;1;152;152
171;TRUE;FALSE;acs;3;4.64;6.82;0.51;63;0.37;NA;NA;25;0;171;171
181;TRUE;FALSE;acs;3;3.64;9.96;0.69;50;0.13;NA;NA;41;1;181;181
193;TRUE;FALSE;acs;3;3.92;8.24;0.54;60;0.29;NA;NA;30;0;193;193
204;TRUE;FALSE;acs;3;2.56;9.09;0.66;32;0.24;NA;NA;41;1;204;204
205;TRUE;FALSE;acs;3;3.56;8.32;0.64;54;0.26;NA;NA;27;0;205;205
212;TRUE;FALSE;acs;3;3.76;6.83;0.45;58;0.2;NA;NA;27;0;212;212
223;TRUE;FALSE;acs;3;3.36;7.22;0.64;58;0.21;NA;NA;27;0;223;223
229;TRUE;FALSE;acs;3;3.76;8.48;0.67;60;0.2;NA;NA;26;0;229;229
234;TRUE;FALSE;acs;3;3.68;9.7;0.56;51;0.25;NA;NA;27;0;234;234
239;TRUE;FALSE;acs;3;4.89;7.32;0.42;64;0.39;NA;NA;25;0;239;239
266;TRUE;FALSE;acs;3;3.06;7.47;0.63;52;0.26;NA;NA;29;0;266;266
280;TRUE;FALSE;acs;3;4.46;7.5;0.35;63;0.36;NA;NA;21;0;280;280
283;TRUE;FALSE;acs;3;3.63;9.67;0.58;48;0.26;NA;NA;26;0;283;283
291;TRUE;FALSE;acs;3;3.21;6.6;0.67;59;0.23;NA;NA;25;0;291;291
321;TRUE;FALSE;acs;3;4.8;7.39;0.48;65;0.43;NA;NA;27;0;321;321
326;TRUE;FALSE;acs;3;3.66;6.06;0.46;56;0.2;NA;NA;25;0;326;326
357;TRUE;TRUE;acs;3;4.82;7.6;0.36;64;0.41;NA;NA;21;0;357;357
