CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
22;TRUE;FALSE;mmas;3;0.89;4.15;0.79;11;NA;NA;NA;50;1;22;22
45;TRUE;FALSE;acs;3;4.25;6.49;0.19;28;0.35;NA;NA;14;0;45;45
75;TRUE;FALSE;ras;3;4.91;0.01;0.12;16;NA;13;NA;26;0;75;75
92;TRUE;FALSE;mmas;3;2.88;4.7;0.4;37;NA;NA;NA;22;1;92;92
117;TRUE;FALSE;acs;3;3.74;9.85;0.69;66;0.25;NA;NA;11;1;117;117
199;TRUE;FALSE;acs;3;4.04;8.24;0.79;65;0.24;NA;NA;25;1;199;199
200;TRUE;FALSE;acs;3;1.95;5.4;0.51;41;0.23;NA;NA;13;1;200;200
216;TRUE;FALSE;acs;3;3.69;6.86;0.08;39;0.34;NA;NA;32;1;216;216
249;TRUE;FALSE;acs;3;4.6;3.12;0.12;47;0.48;NA;NA;15;0;249;249
383;TRUE;FALSE;acs;3;2.82;4.78;0.37;48;0.26;NA;NA;31;1;383;383
392;TRUE;FALSE;acs;3;3.99;5.07;0.08;41;0.05;NA;NA;8;0;392;392
434;TRUE;FALSE;acs;3;3.93;4.17;0.02;11;0.27;NA;NA;12;0;434;434
462;TRUE;FALSE;acs;3;4.16;7.4;0.04;33;0.26;NA;NA;33;1;462;462
471;TRUE;FALSE;acs;3;4.07;6.08;0.04;36;0.05;NA;NA;7;0;471;471
473;TRUE;FALSE;acs;3;2.85;6.81;0.54;38;0.43;NA;NA;20;0;473;473
486;TRUE;FALSE;acs;3;3.36;8.86;0.14;32;0.45;NA;NA;34;1;486;486
507;TRUE;FALSE;acs;3;4.07;4.11;0.09;48;0.04;NA;NA;8;0;507;507
628;TRUE;FALSE;acs;3;4.19;7.06;0.07;40;0.07;NA;NA;10;0;628;628
638;TRUE;FALSE;acs;3;4.38;6.63;0.05;29;0.03;NA;NA;11;0;638;638
669;TRUE;FALSE;acs;3;4.03;5.66;0.05;38;0.03;NA;NA;12;0;669;669
671;TRUE;FALSE;acs;3;3.86;5.97;0.09;41;0.06;NA;NA;11;0;671;671
688;TRUE;FALSE;acs;3;3.63;6.41;0.11;41;0.04;NA;NA;11;0;688;688
696;TRUE;FALSE;acs;3;4.23;7.46;0.04;33;0.07;NA;NA;12;0;696;696
697;TRUE;TRUE;acs;3;3.69;5.15;0.06;40;0.14;NA;NA;11;0;697;697
740;TRUE;FALSE;acs;3;4.19;6.56;0.05;36;0.11;NA;NA;10;0;740;740
773;TRUE;FALSE;acs;3;4.22;7.53;0.04;34;0.04;NA;NA;10;0;773;773
809;TRUE;FALSE;acs;3;3.98;6.23;0.1;42;0.13;NA;NA;10;0;809;809
819;TRUE;FALSE;acs;3;4.32;6.75;0.06;37;0.07;NA;NA;8;0;819;819
825;TRUE;FALSE;acs;3;3.81;5.75;0.08;40;0.14;NA;NA;10;0;825;825
