CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
89;FALSE;FALSE;46;3;0;NA;NA;0.13;1.99;0.05
90;FALSE;FALSE;146;6;1;13;NA;1.38;0.74;0.5
91;FALSE;FALSE;96;4;2;NA;NA;0.75;0.12;0.28
92;FALSE;FALSE;195;1;1;NA;NA;2;1.37;0.73
93;FALSE;FALSE;55;4;1;NA;NA;2.35;1.72;0.07
94;FALSE;FALSE;155;0;0;NA;NA;1.1;0.47;0.52
95;FALSE;FALSE;6;2;1;NA;NA;1.73;1.1;0.29
96;FALSE;FALSE;180;3;1;NA;NA;0.16;1.41;0.18
97;FALSE;FALSE;80;0;2;NA;NA;1.41;0.16;0.63
98;FALSE;FALSE;30;5;0;NA;3;2.04;2.03;0.85
99;FALSE;FALSE;130;1;2;NA;NA;0.79;0.78;0.4
100;FALSE;FALSE;142;4;0;NA;NA;0.95;1.25;0.12
101;FALSE;FALSE;43;1;2;NA;NA;2.2;0;0.57
102;FALSE;FALSE;192;3;2;NA;NA;0.32;0.63;0.35
103;FALSE;FALSE;93;6;1;10;NA;1.57;1.88;0.8
104;FALSE;FALSE;68;2;0;NA;NA;1.88;0.94;0.24
105;FALSE;FALSE;167;5;1;NA;6;0.63;2.19;0.69
106;FALSE;FALSE;118;0;0;NA;NA;0.01;0.32;0.46
107;FALSE;FALSE;18;3;2;NA;NA;1.26;1.57;0.01
108;FALSE;FALSE;173;2;1;NA;NA;1.34;1.8;0.26
109;FALSE;FALSE;74;5;2;NA;2;0.09;0.55;0.71
110;FALSE;FALSE;124;4;1;NA;NA;1.96;1.17;0.04
111;FALSE;FALSE;24;0;0;NA;NA;0.71;2.42;0.49
112;FALSE;FALSE;149;1;2;NA;NA;1.65;2.11;0.6
113;FALSE;FALSE;49;5;0;NA;5;0.4;0.86;0.15
114;FALSE;FALSE;99;3;1;NA;NA;1.02;1.49;0.38
115;FALSE;FALSE;198;6;0;6;NA;2.27;0.24;0.83
116;FALSE;FALSE;62;1;1;NA;NA;0.56;2.27;0.55
117;FALSE;FALSE;161;4;2;NA;NA;1.81;1.02;0.1
118;FALSE;FALSE;111;2;0;NA;NA;2.43;1.64;0.32
119;FALSE;FALSE;37;1;2;NA;NA;0.24;1.33;0.43
120;FALSE;FALSE;136;5;1;NA;4;1.49;0.08;0.88
121;FALSE;FALSE;86;3;0;NA;NA;0.87;0.71;0.21
122;FALSE;FALSE;186;0;1;NA;NA;2.12;1.96;0.66
123;TRUE;FALSE;69;0;0;NA;NA;1.07;1.85;0.44
124;FALSE;FALSE;168;3;2;NA;NA;2.32;0.6;0.89
125;FALSE;FALSE;19;5;1;NA;5;0.45;1.22;0.21
126;TRUE;FALSE;118;1;0;NA;NA;1.7;2.47;0.66
127;FALSE;FALSE;93;4;0;NA;NA;0.14;0.29;0.77
128;FALSE;FALSE;193;1;1;NA;NA;1.39;1.54;0.32
129;FALSE;FALSE;44;2;2;NA;NA;0.76;2.16;0.55
130;FALSE;FALSE;143;6;1;6;NA;2.01;0.91;0.1
131;FALSE;FALSE;156;3;0;NA;NA;2.17;2.32;0.6
132;FALSE;FALSE;106;4;1;NA;NA;1.54;0.44;0.83
133;FALSE;FALSE;6;1;0;NA;NA;0.29;1.69;0.38
134;FALSE;FALSE;17;2;1;NA;NA;0.75;1.64;0.56
135;FALSE;FALSE;81;1;0;NA;NA;1.17;2.35;0.64
136;FALSE;FALSE;166;5;1;NA;3;0.43;1.28;0.26
137;FALSE;FALSE;50;3;2;NA;NA;0.28;1.57;0.64
138;FALSE;FALSE;68;1;2;NA;NA;1.45;1.99;0.11
139;FALSE;FALSE;48;4;1;NA;NA;0.54;1.93;0.57
140;FALSE;FALSE;162;4;2;NA;NA;1.81;1.97;0.54
141;FALSE;FALSE;16;0;0;NA;NA;1.97;1.43;0.3
142;FALSE;FALSE;67;4;2;NA;NA;2.02;2.17;0.76
143;FALSE;FALSE;185;5;2;NA;8;0.26;0.28;0
144;FALSE;FALSE;113;4;0;NA;NA;2.43;1.71;0.88
145;FALSE;FALSE;200;6;1;9;NA;2.15;2.11;0.57
146;FALSE;FALSE;56;6;1;14;NA;1.42;1.45;0.76
147;FALSE;FALSE;183;4;2;NA;NA;2.25;2.18;0.41
148;FALSE;FALSE;101;3;2;NA;NA;2.07;2.25;0.3
149;FALSE;FALSE;86;3;0;NA;NA;1.26;1.36;0.37
150;FALSE;FALSE;132;4;1;NA;NA;1.45;1.67;0.58
151;FALSE;FALSE;150;5;2;NA;2;2.24;2.3;0.4
152;FALSE;FALSE;193;4;1;NA;NA;2.4;2.25;0.33
