CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
19;TRUE;FALSE;191;0;0;NA;NA;0.81;2.29;0.3;19;19
36;TRUE;FALSE;187;4;0;NA;NA;1.4;2.41;0.59;36;36
39;TRUE;FALSE;150;4;0;NA;NA;2.49;2.25;0.65;39;39
41;TRUE;FALSE;100;5;0;NA;5;0.61;1.62;0.43;41;41
65;TRUE;FALSE;65;4;0;NA;NA;2.24;2.39;0.36;65;65
69;TRUE;FALSE;33;4;0;NA;NA;2.07;1.46;0.67;69;69
81;TRUE;FALSE;136;4;0;NA;NA;1.98;2.11;0.63;81;81
106;TRUE;FALSE;121;4;0;NA;NA;2.13;2.32;0.43;106;106
126;TRUE;FALSE;108;4;0;NA;NA;2.12;2.33;0.62;126;126
139;TRUE;FALSE;112;4;0;NA;NA;2.11;1.94;0.47;139;139
146;TRUE;FALSE;131;4;0;NA;NA;1.52;2.17;0.37;146;146
161;TRUE;FALSE;112;4;0;NA;NA;2.37;2.24;0.48;161;161
195;TRUE;FALSE;114;4;0;NA;NA;2.48;2.22;0.56;195;195
219;TRUE;FALSE;84;4;0;NA;NA;1.87;2.41;0.43;219;219
231;TRUE;FALSE;98;4;0;NA;NA;1.88;2.48;0.62;231;231
242;TRUE;FALSE;140;4;0;NA;NA;2.44;2.45;0.48;242;242
252;TRUE;FALSE;96;4;0;NA;NA;2.13;2.33;0.64;252;252
297;TRUE;FALSE;103;4;0;NA;NA;1.92;2.27;0.57;297;297
300;TRUE;FALSE;122;4;0;NA;NA;2.14;2.29;0.57;300;300
322;TRUE;FALSE;110;4;0;NA;NA;2.13;2.41;0.56;322;322
327;TRUE;FALSE;104;4;0;NA;NA;1.77;2.24;0.62;327;327
344;TRUE;FALSE;111;4;0;NA;NA;1.88;2.36;0.56;344;344
366;TRUE;TRUE;109;4;0;NA;NA;1.97;2.44;0.56;366;366
