CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
1;TRUE;FALSE;ras;3;2.69;2.81;0.48;31;NA;8;NA;21;1
2;FALSE;FALSE;as;1;0.19;7.81;0.98;79;NA;NA;NA;44;0
3;FALSE;FALSE;eas;2;3.94;0.31;0.73;55;NA;NA;11;33;0
4;FALSE;FALSE;acs;0;1.44;5.31;0.23;7;0.12;NA;NA;NA;NA
5;FALSE;FALSE;eas;1;4.56;4.06;0.36;19;NA;NA;292;39;0
6;FALSE;FALSE;as;3;2.06;9.06;0.85;67;NA;NA;NA;16;1
7;FALSE;FALSE;mmas;0;3.31;1.56;0.6;91;NA;NA;NA;NA;NA
8;FALSE;FALSE;ras;2;0.81;6.56;0.11;43;NA;96;NA;50;0
9;FALSE;FALSE;acs;1;3.63;9.68;0.67;37;0.43;NA;NA;18;0
10;FALSE;FALSE;mmas;3;1.13;4.68;0.17;85;NA;NA;NA;41;1
11;FALSE;FALSE;ras;2;2.38;2.18;0.91;13;NA;89;NA;7;0
12;FALSE;FALSE;as;0;4.88;7.18;0.42;61;NA;NA;NA;NA;NA
13;FALSE;FALSE;mmas;2;3;5.93;0.3;97;NA;NA;NA;24;0
14;FALSE;FALSE;ras;0;0.5;0.93;0.79;49;NA;27;NA;NA;NA
15;TRUE;FALSE;acs;3;4.25;8.43;0.54;25;0.8;NA;NA;36;1
16;FALSE;FALSE;eas;1;1.75;3.43;0.05;73;NA;NA;245;13;0
17;FALSE;FALSE;acs;3;1.6;0.62;0.33;64;0.21;NA;NA;43;0
18;FALSE;FALSE;mmas;1;4.1;5.62;0.82;16;NA;NA;NA;20;1
19;FALSE;FALSE;as;2;0.35;3.12;0.57;40;NA;NA;NA;8;1
20;FALSE;FALSE;eas;0;2.85;8.12;0.08;88;NA;NA;81;NA;NA
21;FALSE;FALSE;mmas;0;2.22;4.37;0.7;28;NA;NA;NA;NA;NA
22;FALSE;FALSE;ras;2;4.72;9.37;0.2;76;NA;80;NA;26;1
23;FALSE;FALSE;eas;3;3.47;6.87;0.94;52;NA;NA;363;37;0
24;FALSE;FALSE;acs;1;0.97;1.87;0.45;100;0.58;NA;NA;14;1
25;FALSE;FALSE;as;1;2.53;1.24;0.14;46;NA;NA;NA;34;1
26;FALSE;FALSE;eas;3;0.03;6.24;0.64;94;NA;NA;222;11;0
27;TRUE;FALSE;mmas;2;1.28;8.74;0.39;22;NA;NA;NA;46;1
