CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
1;33057784;33421678.4;5;130;199.8;0.556034482758621;0.669861880078954;2.39310564443493;2.54764232091315;130;199.8;0.556034482758621;0.669861880078954;1.18023283632959
2;32425902;32871379.2;5;52;108.8;0.217948717948718;0.352856065936325;0.453454571781391;0.858770742292914;52;108.8;0.217948717948718;0.352856065936325;0.621698782840192
3;39873600;40170283.8;5;211;272.4;0.905172413793103;0.922925013035375;22.5213975391946;23.2566423767775;211;272.4;0.905172413793103;0.922925013035375;1.62610597534804
4;33103891;33503664.8;5;153;208.4;0.64041095890411;0.701565761502636;2.37426767830999;2.80007912070355;153;208.4;0.64041095890411;0.701565761502636;1.23609205598084
5;32820420;33065149.4;5;88;151;0.375;0.504877571744278;1.08433050263862;1.45531124179392;88;151;0.375;0.504877571744278;0.889546197835157
6;37964896;38216483;5;198;256.2;0.845890410958904;0.86785212671222;16.7071547912171;17.2620965248338;198;256.2;0.845890410958904;0.86785212671222;1.52907279468344
7;32906825;33203519.6;5;147;170.2;0.506849315068493;0.582746810691587;1.33202892564726;1.88064477066543;147;170.2;0.506849315068493;0.582746810691587;1.02674438074232
8;32680445;33002914.6;5;91;139.4;0.387931034482759;0.47057186216159;0.997787456121459;1.26312568277495;91;139.4;0.387931034482759;0.47057186216159;0.829102804760897
9;37135646;37381230.2;5;195;252.6;0.836206896551724;0.855352336502764;14.0016957544625;14.6975453220016;195;252.6;0.836206896551724;0.855352336502764;1.50704935479058
10;32636914;32981871.8;5;79;134.4;0.267123287671233;0.450521134724768;0.632336244430854;1.19986322061305;79;134.4;0.267123287671233;0.450521134724768;0.793775332610305
11;33917069;34179641;5;181;237.4;0.775862068965517;0.803211538703444;4.60061259977617;4.87456670659839;181;237.4;0.775862068965517;0.803211538703444;1.41518223485845
12;32513993;32866543.8;5;68;107.4;0.229452054794521;0.359252632158116;0.533191994295223;0.845436485400293;68;107.4;0.229452054794521;0.359252632158116;0.632968923326204
13;32816377;33127412.2;5;112;161.2;0.478448275862069;0.54296941172129;1.4697239273939;1.64549457898928;112;161.2;0.478448275862069;0.54296941172129;0.956660392080369
14;32688208;33071366.4;5;104;154.6;0.443965517241379;0.517022200327263;1.26606246330298;1.47298687982953;104;154.6;0.443965517241379;0.517022200327263;0.910943876767083
15;33395916;33703005.4;5;169;223.8;0.724137931034483;0.756657110227772;3.12501443385651;3.41189557194252;169;223.8;0.724137931034483;0.756657110227772;1.33315776563941
16;45060825;45481785.4;5;223;286;0.956896551724138;0.969270698669075;38.0789742933742;39.5570098825799;223;286;0.956896551724138;0.969270698669075;1.7077626595598
