ESCENARIO;SEED_ID;CONFIG_ID
BH;100003;914
BH;1000193;793
BH;1100211;780
BH;1200239;851
BH;1300277;855
BH;1400299;814
BH;1500311;866
BH;1600333;476
BH;1700359;731
BH;1800371;632
BH;1900393;819
BH;200009;819
BH;2000419;813
BH;300017;811
BH;400031;716
BH;500057;886
BH;600083;870
BH;700099;881
BH;800123;929
BH;900149;889
BH-90;100003;596
BH-90;1000193;254
BH-90;1100211;448
BH-90;1200239;432
BH-90;1300277;597
BH-90;1400299;479
BH-90;1500311;552
BH-90;1600333;530
BH-90;1700359;597
BH-90;1800371;291
BH-90;1900393;546
BH-90;200009;237
BH-90;2000419;502
BH-90;300017;475
BH-90;400031;471
BH-90;500057;680
BH-90;600083;573
BH-90;700099;378
BH-90;800123;563
BH-90;900149;573
BL;100003;413
BL;1000193;373
BL;1100211;409
BL;1200239;282
BL;1300277;441
BL;1400299;354
BL;1500311;442
BL;1600333;401
BL;1700359;292
BL;1800371;466
BL;1900393;467
BL;200009;333
BL;2000419;418
BL;300017;396
BL;400031;450
BL;500057;388
BL;600083;337
BL;700099;426
BL;800123;389
BL;900149;376
BL-45;100003;321
BL-45;1000193;281
BL-45;1100211;259
BL-45;1200239;287
BL-45;1300277;330
BL-45;1400299;328
BL-45;1500311;290
BL-45;1600333;310
BL-45;1700359;278
BL-45;1800371;265
BL-45;1900393;282
BL-45;200009;207
BL-45;2000419;230
BL-45;300017;254
BL-45;400031;324
BL-45;500057;310
BL-45;600083;248
BL-45;700099;295
BL-45;800123;277
BL-45;900149;287
