EXPERIMENT_ID;INSTANCE_ID;SEED;NAME;OPTIMUM
1;1;169990504;2000-100.tsp;32480076
2;2;1563403532;2000-159.tsp;32562458
3;3;1694256698;2000-160.tsp;32101969
4;4;1017834400;2000-171.tsp;32778093
5;5;436358978;2000-184.tsp;32892724
6;6;912593174;2000-246.tsp;32321339
7;7;306662797;2000-256.tsp;32691906
8;8;777840386;2000-267.tsp;32835936
9;9;146342652;2000-294.tsp;32457339
10;10;1822910286;2000-355.tsp;32495137
11;11;174895070;2000-365.tsp;32454102
12;12;1580193103;2000-380.tsp;32658528
13;13;1161444722;2000-382.tsp;32688305
14;14;2069854422;2000-41.tsp;32383755
15;15;464686746;2000-451.tsp;32360194
16;16;1500480191;2000-463.tsp;32442545
17;17;865888519;2000-464.tsp;32559991
18;18;1350504024;2000-474.tsp;32452652
19;19;802582898;2000-52.tsp;32200934
20;20;525388998;2000-542.tsp;32469512
21;21;503549971;2000-556.tsp;32342206
22;22;785096984;2000-575.tsp;32882488
23;23;1539878190;2000-599.tsp;32475779
24;24;1471646052;2000-650.tsp;32584374
25;25;1730859671;2000-660.tsp;32259313
26;26;727962182;2000-669.tsp;32213703
27;27;530398632;2000-690.tsp;32632039
28;28;713571954;2000-750.tsp;32526959
29;29;1043058371;2000-760.tsp;32103609
30;30;985299668;2000-770.tsp;32299400
31;31;1304526411;2000-780.tsp;32733751
32;32;1562038078;2000-845.tsp;32443928
33;33;1286478529;2000-855.tsp;32709882
34;34;791717698;2000-86.tsp;32411407
35;35;1540794320;2000-865.tsp;32616959
36;36;1166586762;2000-875.tsp;32465216
37;37;319519933;2000-947.tsp;32486300
38;38;1660942898;2000-957.tsp;32484052
39;39;1922812047;2000-967.tsp;32239505
40;40;1613980410;2000-977.tsp;32243436
