CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG;QUALITY
13;6.98657044193325;430753.829001588;11;5;65.7272727272727;0.023121387283237;0.469853342705275;21.3208635425373;265.219928151268;5;65.7272727272727;0.023121387283237;0.469853342705275;0.65257408709066
17;3.22363374689834;66617.4320331454;13;1;57.6923076923077;0;0.425950091877084;1.96378535811904;270.266580102084;1;57.6923076923077;0;0.425950091877084;0.544269561842941
20;8.87225405167576;325512.517753938;9;8;68;0.0507246376811594;0.459540377662248;57.0792503422297;202.484277089665;8;68;0.0507246376811594;0.459540377662248;0.689310566493371
22;4.03377979162539;143687342.261244;11;2;70.4545454545455;0.00840336134453781;0.497813799030896;6.5683144121511;30963.7200065677;2;70.4545454545455;0.00840336134453781;0.497813799030896;0.691408054209578
25;7.62452201922213;239860.959990735;9;2;81.8888888888889;0.00625;0.572277631678393;6.37116187769854;289.127612132064;2;81.8888888888889;0.00625;0.572277631678393;0.858416447517589
33;3.65821786645692;89205.2868755721;11;5;67.6363636363636;0.0268456375838926;0.476004116565394;4.64573271805732;221.811268185045;5;67.6363636363636;0.0268456375838926;0.476004116565394;0.661116828563048
59;4.64609019801875;167936.074988198;13;8;58.6153846153846;0.0608695652173913;0.44447045024806;6.95794571088625;2041.78314220004;8;58.6153846153846;0.0608695652173913;0.44447045024806;0.567934464205855
63;1.04468678239264;117871.711698474;15;5;53.8666666666667;0.0434782608695652;0.466058386722808;5.10565590137749;3250.61798165111;5;53.8666666666667;0.0434782608695652;0.466058386722808;0.543734784509943
64;4.07884786717084;141624.563718365;13;19;64.3076923076923;0.134328358208955;0.476685878667254;7.78359329413375;552.851560063453;19;64.3076923076923;0.134328358208955;0.476685878667254;0.609098622741492
65;3.14983673113941;76126.096734177;13;1;53.3846153846154;0;0.414206629111934;0.200119062982592;705.566165755662;1;53.3846153846154;0;0.414206629111934;0.529264026087471
89;0.486606515330267;104818.280962515;15;9;48.4666666666667;0.0869565217391304;0.370731120203026;5.38657551042532;508.821381778082;9;48.4666666666667;0.0869565217391304;0.370731120203026;0.432519640236864
91;0.483792309164171;114188.582245649;15;9;52.2666666666667;0.046242774566474;0.424572247668611;5.01113036280956;1022.27452736904;9;52.2666666666667;0.046242774566474;0.424572247668611;0.495334288946712
102;0.422032649055705;82841.6126646685;17;11;43.2941176470588;0.105769230769231;0.349031933033597;5.73614743234959;285.402010433202;11;43.2941176470588;0.105769230769231;0.349031933033597;0.368422595979908
106;0.548563198549611;93423.0184208983;15;2;53.4666666666667;0.00746268656716418;0.454909588455487;5.1312688767354;1590.32520857499;2;53.4666666666667;0.00746268656716418;0.454909588455487;0.530727853198068
114;0.451854011440491;80399.6123115675;17;10;45.6470588235294;0.0545454545454545;0.43686226944064;2.70322467498025;1613.91221341464;10;45.6470588235294;0.0545454545454545;0.43686226944064;0.461132395520676
125;0.943682909868627;89401.0632947743;17;3;38.3529411764706;0.0173913043478261;0.37456615222123;1.91829661546025;2713.53783291158;3;38.3529411764706;0.0173913043478261;0.37456615222123;0.395375382900188
129;0.495091230317475;73460.62805509;17;2;39.4705882352941;0.00632911392405063;0.377533951147764;4.98965994286062;334.701799921486;2;39.4705882352941;0.00632911392405063;0.377533951147764;0.398508059544861
134;0.433074458096731;78134.63666374;18;2;33.3333333333333;0.0108695652173913;0.332087343852975;3.79773571119938;307.100508247232;2;33.3333333333333;0.0108695652173913;0.332087343852975;0.332087343852975
141;0.427517061072619;71281.4513622312;18;3;38.1111111111111;0.105263157894737;0.322407883961705;5.24371616076535;1674.90809366748;3;38.1111111111111;0.105263157894737;0.322407883961705;0.322407883961705
143;0.373045929738842;78495.5490315364;18;7;37.1111111111111;0.0756302521008403;0.376801680573432;3.94623866077566;285.68579537683;7;37.1111111111111;0.0756302521008403;0.376801680573432;0.376801680573432
157;0.409244923985481;89597.8784605309;18;2;30.8888888888889;0.00869565217391304;0.302634209784491;5.2673728525188;331.18790242757;2;30.8888888888889;0.00869565217391304;0.302634209784491;0.302634209784491
163;0.474119920109641;67417.4641676448;18;2;35.6666666666667;0.0217391304347826;0.314622838219347;3.38696739458201;302.73860449645;2;35.6666666666667;0.0217391304347826;0.314622838219347;0.314622838219347
168;0.459649194794301;68855.9504874775;18;4;37.3333333333333;0.0684931506849315;0.357748127806641;3.82210130415064;254.417320582144;4;37.3333333333333;0.0684931506849315;0.357748127806641;0.357748127806641
169;0.225221938415859;64952.5414088485;18;1;38.2777777777778;0;0.331917487152154;7.18061903645557;254.694720494413;1;38.2777777777778;0;0.331917487152154;0.331917487152154
180;0.400014628678611;63945.0808344334;18;1;33.6666666666667;0;0.321482141231742;4.57438773639176;493.667300169939;1;33.6666666666667;0;0.321482141231742;0.321482141231742
