CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
10;TRUE;FALSE;mmas;3;1.75;7.26;0.6;29;NA;NA;NA;29;1;10;10
18;TRUE;FALSE;mmas;3;4.1;3.82;0.32;92;NA;NA;NA;50;0;18;18
21;TRUE;FALSE;acs;3;0.97;7.57;0.94;8;0.95;NA;NA;33;0;21;21
55;TRUE;FALSE;ras;3;3.39;4.6;0.46;46;NA;24;NA;18;0;55;55
92;TRUE;FALSE;ras;3;3.98;1.87;0.94;95;NA;66;NA;20;1;92;92
188;TRUE;FALSE;acs;3;2.9;6.14;0.44;19;0.55;NA;NA;19;1;188;188
234;TRUE;FALSE;mmas;3;2.32;4.68;0.45;48;NA;NA;NA;49;0;234;234
237;TRUE;FALSE;acs;3;2.47;2.12;0.67;51;0.37;NA;NA;50;1;237;237
297;TRUE;FALSE;acs;3;4.95;6.9;0.38;67;0.74;NA;NA;35;0;297;297
376;TRUE;FALSE;ras;3;4.2;2.47;0.7;61;NA;8;NA;25;0;376;376
377;TRUE;FALSE;ras;3;3.79;5.11;0.75;52;NA;12;NA;32;0;377;377
420;TRUE;FALSE;acs;3;4.97;7.97;0.38;69;0.88;NA;NA;43;0;420;420
455;TRUE;FALSE;acs;3;2.34;3.94;0.52;50;0.69;NA;NA;33;0;455;455
482;TRUE;FALSE;acs;3;4.13;7.37;0.35;57;0.43;NA;NA;49;1;482;482
486;TRUE;FALSE;ras;3;3.53;3.09;0.92;55;NA;26;NA;28;0;486;486
577;TRUE;FALSE;acs;3;4.47;6.74;0.29;62;0.79;NA;NA;46;0;577;577
579;TRUE;FALSE;ras;3;4.27;5.64;0.64;51;NA;13;NA;33;0;579;579
609;TRUE;FALSE;ras;3;3.53;2.65;0.75;55;NA;25;NA;31;0;609;609
628;TRUE;FALSE;ras;3;3.12;3.56;0.73;57;NA;21;NA;33;0;628;628
707;TRUE;FALSE;ras;3;3.76;3.48;0.75;71;NA;15;NA;29;0;707;707
720;TRUE;FALSE;ras;3;2.81;2.39;0.76;61;NA;20;NA;30;0;720;720
762;TRUE;FALSE;ras;3;3.04;4.55;0.79;52;NA;9;NA;32;0;762;762
788;TRUE;FALSE;ras;3;2.89;2.7;0.63;49;NA;14;NA;30;0;788;788
792;TRUE;FALSE;ras;3;2.75;2.41;0.83;62;NA;23;NA;26;0;792;792
808;TRUE;TRUE;ras;3;2.62;2.38;0.86;61;NA;14;NA;28;0;808;808
810;TRUE;FALSE;ras;3;2.57;2.01;0.74;56;NA;17;NA;29;0;810;810
813;TRUE;FALSE;ras;3;2.39;1.89;0.75;62;NA;25;NA;32;0;813;813
843;TRUE;FALSE;ras;3;2.33;2.72;0.88;61;NA;15;NA;29;0;843;843
849;TRUE;FALSE;ras;3;2.74;2.47;0.83;68;NA;11;NA;32;0;849;849
