CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
63;TRUE;FALSE;102;1;0;NA;NA;1.32;1.8;0.47;63;63
64;TRUE;FALSE;3;5;2;NA;10;0.07;0.55;0.02;64;64
69;TRUE;FALSE;164;0;0;NA;NA;2.41;1.64;0.52;69;69
82;TRUE;FALSE;34;4;0;NA;NA;1.71;1.88;0.16;82;82
106;TRUE;FALSE;6;3;1;NA;NA;0.34;1.68;0.12;106;106
145;TRUE;FALSE;74;1;2;NA;NA;1.47;1.28;0.7;145;145
168;TRUE;FALSE;76;4;0;NA;NA;2.41;2.21;0.28;168;168
176;TRUE;FALSE;12;4;2;NA;NA;0.04;2;0.41;176;176
183;TRUE;FALSE;114;0;0;NA;NA;0.91;2.44;0.08;183;183
191;TRUE;FALSE;23;4;1;NA;NA;1.85;1.19;0.02;191;191
234;TRUE;FALSE;15;4;1;NA;NA;1.6;1.7;0.32;234;234
239;TRUE;FALSE;34;4;0;NA;NA;2.38;2.16;0.2;239;239
242;TRUE;FALSE;56;0;0;NA;NA;2.24;2.32;0.27;242;242
245;TRUE;FALSE;68;4;0;NA;NA;1.91;2.4;0.35;245;245
255;TRUE;FALSE;17;5;0;NA;10;1.8;2.2;0.33;255;255
351;TRUE;FALSE;6;4;1;NA;NA;1.74;1.79;0.46;351;351
353;TRUE;FALSE;98;4;0;NA;NA;2.07;2.34;0.4;353;353
388;TRUE;FALSE;19;5;0;NA;10;1.97;2.42;0.26;388;388
395;TRUE;FALSE;9;4;0;NA;NA;1.86;2.44;0.31;395;395
402;TRUE;FALSE;5;4;0;NA;NA;1.83;2.37;0.36;402;402
413;TRUE;FALSE;92;4;0;NA;NA;2.18;2.41;0.3;413;413
417;TRUE;TRUE;21;4;0;NA;NA;1.89;2.36;0.38;417;417
421;TRUE;FALSE;16;4;0;NA;NA;1.8;2.36;0.3;421;421
431;TRUE;FALSE;82;4;0;NA;NA;2.17;2.19;0.4;431;431
