RUN_ID;CONFIG_ID;MNRG
100003;61;0.578561880190277
1000193;62;0.416876723373377
1100211;63;0.441368620495042
1200239;64;0.565230186245263
1300277;65;0.443823349189712
1400299;66;0.67071450455535
1500311;67;0.491734983471741
1600333;68;0.465050713537048
1700359;69;0.621498347174071
1800371;70;0.45711610094332
1900393;71;0.468017173264533
200009;72;0.498207530436185
2000419;73;0.526370878013384
300017;74;0.537785777634443
400031;75;0.480434814157865
500057;76;0.440292913004918
600083;77;0.521598484237684
700099;78;0.452051761670564
800123;79;0.601435136660485
900149;80;0.595458356849149
