CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;FALSE;141;6;0;6;NA;1.8;2.46;0.87
2;FALSE;FALSE;42;2;2;NA;NA;0.55;1.21;0.42
3;FALSE;FALSE;191;0;2;NA;NA;2.43;0.58;0.65
4;FALSE;FALSE;92;4;1;NA;NA;1.18;1.83;0.2
5;FALSE;FALSE;67;1;0;NA;NA;0.24;0.27;0.54
6;FALSE;FALSE;166;5;1;NA;10;1.49;1.52;0.09
7;FALSE;FALSE;116;3;1;NA;NA;2.12;0.9;0.31
8;FALSE;FALSE;4;0;0;NA;NA;1.02;0.11;0.48
9;FALSE;FALSE;104;3;2;NA;NA;2.27;1.36;0.03
10;FALSE;FALSE;54;5;1;NA;8;0.4;1.99;0.7
11;FALSE;FALSE;154;2;0;NA;NA;1.65;0.74;0.25
12;TRUE;FALSE;29;4;0;NA;NA;0.08;1.68;0.14
13;FALSE;FALSE;129;1;2;NA;NA;1.33;0.43;0.59
14;FALSE;FALSE;79;2;2;NA;NA;0.71;1.05;0.37
15;FALSE;FALSE;179;6;1;15;NA;1.96;2.3;0.82
16;FALSE;FALSE;172;1;1;NA;NA;0.79;1.91;0.51
17;FALSE;FALSE;73;4;2;NA;NA;2.04;0.66;0.06
18;FALSE;FALSE;23;3;0;NA;NA;1.41;1.29;0.28
19;FALSE;FALSE;147;2;2;NA;NA;1.1;1.6;0.39
20;FALSE;FALSE;48;5;0;NA;10;2.35;0.35;0.84
21;FALSE;FALSE;197;4;0;NA;NA;0.48;0.97;0.17
22;FALSE;FALSE;98;0;1;NA;NA;1.73;2.22;0.62
23;FALSE;FALSE;185;2;1;NA;NA;0.01;1.75;0.34
24;FALSE;FALSE;85;6;0;17;NA;1.26;0.5;0.79
25;FALSE;FALSE;135;4;0;NA;NA;0.63;1.13;0.11
26;TRUE;FALSE;36;1;2;NA;NA;1.88;2.38;0.56
27;FALSE;FALSE;60;1;1;NA;NA;2.19;1.44;0.23
28;FALSE;FALSE;160;5;2;NA;8;0.94;0.19;0.68
29;TRUE;FALSE;11;3;1;NA;NA;1.57;0.82;0
30;TRUE;FALSE;110;0;0;NA;NA;0.32;2.07;0.45
31;FALSE;FALSE;151;4;1;NA;NA;0.83;0.54;0.3
32;TRUE;FALSE;51;0;0;NA;NA;2.08;1.79;0.75
33;FALSE;FALSE;82;2;2;NA;NA;1.24;1.85;0.53
34;FALSE;FALSE;141;1;0;NA;NA;1.24;2.13;0.68
35;FALSE;FALSE;105;0;0;NA;NA;0.09;1.51;0.47
36;FALSE;FALSE;79;0;2;NA;NA;0.03;2.11;0.32
37;FALSE;FALSE;121;5;0;NA;6;2.06;2;0.86
38;FALSE;FALSE;30;2;1;NA;NA;0.91;0.68;0.02
39;FALSE;FALSE;38;2;1;NA;NA;0.41;1.88;0.22
40;FALSE;FALSE;113;1;1;NA;NA;0.19;1.99;0.23
41;TRUE;FALSE;135;4;0;NA;NA;1.02;2.29;0.75
