CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
1;TRUE;FALSE;131;0;0;NA;NA;2.07;0.93;0.3;1;1
5;TRUE;FALSE;106;4;1;NA;NA;1.76;2.5;0.86;5;5
6;TRUE;FALSE;6;1;2;NA;NA;0.51;1.25;0.41;6;6
22;TRUE;FALSE;25;2;1;NA;NA;1.99;2.42;0.6;22;22
25;TRUE;FALSE;38;0;1;NA;NA;1.52;1.33;0.32;25;25
42;TRUE;FALSE;167;1;0;NA;NA;2.38;2.42;0.22;42;42
60;TRUE;FALSE;106;0;0;NA;NA;2.02;2.18;0.24;60;60
70;TRUE;FALSE;127;0;0;NA;NA;2.5;1.35;0.17;70;70
75;TRUE;FALSE;42;0;1;NA;NA;1.44;1.99;0.42;75;75
76;TRUE;FALSE;157;0;0;NA;NA;1.82;2.41;0.29;76;76
77;TRUE;FALSE;162;0;0;NA;NA;2.16;1.82;0.32;77;77
94;TRUE;FALSE;140;0;0;NA;NA;1.89;1.99;0.18;94;94
104;TRUE;FALSE;105;0;0;NA;NA;2.26;1.73;0.18;104;104
112;TRUE;FALSE;84;1;0;NA;NA;1.79;2.18;0.1;112;112
118;TRUE;FALSE;78;0;0;NA;NA;1.89;2.27;0.32;118;118
119;TRUE;FALSE;83;1;0;NA;NA;1.82;1.87;0.14;119;119
125;TRUE;FALSE;95;0;0;NA;NA;1.9;2.18;0.27;125;125
137;TRUE;FALSE;102;0;0;NA;NA;1.96;2.4;0.23;137;137
154;TRUE;FALSE;97;0;0;NA;NA;1.9;2.29;0.22;154;154
155;TRUE;FALSE;112;0;0;NA;NA;2.12;2.13;0.33;155;155
166;TRUE;TRUE;88;0;0;NA;NA;1.68;2.5;0.22;166;166
170;TRUE;FALSE;86;0;0;NA;NA;1.66;2.4;0.18;170;170
178;TRUE;FALSE;83;0;0;NA;NA;1.63;2.44;0.19;178;178
