CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
80;FALSE;mmas;1;0.42;6.16;0.51;91;NA;NA;NA;15;0
81;FALSE;acs;0;2.77;5.85;0.41;100;0.06;NA;NA;NA;NA
82;FALSE;mmas;2;0.27;0.85;0.91;52;NA;NA;NA;48;1
83;FALSE;as;1;4.02;8.35;0.66;28;NA;NA;NA;36;1
84;FALSE;ras;3;1.52;3.35;0.17;76;NA;74;NA;13;0
85;FALSE;ras;2;4.64;7.1;0.29;64;NA;36;NA;30;1
86;FALSE;mmas;0;2.14;2.1;0.78;16;NA;NA;NA;NA;NA
87;FALSE;as;3;3.39;9.6;0.54;40;NA;NA;NA;19;0
88;FALSE;eas;1;0.89;4.6;0.04;88;NA;NA;545;42;1
89;FALSE;acs;1;2.46;8.97;0.97;70;0.38;NA;NA;10;1
90;FALSE;mmas;3;4.96;3.97;0.47;22;NA;NA;NA;33;0
91;FALSE;as;0;1.21;6.47;0.23;46;NA;NA;NA;NA;NA
92;FALSE;eas;2;3.71;1.47;0.72;94;NA;NA;685;22;1
93;FALSE;as;2;1.83;5.22;0.1;10;NA;NA;NA;5;1
94;FALSE;ras;0;4.33;0.22;0.6;58;NA;93;NA;NA;NA
95;FALSE;eas;1;3.08;2.72;0.35;34;NA;NA;404;16;1
96;FALSE;acs;3;0.58;7.72;0.85;82;0.75;NA;NA;39;0
97;FALSE;acs;2;3.31;2.88;0.98;17;0.05;NA;NA;41;0
98;FALSE;eas;0;0.81;7.88;0.49;65;NA;NA;346;NA;NA
99;FALSE;ras;1;2.06;5.38;0.74;41;NA;29;NA;30;0
100;FALSE;mmas;3;4.56;0.38;0.24;89;NA;NA;NA;7;1
101;FALSE;as;1;2.69;1.63;0.12;53;NA;NA;NA;47;0
102;FALSE;ras;3;0.19;6.63;0.61;5;NA;91;NA;24;1
103;FALSE;acs;0;3.94;4.13;0.86;29;0.67;NA;NA;NA;NA
104;FALSE;mmas;2;1.44;9.13;0.37;77;NA;NA;NA;36;0
105;FALSE;eas;0;3;9.75;0.18;23;NA;NA;205;NA;NA
106;FALSE;as;2;0.5;4.75;0.68;71;NA;NA;NA;21;0
107;FALSE;mmas;1;4.25;7.25;0.92;95;NA;NA;NA;10;0
108;FALSE;acs;3;1.75;2.25;0.43;47;0.49;NA;NA;33;1
109;FALSE;as;0;2.38;3.5;0.55;83;NA;NA;NA;NA;NA
110;FALSE;ras;2;4.88;8.5;0.06;35;NA;10;NA;15;0
111;FALSE;acs;1;1.13;1;0.3;11;0.86;NA;NA;27;0
112;FALSE;eas;3;3.63;6;0.8;59;NA;NA;111;50;1
113;FALSE;mmas;1;0.03;9.44;0.77;20;NA;NA;NA;31;1
114;FALSE;ras;3;2.53;4.44;0.27;68;NA;82;NA;8;0
115;FALSE;acs;0;1.28;6.94;0.03;92;0.33;NA;NA;NA;NA
116;FALSE;eas;2;3.78;1.94;0.52;44;NA;NA;275;43;1
117;FALSE;eas;1;4.41;3.19;0.4;80;NA;NA;182;48;1
118;FALSE;as;3;1.91;8.19;0.89;32;NA;NA;NA;25;0
119;FALSE;mmas;0;3.16;0.69;0.64;8;NA;NA;NA;NA;NA
120;FALSE;acs;2;0.66;5.69;0.15;56;0.95;NA;NA;37;1
121;FALSE;as;0;4.72;5.07;0.34;50;NA;NA;NA;NA;NA
122;FALSE;eas;2;2.22;0.07;0.83;98;NA;NA;322;17;1
123;FALSE;mmas;3;0.97;2.57;0.09;26;NA;NA;NA;28;0
