CONFIG_ID;INSTANCES;BQ;BQR;BQRN;MQ;MQR;MQRN;BG;BGR;BGRN;MG;MGR;MGRN
191;5;32543430;286;0.471854304635762;32724918;323;0.533112582781457;0.483410748933968;321;0.529801324503311;0.666686210307624;312;0.514900662251656
192;5;32769515;444;0.733443708609272;33116826.4;473;0.781456953642384;1.04844544523766;434;0.716887417218543;1.87143593573781;467;0.771523178807947
193;5;32541240;282;0.46523178807947;32727591;326;0.538079470198676;0.424024439668146;301;0.496688741721854;0.675008670417436;315;0.519867549668874
194;5;66476695;603;0.996688741721854;66770087.2;603;0.996688741721854;104.521330607847;603;0.996688741721854;105.396749687989;603;0.996688741721854
195;5;51953031;599;0.990066225165563;53095074.4;599;0.990066225165563;60.169984853952;599;0.990066225165563;63.3245142048007;599;0.990066225165563
196;5;32632862;375;0.619205298013245;32765004.6;354;0.584437086092715;0.535913400562855;334;0.551324503311258;0.790674878889684;335;0.552980132450331
197;5;32890807;466;0.769867549668874;33089852.4;470;0.776490066225166;1.49565504396735;462;0.763245033112583;1.78928161335803;465;0.768211920529801
198;5;32864512;460;0.759933774834437;33024124.6;458;0.756622516556291;1.32203414766016;454;0.75;1.58731925678729;451;0.745033112582781
199;5;38193246;561;0.927152317880795;38867416.6;561;0.927152317880795;18.2240889385614;564;0.932119205298013;19.5612496231754;560;0.925496688741722
200;5;32574981;328;0.541390728476821;32797608;380;0.627483443708609;0.631295871397948;358;0.591059602649007;0.890202508675371;360;0.594370860927152
201;5;32640015;386;0.637417218543046;32819910.4;395;0.652317880794702;0.628406226823722;357;0.589403973509934;0.958764535829984;375;0.619205298013245
202;5;32492460;200;0.329470198675497;32691661.4;304;0.501655629139073;0.500925139652679;326;0.538079470198676;0.564223014945116;286;0.471854304635762
203;5;32486714;191;0.314569536423841;32688855.8;302;0.498344370860927;0.470276452824723;318;0.524834437086093;0.55573831183098;282;0.46523178807947
204;6;32374375;56;0.0910596026490066;32609946;167;0.274834437086093;0.212246671318256;194;0.31953642384106;0.318530821443297;163;0.268211920529801
