CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
89;FALSE;FALSE;113;6;0;11;NA;2.31;1.96;0.71
90;FALSE;FALSE;64;5;0;NA;10;0.43;1.33;0.03
91;FALSE;FALSE;163;1;2;NA;NA;1.68;0.08;0.48
92;TRUE;FALSE;135;4;0;NA;NA;1.64;2.47;0.27
93;FALSE;FALSE;36;0;2;NA;NA;0.39;1.22;0.72
94;FALSE;FALSE;185;2;2;NA;NA;2.27;0.59;0.05
95;FALSE;FALSE;85;5;1;NA;2;1.02;1.84;0.5
96;FALSE;FALSE;110;1;1;NA;NA;1.95;0.9;0.83
97;FALSE;FALSE;11;5;2;NA;5;0.7;2.15;0.38
98;FALSE;FALSE;160;6;1;18;NA;1.33;1.53;0.61
99;FALSE;FALSE;61;3;0;NA;NA;0.08;0.28;0.16
100;FALSE;FALSE;23;1;0;NA;NA;1.17;0.12;0.21
101;FALSE;FALSE;123;5;2;NA;5;2.42;1.37;0.66
102;FALSE;FALSE;73;3;1;NA;NA;0.55;2;0.44
103;FALSE;FALSE;172;0;0;NA;NA;1.8;0.75;0.89
104;FALSE;FALSE;197;4;1;NA;NA;2.11;2.31;0.33
105;FALSE;FALSE;98;1;2;NA;NA;0.86;1.06;0.78
106;FALSE;FALSE;48;6;0;19;NA;0.24;1.68;0.55
107;FALSE;FALSE;148;2;2;NA;NA;1.49;0.43;0.1
108;FALSE;FALSE;17;5;1;NA;3;1.72;0.82;0.64
109;FALSE;FALSE;117;2;0;NA;NA;0.47;2.07;0.19
110;FALSE;FALSE;166;3;2;NA;NA;1.09;0.2;0.41
111;FALSE;FALSE;67;0;1;NA;NA;2.34;1.45;0.86
112;FALSE;FALSE;42;3;2;NA;NA;2.03;2.39;0.07
113;FALSE;FALSE;141;6;0;13;NA;0.78;1.14;0.52
114;FALSE;FALSE;191;1;1;NA;NA;0.16;1.76;0.75
115;FALSE;FALSE;92;4;0;NA;NA;1.41;0.51;0.3
116;FALSE;FALSE;104;5;2;NA;3;0;0.04;0.36
117;FALSE;FALSE;5;1;0;NA;NA;1.25;1.29;0.81
118;FALSE;FALSE;154;3;1;NA;NA;0.63;1.92;0.13
119;FALSE;FALSE;129;0;2;NA;NA;0.94;1.61;0.69
120;FALSE;FALSE;29;4;0;NA;NA;2.19;0.36;0.24
121;FALSE;FALSE;179;6;0;4;NA;0.31;0.98;0.47
122;FALSE;FALSE;79;2;1;NA;NA;1.56;2.23;0.02
123;FALSE;FALSE;195;6;0;14;NA;1.14;0.48;0.34
124;FALSE;FALSE;96;3;1;NA;NA;2.39;1.73;0.79
125;FALSE;FALSE;145;1;2;NA;NA;0.52;2.36;0.12
126;FALSE;FALSE;46;4;1;NA;NA;1.77;1.11;0.57
127;FALSE;FALSE;170;2;0;NA;NA;0.21;1.42;0.68
128;FALSE;FALSE;71;5;2;NA;6;1.46;0.17;0.23
129;FALSE;FALSE;120;3;1;NA;NA;0.83;0.8;0.46
130;TRUE;FALSE;21;0;0;NA;NA;2.08;2.05;0.01
131;FALSE;FALSE;108;2;0;NA;NA;0.99;1.26;0.74
132;FALSE;FALSE;158;4;2;NA;NA;0.36;0.64;0.51
133;FALSE;FALSE;58;0;0;NA;NA;1.61;1.89;0.06
134;FALSE;FALSE;11;1;0;NA;NA;2.17;2.46;0.22
135;FALSE;FALSE;140;0;0;NA;NA;0.81;1.55;0.16
136;FALSE;FALSE;67;3;1;NA;NA;0.97;1.43;0.43
137;FALSE;FALSE;85;4;1;NA;NA;2.24;2.31;0.72
138;FALSE;FALSE;180;1;0;NA;NA;1.04;2.42;0.23
139;FALSE;FALSE;122;1;2;NA;NA;1.95;1.01;0.58
140;FALSE;FALSE;52;2;2;NA;NA;2.07;1.81;0.6
141;FALSE;FALSE;129;1;0;NA;NA;0.03;2.27;0.32
142;FALSE;FALSE;128;5;1;NA;4;1.63;0.35;0.57
143;FALSE;FALSE;154;3;1;NA;NA;0.58;1.7;0.44
144;FALSE;FALSE;47;6;1;9;NA;1.77;2.11;0.27
145;FALSE;FALSE;85;1;0;NA;NA;1.26;1.85;0.4
146;FALSE;FALSE;82;1;1;NA;NA;0.07;0.73;0.41
147;FALSE;FALSE;30;1;0;NA;NA;1.8;0.61;0.14
148;FALSE;FALSE;50;4;2;NA;NA;1.93;2.25;0.19
149;FALSE;FALSE;61;4;2;NA;NA;2.03;2.01;0.25
150;FALSE;FALSE;50;4;2;NA;NA;0.87;1.86;0.24
151;FALSE;FALSE;65;4;1;NA;NA;2.36;2.42;0.45
152;FALSE;FALSE;91;1;1;NA;NA;1.32;1.14;0.52
153;FALSE;FALSE;78;0;0;NA;NA;0.36;2.46;0.43
154;FALSE;FALSE;56;1;1;NA;NA;0.72;2.45;0.14
155;TRUE;FALSE;120;4;0;NA;NA;1.9;2.47;0.44
156;FALSE;FALSE;55;0;1;NA;NA;2.26;1.14;0.07
157;FALSE;FALSE;25;5;1;NA;7;1.26;1.39;0.16
158;FALSE;FALSE;103;4;0;NA;NA;2.1;2.04;0.19
159;FALSE;FALSE;61;1;0;NA;NA;1.75;2.08;0.02
160;FALSE;FALSE;153;4;1;NA;NA;0.51;2.29;0.33
161;FALSE;FALSE;67;2;1;NA;NA;1.73;1.18;0.34
162;FALSE;FALSE;42;1;1;NA;NA;1.98;1.35;0.08
163;FALSE;FALSE;102;4;0;NA;NA;2.24;1.06;0.02
164;FALSE;FALSE;80;2;1;NA;NA;0.5;2.16;0.04
165;FALSE;FALSE;155;6;0;20;NA;1.28;1.65;0.15
166;FALSE;FALSE;6;5;2;NA;4;1.38;1.84;0.61
167;FALSE;FALSE;111;6;0;6;NA;1.1;2.34;0.35
168;FALSE;FALSE;107;5;2;NA;3;0.89;2.2;0.09
169;FALSE;FALSE;123;2;0;NA;NA;1.25;1.17;0.43
170;FALSE;FALSE;161;4;2;NA;NA;1.84;1.87;0.24
171;FALSE;FALSE;193;3;1;NA;NA;1.04;1.4;0.2
172;FALSE;FALSE;118;6;0;10;NA;0.98;2;0.09
173;FALSE;FALSE;22;1;0;NA;NA;1.38;1.93;0.3
174;FALSE;FALSE;32;5;1;NA;3;1.72;2.45;0.39
175;FALSE;FALSE;46;5;1;NA;5;2.02;2.09;0.43
176;FALSE;FALSE;127;0;0;NA;NA;1.34;2.07;0.78
177;FALSE;FALSE;118;5;0;NA;4;1.89;1.09;0.79
178;FALSE;FALSE;90;1;0;NA;NA;2.03;1.62;0.3
179;FALSE;FALSE;25;4;0;NA;NA;0.78;2.32;0.57
180;FALSE;FALSE;38;0;2;NA;NA;1.8;1.64;0.3
181;FALSE;FALSE;125;0;1;NA;NA;1.47;2.08;0.26
182;FALSE;FALSE;33;6;0;5;NA;1.31;2.13;0.36
183;FALSE;FALSE;124;3;2;NA;NA;1.05;2.11;0.69
184;FALSE;FALSE;143;4;0;NA;NA;0.9;1.91;0.08
185;FALSE;FALSE;19;5;2;NA;3;0.74;1.9;0.52
186;FALSE;FALSE;99;1;2;NA;NA;1.58;2.37;0.6
187;FALSE;FALSE;64;1;2;NA;NA;0.97;1.95;0.1
188;FALSE;FALSE;131;1;1;NA;NA;1.93;1.75;0.62
189;FALSE;FALSE;165;4;2;NA;NA;1.11;2.27;0.44
190;FALSE;FALSE;61;0;0;NA;NA;0.71;1.66;0.82
191;FALSE;FALSE;135;3;0;NA;NA;1.76;2.41;0.9
192;FALSE;FALSE;42;2;1;NA;NA;1.74;1.42;0.73
193;FALSE;FALSE;125;4;0;NA;NA;1.19;2.01;0.13
194;FALSE;FALSE;121;5;1;NA;6;1.99;1.58;0.32
195;FALSE;FALSE;112;2;1;NA;NA;1.43;1.37;0.49
196;FALSE;FALSE;180;2;2;NA;NA;1.66;2.36;0.13
197;FALSE;FALSE;136;1;2;NA;NA;0.55;2.1;0.13
198;FALSE;FALSE;29;3;0;NA;NA;0.74;1.62;0.28
199;FALSE;FALSE;13;0;1;NA;NA;2.39;1.06;0.15
