CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
10;TRUE;FALSE;36;0;0;NA;NA;0.82;1.91;0.41;10;10
39;TRUE;FALSE;158;1;0;NA;NA;2.03;1.79;0.17;39;39
41;TRUE;FALSE;120;0;0;NA;NA;1.57;1.63;0.12;41;41
56;TRUE;FALSE;39;4;0;NA;NA;1.33;2.18;0.48;56;56
65;TRUE;FALSE;78;1;2;NA;NA;1.7;2.36;0.49;65;65
75;TRUE;FALSE;112;4;0;NA;NA;1.19;2.22;0.16;75;75
103;TRUE;FALSE;59;5;0;NA;5;2.12;2.22;0.21;103;103
122;TRUE;FALSE;72;0;0;NA;NA;2.46;1.88;0.49;122;122
152;TRUE;FALSE;87;4;0;NA;NA;2.37;2.07;0.44;152;152
166;TRUE;FALSE;60;4;0;NA;NA;1.07;2.07;0.28;166;166
170;TRUE;FALSE;103;4;0;NA;NA;1;2.03;0.2;170;170
192;TRUE;FALSE;85;4;0;NA;NA;1.14;2.41;0.22;192;192
195;TRUE;FALSE;92;4;0;NA;NA;1.73;2.46;0.31;195;195
204;TRUE;FALSE;133;4;0;NA;NA;0.97;1.96;0.38;204;204
241;TRUE;FALSE;91;4;0;NA;NA;2.33;2.03;0.48;241;241
257;TRUE;FALSE;91;4;0;NA;NA;1.38;2.47;0.26;257;257
275;TRUE;TRUE;80;4;0;NA;NA;1.65;2.5;0.27;275;275
292;TRUE;FALSE;91;4;0;NA;NA;1.11;2.23;0.25;292;292
346;TRUE;FALSE;88;4;0;NA;NA;1.43;2.39;0.26;346;346
359;TRUE;FALSE;87;4;0;NA;NA;1.31;2.43;0.19;359;359
382;TRUE;FALSE;80;4;0;NA;NA;1.55;2.47;0.28;382;382
