CONFIG_ID;B;M;INSTANCES;BR;MR;BNR;MNR;BG;MG;BRG;MRG;BNRG;MNRG
25;32147643;32592183.35;40;1;7.425;0;0.338157894736842;0;0.201317411319296;1;7.425;0;0.338157894736842
17;32225209;32639118.475;40;2;11.925;0.0526315789473684;0.575;0.0361306947470867;0.345314689180322;2;11.925;0.0526315789473684;0.575
28;32397161;32806412.85;40;16;19.225;0.789473684210526;0.95921052631579;0.622481743691707;0.859783725978682;16;19.225;0.789473684210526;0.95921052631579
85;32287113;32697752.8;40;7;15.875;0.315789473684211;0.782894736842105;0.234256283823968;0.525449136350687;7;15.875;0.315789473684211;0.782894736842105
161;32129857;32580765.35;40;1;6.15;0;0.271052631578947;0;0.165877068018744;1;6.15;0;0.271052631578947
141;32261440;32648844.15;40;4;12.825;0.157894736842105;0.622368421052632;0.124681156750327;0.37516861579697;4;12.825;0.157894736842105;0.622368421052632
177;32261269;32619526.75;40;2;10.125;0.0526315789473684;0.480263157894737;0.0580704860781002;0.285291659785441;2;10.125;0.0526315789473684;0.480263157894737
194;32209896;32724471.7;40;8;16.95;0.368421052631579;0.839473684210526;0.249110974879222;0.607384468958798;8;16.95;0.368421052631579;0.839473684210526
225;32199198;32591583.575;40;1;6.925;0;0.311842105263158;0;0.199310072366869;1;6.925;0;0.311842105263158
316;32208955;32640794.225;40;2;12.275;0.0526315789473684;0.593421052631579;0.0770616907300516;0.350620646705026;2;12.275;0.0526315789473684;0.593421052631579
265;32204041;32602962.15;40;1;8.7;0;0.405263157894737;0;0.234242482399464;1;8.7;0;0.405263157894737
261;32206042;32596426.475;40;1;7.95;0;0.36578947368421;0;0.214277432604192;1;7.95;0;0.36578947368421
326;32293898;32641346.725;40;2;12.1;0.0526315789473684;0.58421052631579;0.0987587313065916;0.352351867656223;2;12.1;0.0526315789473684;0.58421052631579
358;32172253;32590758.75;40;1;6.975;0;0.314473684210526;0;0.196729448323222;1;6.975;0;0.314473684210526
344;32165627;32563538.45;40;1;4.25;0;0.171052631578947;0;0.113120018739698;1;4.25;0;0.171052631578947
421;32363020;32806610.85;40;16;19.125;0.789473684210526;0.953947368421053;0.435145816221977;0.860590959156509;16;19.125;0.789473684210526;0.953947368421053
457;32209230;32621754.2;40;1;10.5;0;0.5;0;0.292178530490015;1;10.5;0;0.5
455;32193424;32616912.5;40;1;9.825;0;0.464473684210526;0;0.277019339008076;1;9.825;0;0.464473684210526
466;32236788;32582367.975;40;1;6.125;0;0.269736842105263;0;0.170975056857799;1;6.125;0;0.269736842105263
473;32152484;32568281.25;40;1;4.75;0;0.197368421052632;0;0.127634594746001;1;4.75;0;0.197368421052632
