CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;TRUE;FALSE;133;1;0;NA;NA;1.94;1.29;0.17
2;FALSE;FALSE;34;4;2;NA;NA;0.69;0.04;0.62
3;FALSE;FALSE;83;3;1;NA;NA;0.07;1.92;0.84
4;FALSE;FALSE;9;0;2;NA;NA;0.38;1.61;0.06
5;FALSE;FALSE;108;3;1;NA;NA;1.63;0.36;0.51
6;FALSE;FALSE;59;5;0;NA;7;1.01;0.98;0.28
7;FALSE;FALSE;158;2;1;NA;NA;2.26;2.23;0.73
8;FALSE;FALSE;21;6;0;20;NA;0.22;1.14;0.34
9;FALSE;FALSE;121;2;2;NA;NA;1.47;2.39;0.79
10;FALSE;FALSE;171;4;0;NA;NA;2.1;0.51;0.56
11;FALSE;FALSE;71;0;1;NA;NA;0.85;1.76;0.11
12;FALSE;FALSE;96;3;2;NA;NA;0.54;0.2;0.67
13;FALSE;FALSE;195;0;1;NA;NA;1.79;1.45;0.22
14;FALSE;FALSE;46;1;0;NA;NA;1.16;2.07;0.9
15;FALSE;FALSE;146;5;2;NA;9;2.41;0.82;0.45
16;FALSE;FALSE;164;1;2;NA;NA;0.3;1.06;0.08
17;FALSE;FALSE;65;4;1;NA;NA;1.55;2.31;0.53
18;FALSE;FALSE;15;2;1;NA;NA;2.18;0.43;0.76
19;FALSE;FALSE;115;6;0;13;NA;0.93;1.68;0.31
20;FALSE;FALSE;139;2;0;NA;NA;0.61;0.12;0.87
21;FALSE;FALSE;40;5;2;NA;7;1.86;1.37;0.42
22;FALSE;FALSE;189;3;1;NA;NA;1.24;2;0.65
23;FALSE;FALSE;90;0;0;NA;NA;2.49;0.75;0.2
24;FALSE;FALSE;52;2;2;NA;NA;1.71;0.59;0.7
25;FALSE;FALSE;152;5;1;NA;10;0.46;1.84;0.25
26;FALSE;FALSE;3;4;0;NA;NA;2.33;2.47;0.48
27;FALSE;FALSE;102;0;2;NA;NA;1.08;1.22;0.03
28;FALSE;FALSE;28;1;1;NA;NA;1.4;0.9;0.14
29;FALSE;FALSE;127;5;2;NA;7;0.15;2.15;0.59
