CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
1;FALSE;173;0;1;NA;NA;0.08;0.94;0.87
2;FALSE;73;4;2;NA;NA;1.33;2.19;0.42
3;FALSE;123;6;1;20;NA;0.71;1.56;0.65
4;FALSE;23;2;0;NA;NA;1.96;0.31;0.2
5;FALSE;98;0;1;NA;NA;2.27;1.25;0.76
6;FALSE;198;3;0;NA;NA;1.02;2.5;0.31
7;FALSE;48;5;0;NA;6;1.65;1.87;0.53
8;FALSE;148;1;2;NA;NA;0.4;0.62;0.08
9;FALSE;86;6;0;16;NA;2.11;1.72;0.48
10;FALSE;185;3;1;NA;NA;0.86;0.47;0.03
11;FALSE;36;1;2;NA;NA;1.49;1.09;0.7
12;TRUE;135;4;0;NA;NA;0.24;2.34;0.25
13;FALSE;111;0;0;NA;NA;1.18;0.78;0.82
14;FALSE;11;3;2;NA;NA;2.43;2.03;0.37
15;FALSE;61;2;1;NA;NA;1.8;0.15;0.14
16;FALSE;160;5;2;NA;3;0.55;1.4;0.59
17;FALSE;117;2;0;NA;NA;1.25;1.95;0.17
18;FALSE;167;4;1;NA;NA;1.88;0.08;0.39
19;TRUE;67;1;0;NA;NA;0.63;1.33;0.84
20;FALSE;142;5;0;NA;2;2.19;1.01;0.51
21;FALSE;42;1;2;NA;NA;0.94;2.26;0.06
22;FALSE;92;3;1;NA;NA;0.32;0.39;0.28
23;FALSE;191;0;2;NA;NA;1.57;1.64;0.73
24;FALSE;79;3;2;NA;NA;0.16;2.42;0
25;FALSE;179;6;1;16;NA;1.41;1.17;0.45
26;FALSE;30;5;0;NA;4;0.79;0.54;0.23
27;FALSE;129;1;2;NA;NA;2.04;1.79;0.68
28;FALSE;104;4;2;NA;NA;1.72;0.23;0.34
29;TRUE;5;0;1;NA;NA;0.47;1.48;0.79
30;FALSE;55;5;1;NA;5;1.1;0.86;0.56
31;FALSE;154;2;0;NA;NA;2.35;2.11;0.11
32;FALSE;2;5;0;NA;8;0.2;0.04;0.69
33;FALSE;101;2;1;NA;NA;1.45;1.29;0.24
34;FALSE;151;4;0;NA;NA;2.08;0.66;0.01
35;FALSE;51;0;2;NA;NA;0.83;1.91;0.46
36;FALSE;176;1;0;NA;NA;1.76;2.22;0.58
37;FALSE;76;4;1;NA;NA;0.51;0.97;0.13
38;FALSE;27;3;1;NA;NA;1.14;1.6;0.35
39;FALSE;188;5;2;NA;7;1.29;0.51;0.86
40;TRUE;89;1;0;NA;NA;0.04;1.76;0.41
41;FALSE;139;0;1;NA;NA;1.92;2.38;0.63
42;FALSE;39;3;2;NA;NA;0.67;1.13;0.18
43;FALSE;64;6;0;8;NA;0.98;0.19;0.75
44;FALSE;163;2;2;NA;NA;2.23;1.44;0.3
45;FALSE;14;1;1;NA;NA;0.36;2.07;0.52
46;FALSE;114;4;0;NA;NA;1.61;0.82;0.07
47;FALSE;120;1;2;NA;NA;1.06;0.11;0.55
48;FALSE;20;4;1;NA;NA;2.31;1.36;0.1
49;FALSE;170;6;0;8;NA;0.43;1.99;0.77
50;FALSE;70;2;2;NA;NA;1.68;0.74;0.32
51;FALSE;145;3;1;NA;NA;0.12;1.68;0.21
52;FALSE;45;0;0;NA;NA;1.37;0.43;0.66
53;FALSE;195;2;1;NA;NA;0.75;1.05;0.44
54;FALSE;95;5;2;NA;10;2;2.3;0.89
55;FALSE;107;6;1;18;NA;0.9;2.15;0.72
56;FALSE;8;2;2;NA;NA;2.15;0.9;0.27
57;FALSE;58;4;0;NA;NA;1.53;1.52;0.04
58;FALSE;157;0;1;NA;NA;0.28;0.27;0.49
59;FALSE;132;3;0;NA;NA;0.59;1.21;0.38
60;FALSE;33;6;1;11;NA;1.84;2.46;0.83
61;FALSE;83;1;0;NA;NA;2.47;0.58;0.61
62;FALSE;182;5;2;NA;9;1.22;1.83;0.16
63;TRUE;3;3;1;NA;NA;0.65;0.6;0.75
64;FALSE;103;6;0;13;NA;1.9;1.85;0.3
65;FALSE;153;1;2;NA;NA;1.27;1.23;0.08
66;FALSE;53;5;0;NA;10;0.02;2.48;0.53
67;FALSE;49;0;0;NA;NA;0.54;1;0.52
68;FALSE;35;1;2;NA;NA;0.1;2.28;0.76
69;FALSE;48;6;1;18;NA;1.43;2.19;0.3
70;FALSE;35;3;0;NA;NA;0.65;1.46;0.77
71;TRUE;84;4;2;NA;NA;0.8;2.2;0.82
72;FALSE;32;3;1;NA;NA;0.39;0.39;0.4
73;FALSE;83;0;1;NA;NA;0.21;0.66;0.84
74;FALSE;117;0;1;NA;NA;1.45;0.83;0.46
75;TRUE;102;1;0;NA;NA;0.36;2.1;0.21
76;FALSE;102;2;1;NA;NA;1.93;1.5;0.79
77;FALSE;108;4;0;NA;NA;1.26;1.62;0.84
78;FALSE;96;2;1;NA;NA;0.37;1.52;0.8
79;TRUE;182;5;0;NA;5;1.46;2.08;0.23
80;FALSE;129;6;1;10;NA;1.26;0.36;0.56
81;FALSE;87;2;0;NA;NA;0.67;0.87;0.28
82;FALSE;19;2;1;NA;NA;1.16;1.69;0.5
83;FALSE;128;2;2;NA;NA;0.03;1.84;0.36
84;FALSE;49;2;1;NA;NA;0.12;1.62;0.55
85;FALSE;25;3;0;NA;NA;0.12;0.35;0.66
86;FALSE;197;0;1;NA;NA;0.05;0;0.15
87;FALSE;48;6;1;12;NA;0.74;1.31;0.87
88;FALSE;6;1;0;NA;NA;0.77;1.08;0.64
89;FALSE;3;4;0;NA;NA;1.75;0.74;0.57
90;FALSE;85;2;1;NA;NA;1.12;0.44;0.88
91;FALSE;187;6;1;19;NA;1.68;1.7;0.46
92;FALSE;149;5;2;NA;7;0.92;0.87;0.67
93;FALSE;90;5;2;NA;7;0.95;2.36;0.52
94;FALSE;183;6;1;20;NA;0.33;1.21;0.25
95;FALSE;93;0;1;NA;NA;1.01;0.92;0.71
96;FALSE;26;0;2;NA;NA;0.3;1.62;0.56
97;FALSE;33;6;1;17;NA;0.81;1.99;0.85
98;FALSE;46;1;0;NA;NA;0.77;0.9;0.29
99;FALSE;17;0;1;NA;NA;2.03;0.53;0.81
100;FALSE;122;0;1;NA;NA;0.43;1.84;0.8
101;FALSE;148;0;2;NA;NA;0.71;0.83;0.79
102;FALSE;103;3;1;NA;NA;1.87;1.26;0.67
103;FALSE;42;6;0;7;NA;0.05;1.24;0.84
104;FALSE;107;5;0;NA;10;0.01;1.11;0.58
105;FALSE;76;0;0;NA;NA;1.86;1.93;0.39
106;FALSE;48;3;0;NA;NA;0.39;1.48;0.9
107;FALSE;79;3;0;NA;NA;0.21;2.48;0.64
108;FALSE;45;1;1;NA;NA;0.13;0.78;0.89
109;FALSE;25;6;1;4;NA;0.1;0.6;0.83
110;FALSE;65;3;2;NA;NA;1.18;2.08;0.24
111;FALSE;148;0;0;NA;NA;1.84;1.81;0.62
112;FALSE;29;0;1;NA;NA;0.56;0.99;0.64
113;FALSE;108;6;0;16;NA;0.95;1.65;0.68
114;TRUE;10;0;1;NA;NA;0.39;1.71;0.61
115;FALSE;124;2;1;NA;NA;0.52;1.88;0.22
116;FALSE;148;5;0;NA;6;1.45;2.08;0.46
117;FALSE;48;3;1;NA;NA;1.4;2.29;0.6
118;TRUE;175;4;0;NA;NA;0.35;2.21;0.56
119;FALSE;125;6;0;11;NA;0.63;1.8;0.23
