CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
21;TRUE;FALSE;acs;3;3.57;1.12;0.53;39;0.17;NA;NA;18;1;21;21
46;TRUE;FALSE;acs;3;2.39;2.22;0.92;32;0.41;NA;NA;24;1;46;46
70;TRUE;FALSE;acs;3;1.73;6.2;0.86;45;0.7;NA;NA;12;1;70;70
182;TRUE;FALSE;acs;3;3.78;4.76;0.62;73;0.77;NA;NA;46;1;182;182
184;TRUE;FALSE;acs;3;2.8;3.99;0.59;9;0.7;NA;NA;24;1;184;184
212;TRUE;FALSE;acs;3;2.91;5.83;0.6;15;0.84;NA;NA;11;1;212;212
326;TRUE;FALSE;acs;3;3.47;7.91;0.82;58;0.75;NA;NA;9;0;326;326
337;TRUE;FALSE;ras;3;3.07;4.84;0.77;59;NA;12;NA;30;0;337;337
383;TRUE;FALSE;acs;3;3.54;7.83;0.63;62;0.61;NA;NA;14;1;383;383
403;TRUE;FALSE;acs;3;3.6;9.27;0.64;64;0.76;NA;NA;19;0;403;403
414;TRUE;FALSE;ras;3;3.08;3.78;0.66;58;NA;10;NA;25;0;414;414
487;TRUE;FALSE;acs;3;3.12;9.3;0.38;51;0.66;NA;NA;12;1;487;487
499;TRUE;FALSE;ras;3;3.63;4.75;0.68;65;NA;16;NA;20;0;499;499
514;TRUE;FALSE;ras;3;2.62;3.06;0.84;42;NA;11;NA;22;0;514;514
519;TRUE;FALSE;ras;3;2.33;2.92;0.92;43;NA;14;NA;34;0;519;519
697;TRUE;FALSE;ras;3;2.58;3.01;0.79;48;NA;12;NA;21;0;697;697
735;TRUE;FALSE;ras;3;2.49;2.94;0.88;37;NA;11;NA;31;0;735;735
747;TRUE;FALSE;ras;3;2.82;2.86;0.93;37;NA;14;NA;18;0;747;747
759;TRUE;TRUE;ras;3;2.36;2.87;0.9;38;NA;13;NA;21;0;759;759
805;TRUE;FALSE;ras;3;2.61;2.57;0.74;51;NA;15;NA;22;0;805;805
847;TRUE;FALSE;ras;3;2.64;2.88;0.76;44;NA;21;NA;21;0;847;847
864;TRUE;FALSE;ras;3;2.24;2.88;0.95;38;NA;13;NA;22;0;864;864
871;TRUE;FALSE;ras;3;2.41;2.73;0.92;36;NA;13;NA;21;0;871;871
