CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
88;FALSE;FALSE;76;1;1;NA;NA;1.86;1.63;0.18
89;FALSE;FALSE;167;3;0;NA;NA;1.77;1.93;0.74
90;FALSE;FALSE;6;2;2;NA;NA;0.54;2.32;0.16
91;FALSE;FALSE;87;1;2;NA;NA;0.57;1.96;0.5
92;FALSE;FALSE;49;0;0;NA;NA;1.27;1.02;0.08
93;FALSE;FALSE;17;1;2;NA;NA;0.4;1.52;0.85
94;FALSE;FALSE;30;1;0;NA;NA;1.58;1.37;0.82
95;FALSE;FALSE;40;6;1;7;NA;1.23;1.6;0.12
96;TRUE;FALSE;16;4;1;NA;NA;2.33;1.08;0.62
97;FALSE;FALSE;53;3;0;NA;NA;0.9;0.84;0.23
98;TRUE;FALSE;34;1;1;NA;NA;1.61;1.93;0.71
99;FALSE;FALSE;58;2;0;NA;NA;2.38;0.03;0.32
100;FALSE;FALSE;81;1;1;NA;NA;1.64;1.57;0.6
101;FALSE;FALSE;125;4;1;NA;NA;1.66;0.09;0.38
102;FALSE;FALSE;136;2;0;NA;NA;1.12;2.37;0.82
103;FALSE;FALSE;99;4;2;NA;NA;2.31;1.06;0.5
104;FALSE;FALSE;81;6;0;19;NA;2.25;1.74;0.22
105;FALSE;FALSE;124;1;1;NA;NA;2.23;2.15;0.31
106;FALSE;FALSE;75;4;2;NA;NA;1.7;0.86;0.71
107;FALSE;FALSE;56;1;1;NA;NA;1.76;1.42;0.81
108;FALSE;FALSE;196;4;1;NA;NA;2.44;1.64;0.68
109;FALSE;FALSE;120;5;0;NA;8;1.66;1.05;0.29
110;FALSE;FALSE;98;3;0;NA;NA;1.05;1.82;0.59
111;FALSE;FALSE;48;0;2;NA;NA;1.81;2.01;0.88
112;FALSE;FALSE;8;2;0;NA;NA;1.47;0.2;0.55
113;FALSE;FALSE;51;4;2;NA;NA;0.31;1.13;0.25
114;FALSE;FALSE;163;5;0;NA;9;1.55;0.8;0.5
115;FALSE;FALSE;79;4;2;NA;NA;2.36;2.1;0.43
116;FALSE;FALSE;91;6;1;20;NA;1.13;1.82;0.73
117;FALSE;FALSE;64;4;2;NA;NA;1.54;1.59;0.81
118;FALSE;FALSE;132;4;0;NA;NA;2.49;1.41;0.85
119;FALSE;FALSE;145;4;2;NA;NA;2.18;1.61;0.78
120;FALSE;FALSE;17;1;0;NA;NA;2.3;1.68;0.76
121;FALSE;FALSE;29;1;1;NA;NA;2.3;1.8;0.4
122;FALSE;FALSE;119;4;1;NA;NA;2.42;1.11;0.77
123;FALSE;FALSE;90;5;1;NA;6;2.24;1.61;0.88
124;FALSE;FALSE;94;1;1;NA;NA;0.99;2.21;0.6
125;TRUE;FALSE;77;4;0;NA;NA;1.87;2.06;0.72
126;FALSE;FALSE;33;1;2;NA;NA;1.94;1.45;0.67
127;FALSE;FALSE;135;5;0;NA;10;2.47;1.71;0.85
128;FALSE;FALSE;68;4;2;NA;NA;2.21;2.11;0.86
129;FALSE;FALSE;107;4;0;NA;NA;2.18;1.12;0.58
130;FALSE;FALSE;103;1;0;NA;NA;2.08;2.18;0.77
131;FALSE;FALSE;22;3;1;NA;NA;1.78;2.12;0.61
132;FALSE;FALSE;50;1;0;NA;NA;1.99;1.84;0.78
133;FALSE;FALSE;78;4;1;NA;NA;2.45;1.78;0.77
134;FALSE;FALSE;70;1;0;NA;NA;2.47;2.36;0.81
135;FALSE;FALSE;65;4;2;NA;NA;2.09;1.73;0.88
136;TRUE;FALSE;65;4;0;NA;NA;2.41;2.19;0.64
137;FALSE;FALSE;70;1;0;NA;NA;1.98;1.76;0.48
138;FALSE;FALSE;116;0;1;NA;NA;2.48;1.96;0.87
139;FALSE;FALSE;61;4;2;NA;NA;1.88;2.03;0.66
140;FALSE;FALSE;79;4;1;NA;NA;1.52;0.67;0.61
141;FALSE;FALSE;46;5;2;NA;7;2.36;2.38;0.71
142;FALSE;FALSE;18;4;1;NA;NA;2.4;2.01;0.7
143;FALSE;FALSE;138;4;0;NA;NA;1.82;1.97;0.79
144;FALSE;FALSE;167;4;0;NA;NA;2.11;1.11;0.75
145;FALSE;FALSE;40;3;0;NA;NA;2.18;1.72;0.73
146;TRUE;FALSE;24;4;0;NA;NA;1.96;2.13;0.7
147;FALSE;FALSE;86;1;0;NA;NA;1.98;2.06;0.86
148;FALSE;FALSE;77;3;1;NA;NA;2.2;1.58;0.56
149;FALSE;FALSE;12;0;1;NA;NA;1.97;2.21;0.59
