network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.140625;63;473;0;473;63;293;117;410;91;258;61;NA;0.866807610993658;0.866807610993658;NA;1;1;0.2;0;0;0;NA;NA;NA;0;1;0.133192389006343;0.619450317124736;0.247357293868922;0.221951219512195;0.629268292682927;0.148780487804878
BH-L1;min;20;0.140625;63;473;0;473;63;293;117;410;91;258;61;NA;0.866807610993658;0.866807610993658;NA;1;1;0.2;0;0;0;NA;NA;NA;0;1;0.133192389006343;0.619450317124736;0.247357293868922;0.221951219512195;0.629268292682927;0.148780487804878
BH-L2;min;20;0.140625;63;469;0;469;63;291;115;408;92;255;61;NA;0.869936034115139;0.869936034115139;NA;1;1;0.2;0;0;0;NA;NA;NA;0;1;0.134328358208955;0.62046908315565;0.245202558635394;0.225490196078431;0.625;0.149509803921569
BH-L3;min;20;0.140625;56;444;0;444;63;273;108;395;93;241;61;NA;0.88963963963964;0.88963963963964;NA;1;1;0.2;0;0;0;NA;NA;NA;0;1;0.141891891891892;0.614864864864865;0.243243243243243;0.235443037974684;0.610126582278481;0.154430379746835
BH-L4;min;20;0.140625;45;410;0;410;63;248;99;386;94;225;67;NA;0.941463414634146;0.941463414634146;NA;1;1;0.2;0;0;0;NA;NA;NA;0;1;0.153658536585366;0.604878048780488;0.241463414634146;0.243523316062176;0.582901554404145;0.173575129533679
BH-L5;min;20;0.140625;40;376;0;376;63;223;90;373;97;208;68;NA;0.992021276595745;0.992021276595745;NA;1;1;0.2;0;0;0;NA;NA;NA;0;1;0.167553191489362;0.593085106382979;0.23936170212766;0.260053619302949;0.557640750670241;0.18230563002681
BH-90-L0;min;20;0.15535714;79;514;0;514;79;276;159;435;179;94;162;NA;0.846303501945525;0.846303501945525;NA;1;0;0.1;0;0;0;NA;NA;NA;0;1;0.153696498054475;0.536964980544747;0.309338521400778;0.411494252873563;0.216091954022989;0.372413793103448
BH-90-L1;min;20;0.15535714;79;514;0;514;79;276;159;435;179;94;162;NA;0.846303501945525;0.846303501945525;NA;1;0;0.1;0;0;0;NA;NA;NA;0;1;0.153696498054475;0.536964980544747;0.309338521400778;0.411494252873563;0.216091954022989;0.372413793103448
BH-90-L2;min;20;0.15535714;79;511;0;511;79;276;156;432;179;91;162;NA;0.845401174168297;0.845401174168297;NA;1;0;0.1;0;0;0;NA;NA;NA;0;1;0.154598825831703;0.540117416829746;0.305283757338552;0.414351851851852;0.210648148148148;0.375
BH-90-L3;min;20;0.15535714;76;492;0;492;79;266;147;422;180;82;160;NA;0.857723577235772;0.857723577235772;NA;2;2;0.2;0;0;0;NA;NA;NA;0;1;0.160569105691057;0.540650406504065;0.298780487804878;0.42654028436019;0.194312796208531;0.37914691943128
BH-90-L4;min;20;0.15535714;63;462;0;462;79;245;138;411;176;65;170;NA;0.88961038961039;0.88961038961039;NA;1;0;0.1;0;0;0;NA;NA;NA;0;1;0.170995670995671;0.53030303030303;0.298701298701299;0.428223844282238;0.158150851581509;0.413625304136253
BH-90-L5;min;20;0.15535714;60;421;0;421;79;212;130;403;192;56;155;NA;0.957244655581948;0.957244655581948;NA;2;2;0.2;0;0;0;NA;NA;NA;0;1;0.187648456057007;0.503562945368171;0.308788598574822;0.476426799007444;0.138957816377171;0.384615384615385
BL-L0;min;20;0.12875;82;449;0;449;82;254;113;367;190;0;177;NA;0.817371937639198;0.817371937639198;1;1;0;0.1;0;0;0;NA;NA;0.0022271714922049;0;1;0.182628062360802;0.565701559020045;0.251670378619154;0.517711171662125;0;0.482288828337875
BL-L1;min;20;0.12875;82;449;0;449;82;254;113;367;190;0;177;NA;0.817371937639198;0.817371937639198;1;1;0;0.1;0;0;0;NA;NA;0.0022271714922049;0;1;0.182628062360802;0.565701559020045;0.251670378619154;0.517711171662125;0;0.482288828337875
BL-L2;min;20;0.12875;82;449;0;449;82;254;113;367;190;0;177;NA;0.817371937639198;0.817371937639198;1;1;0;0.1;0;0;0;NA;NA;0.0022271714922049;0;1;0.182628062360802;0.565701559020045;0.251670378619154;0.517711171662125;0;0.482288828337875
BL-L3;min;20;0.12875;79;440;0;440;82;251;107;363;187;0;176;NA;0.825;0.825;1;1;0;0.1;0;0;0;NA;NA;0.00227272727272727;0;1;0.186363636363636;0.570454545454545;0.243181818181818;0.515151515151515;0;0.484848484848485
BL-L4;min;20;0.12875;69;418;0;418;82;233;103;357;184;0;173;NA;0.854066985645933;0.854066985645933;1;1;0;0.1;0;0;0;NA;NA;0.00239234449760766;0;1;0.196172248803828;0.557416267942584;0.246411483253589;0.515406162464986;0;0.484593837535014
BL-L5;min;20;0.12875;61;391;0;391;82;209;100;351;195;0;156;NA;0.89769820971867;0.89769820971867;1;1;0;0.1;0;0;0;NA;NA;0.00255754475703325;0;1;0.209718670076726;0.534526854219949;0.255754475703325;0.555555555555556;0;0.444444444444444
BL-45-L0;min;20;0.12727273;68;489;0;489;68;265;156;421;225;3;193;NA;0.860940695296524;0.860940695296524;1;1;0;0.1;0;0;0;NA;NA;0.00204498977505112;0;1;0.139059304703476;0.541922290388548;0.319018404907975;0.534441805225653;0.00712589073634204;0.458432304038005
BL-45-L1;min;20;0.12727273;68;489;0;489;68;265;156;421;225;3;193;NA;0.860940695296524;0.860940695296524;1;1;0;0.1;0;0;0;NA;NA;0.00204498977505112;0;1;0.139059304703476;0.541922290388548;0.319018404907975;0.534441805225653;0.00712589073634204;0.458432304038005
BL-45-L2;min;20;0.12727273;68;489;0;489;68;265;156;421;225;3;193;NA;0.860940695296524;0.860940695296524;1;1;0;0.1;0;0;0;NA;NA;0.00204498977505112;0;1;0.139059304703476;0.541922290388548;0.319018404907975;0.534441805225653;0.00712589073634204;0.458432304038005
BL-45-L3;min;20;0.12727273;66;481;0;481;68;262;151;418;222;3;193;NA;0.869022869022869;0.869022869022869;1;1;0;0.1;0;0;0;NA;NA;0.00207900207900208;0;1;0.141372141372141;0.544698544698545;0.313929313929314;0.5311004784689;0.00717703349282297;0.461722488038278
BL-45-L4;min;20;0.12727273;62;459;0;459;68;248;143;406;215;3;188;NA;0.884531590413943;0.884531590413943;1;1;0;0.1;0;0;0;NA;NA;0.00217864923747277;0;1;0.148148148148148;0.540305010893246;0.311546840958606;0.529556650246305;0.00738916256157635;0.463054187192118
BL-45-L5;min;20;0.12727273;49;424;0;424;67;224;133;397;205;3;189;NA;0.936320754716981;0.936320754716981;1;1;0;0.1;0;0;0;NA;NA;0.00235849056603774;0;1;0.158018867924528;0.528301886792453;0.313679245283019;0.516372795969773;0.00755667506297229;0.476070528967254
