INSTANCE;BEST
2000-827.tsp;32401361
2000-302.tsp;32548523
2000-24.tsp;32452683
2000-518.tsp;32796203
2000-427.tsp;32573141
2000-216.tsp;32302101
2000-840.tsp;32688712
2000-323.tsp;32621278
2000-103.tsp;32779235
2000-914.tsp;32551992
2000-602.tsp;32685626
2000-634.tsp;32455580
2000-721.tsp;32387902
2000-35.tsp;32322162
2000-118.tsp;32557623
2000-39.tsp;32635451
2000-2.tsp;32513045
2000-824.tsp;32490037
2000-107.tsp;32668787
2000-725.tsp;32523632
2000-933.tsp;32583150
2000-837.tsp;32240681
2000-809.tsp;32399861
2000-531.tsp;32543319
2000-414.tsp;32766041
2000-318.tsp;32428494
2000-116.tsp;32487857
2000-735.tsp;32430672
2000-225.tsp;32526117
2000-412.tsp;32508036
2000-515.tsp;32419031
2000-32.tsp;32808844
2000-315.tsp;32549020
2000-806.tsp;32947891
2000-314.tsp;32390860
2000-514.tsp;32443647
2000-505.tsp;32453096
2000-924.tsp;33021429
2000-501.tsp;32755176
2000-123.tsp;32474317
2000-624.tsp;32420096
2000-235.tsp;32297160
2000-822.tsp;32314749
2000-409.tsp;32570901
2000-7.tsp;32400016
2000-332.tsp;32484673
2000-527.tsp;32729956
2000-320.tsp;32396057
2000-707.tsp;32595833
2000-708.tsp;32727025
2000-717.tsp;32414542
2000-337.tsp;32561519
2000-805.tsp;32823739
2000-732.tsp;32383736
2000-223.tsp;31976970
2000-922.tsp;32842612
2000-925.tsp;32801466
2000-322.tsp;32600968
2000-801.tsp;32667812
2000-816.tsp;32764060
2000-304.tsp;32574687
2000-420.tsp;32591063
2000-401.tsp;32787847
2000-636.tsp;32514538
2000-416.tsp;32458812
2000-819.tsp;32552052
2000-20.tsp;32767228
2000-519.tsp;32938804
2000-214.tsp;32664390
2000-433.tsp;32227076
2000-321.tsp;32519420
2000-131.tsp;32703099
2000-736.tsp;32508852
2000-125.tsp;32526183
2000-607.tsp;32725155
2000-623.tsp;32641841
2000-311.tsp;32998489
2000-835.tsp;32719238
2000-926.tsp;32170325
2000-135.tsp;32741730
2000-817.tsp;32615996
2000-23.tsp;32685657
2000-424.tsp;32634567
2000-540.tsp;32533637
2000-530.tsp;32860423
2000-205.tsp;32494039
2000-820.tsp;32427404
2000-537.tsp;32781634
2000-419.tsp;32592992
2000-802.tsp;32957115
2000-101.tsp;32576449
2000-612.tsp;32658828
2000-815.tsp;32460820
2000-829.tsp;32464737
2000-504.tsp;32379944
2000-929.tsp;32454320
2000-812.tsp;32488696
2000-403.tsp;32518474
2000-739.tsp;32565894
2000-633.tsp;32075680
2000-828.tsp;32340939
2000-723.tsp;32544524
2000-503.tsp;32218092
2000-716.tsp;32279529
2000-938.tsp;32242154
2000-437.tsp;32670303
2000-528.tsp;32797992
2000-204.tsp;32360764
2000-418.tsp;32908947
2000-935.tsp;32423427
2000-737.tsp;32539531
2000-535.tsp;32513178
2000-638.tsp;32282536
2000-231.tsp;32959047
2000-305.tsp;32663170
2000-425.tsp;32645097
2000-724.tsp;32761924
2000-224.tsp;32793417
2000-229.tsp;32379499
2000-16.tsp;32763863
2000-639.tsp;32423441
2000-918.tsp;33128678
2000-512.tsp;32519760
2000-614.tsp;32625867
2000-303.tsp;32475742
2000-117.tsp;32327837
2000-618.tsp;32195037
2000-901.tsp;32267581
2000-26.tsp;32778444
2000-327.tsp;32633139
2000-536.tsp;31995605
2000-138.tsp;32612443
2000-306.tsp;32718585
2000-11.tsp;32536169
2000-832.tsp;32802424
2000-508.tsp;32322835
2000-435.tsp;32721781
2000-516.tsp;32556799
2000-936.tsp;32442153
2000-423.tsp;32605612
2000-625.tsp;32849192
2000-309.tsp;32830754
2000-807.tsp;32113853
2000-838.tsp;32794096
2000-833.tsp;32841797
2000-908.tsp;32751410
2000-124.tsp;32497041
2000-239.tsp;32702258
2000-730.tsp;32361419
2000-533.tsp;32619078
2000-810.tsp;32370033
2000-640.tsp;32256792
2000-308.tsp;32514112
2000-19.tsp;32429659
2000-830.tsp;32366130
2000-307.tsp;32509372
2000-534.tsp;32544014
2000-226.tsp;32806971
2000-502.tsp;32637691
2000-405.tsp;32150434
2000-109.tsp;32637220
2000-14.tsp;32660857
2000-207.tsp;32881848
2000-115.tsp;32267252
2000-33.tsp;32374666
2000-136.tsp;32840511
2000-613.tsp;32751133
2000-911.tsp;32072576
2000-718.tsp;32850845
2000-923.tsp;32375760
2000-202.tsp;32327825
2000-637.tsp;32354573
2000-701.tsp;32307607
2000-818.tsp;32670954
2000-222.tsp;32634966
2000-212.tsp;32464310
2000-620.tsp;32506365
2000-37.tsp;32475142
2000-421.tsp;32725801
2000-825.tsp;32294317
2000-3.tsp;32550968
2000-328.tsp;32474532
2000-813.tsp;32650110
2000-203.tsp;32354427
2000-325.tsp;32436261
2000-434.tsp;32417762
2000-526.tsp;32481455
2000-126.tsp;32693414
2000-709.tsp;32091591
2000-727.tsp;32493975
2000-240.tsp;32262426
2000-217.tsp;32155891
2000-919.tsp;32365611
2000-728.tsp;32477460
2000-128.tsp;32262987
2000-108.tsp;32619567
2000-29.tsp;32764650
2000-230.tsp;32630603
2000-713.tsp;32552910
2000-520.tsp;32516318
2000-234.tsp;32461835
2000-539.tsp;32265417
2000-904.tsp;32375103
2000-839.tsp;32344694
2000-1.tsp;32525797
2000-610.tsp;32617183
2000-27.tsp;32804705
2000-626.tsp;32373993
2000-18.tsp;32522981
2000-704.tsp;32563733
2000-706.tsp;32163058
2000-927.tsp;32688274
2000-616.tsp;32422077
2000-316.tsp;32621671
2000-601.tsp;32297872
2000-603.tsp;32642310
2000-15.tsp;32599925
2000-415.tsp;32933367
2000-440.tsp;32796739
2000-339.tsp;32439066
2000-238.tsp;32335671
2000-213.tsp;32849706
2000-106.tsp;32393975
2000-4.tsp;32535503
2000-34.tsp;32492612
2000-606.tsp;32585728
2000-233.tsp;32353234
2000-6.tsp;32678854
2000-628.tsp;32229417
2000-22.tsp;32867341
2000-313.tsp;32734571
2000-206.tsp;32692233
2000-137.tsp;32759320
2000-836.tsp;32174691
2000-916.tsp;32544461
2000-201.tsp;32584263
2000-130.tsp;32536731
2000-122.tsp;32503974
2000-608.tsp;32662912
2000-705.tsp;32400745
2000-221.tsp;32316435
2000-931.tsp;32713670
2000-629.tsp;32701921
2000-702.tsp;32398929
2000-120.tsp;32503354
2000-210.tsp;32456989
2000-119.tsp;32465958
2000-319.tsp;32460590
2000-301.tsp;32410369
2000-538.tsp;32668399
2000-36.tsp;32636170
2000-907.tsp;32430215
2000-937.tsp;32670919
2000-714.tsp;33051885
2000-902.tsp;32398086
2000-635.tsp;32157454
2000-738.tsp;32489654
2000-726.tsp;32533296
2000-340.tsp;32443456
2000-113.tsp;32615539
2000-211.tsp;32368871
2000-932.tsp;32337887
2000-432.tsp;32891553
2000-129.tsp;32611699
2000-422.tsp;32504369
2000-220.tsp;32425663
2000-506.tsp;32509546
2000-336.tsp;32540513
2000-909.tsp;32650172
2000-209.tsp;32701056
2000-729.tsp;32045303
2000-831.tsp;32644969
2000-733.tsp;32654657
2000-511.tsp;32438284
2000-402.tsp;32609816
2000-17.tsp;32401552
2000-703.tsp;32264429
2000-10.tsp;32519214
2000-834.tsp;32702193
2000-604.tsp;32544579
2000-521.tsp;32850905
2000-912.tsp;32380451
2000-804.tsp;32398737
2000-404.tsp;32437033
2000-38.tsp;32210494
2000-910.tsp;32225357
2000-821.tsp;33028176
2000-5.tsp;32920100
2000-13.tsp;32541602
2000-928.tsp;32753860
2000-127.tsp;32245932
2000-40.tsp;32716470
2000-333.tsp;32638476
2000-436.tsp;32471990
2000-627.tsp;32633392
2000-334.tsp;32349200
2000-823.tsp;32538214
2000-525.tsp;32271873
2000-111.tsp;32532898
2000-324.tsp;32704398
