network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L0;min;20;0.140625;473;0;473;63;456;117;0;0;0;63;456;117;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.133192389006343;0.964059196617336;0.247357293868922;0;0;0;0.133192389006343;0.964059196617336;0.247357293868922
BH-L1;min;20;0.140625;473;0;473;63;456;117;0;0;0;63;456;117;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.133192389006343;0.964059196617336;0.247357293868922;0;0;0;0.133192389006343;0.964059196617336;0.247357293868922
BH-L2;min;20;0.140625;473;0;473;63;456;117;0;0;0;63;456;117;2;1;0;0;2;1;1;0;2;0;2;0;0;0;0;0;0;0;1;0;2;0;2;0;0;1;0.133192389006343;0.964059196617336;0.247357293868922;0;0;0;0.133192389006343;0.964059196617336;0.247357293868922
BH-L3;min;20;0.140625;473;0;473;63;456;117;0;0;0;63;456;117;3;1;0;0;3;1;1;0;3;0;2;0;0;0;0;0;0;0;1;0;3;0;2;0;0;1;0.133192389006343;0.964059196617336;0.247357293868922;0;0;0;0.133192389006343;0.964059196617336;0.247357293868922
BH-L4;min;20;0.140625;473;0;473;63;456;117;0;0;0;63;456;117;4;1;0;0;4;1;1;0;4;0;3;0;0;0;0;0;0;0;1;0;4;0;3;0;0;1;0.133192389006343;0.964059196617336;0.247357293868922;0;0;0;0.133192389006343;0.964059196617336;0.247357293868922
BH-L5;min;20;0.140625;473;0;473;63;456;117;0;0;0;63;456;117;6;1;0;0;6;1;1;0;6;0;4;0;0;0;0;0;0;0;1;0;6;0;4;0;0;1;0.133192389006343;0.964059196617336;0.247357293868922;0;0;0;0.133192389006343;0.964059196617336;0.247357293868922
BH-90-L0;min;20;0.15535714;514;0;514;79;455;159;0;0;0;79;455;159;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.153696498054475;0.885214007782101;0.309338521400778;0;0;0;0.153696498054475;0.885214007782101;0.309338521400778
BH-90-L1;min;20;0.15535714;514;0;514;79;455;159;0;0;0;79;455;159;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.153696498054475;0.885214007782101;0.309338521400778;0;0;0;0.153696498054475;0.885214007782101;0.309338521400778
BH-90-L2;min;20;0.15535714;514;0;514;79;455;159;0;0;0;79;455;159;2;1;0;0;2;1;1;0;2;0;2;0;0;0;0;0;0;0;1;0;2;0;2;0;0;1;0.153696498054475;0.885214007782101;0.309338521400778;0;0;0;0.153696498054475;0.885214007782101;0.309338521400778
BH-90-L3;min;20;0.15535714;514;0;514;79;455;159;0;0;0;79;455;159;4;1;0;0;4;1;1;0;3;0;4;0;0;0;0;0;0;0;1;0;3;0;4;0;0;1;0.153696498054475;0.885214007782101;0.309338521400778;0;0;0;0.153696498054475;0.885214007782101;0.309338521400778
