network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L0;min;20;0.11904422;17275;16819;456;3660;13424;354;3597;12994;228;63;430;126;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.973603473227207;0.0263965267727931;0.211866859623734;0.777076700434153;0.0204920405209841;0.20821997105644;0.75218523878437;0.0131982633863965;0.00364688856729378;0.0248914616497829;0.00729377713458755
BH-L1;min;20;0.11904422;17275;16819;456;3660;13424;354;3597;12994;228;63;430;126;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.973603473227207;0.0263965267727931;0.211866859623734;0.777076700434153;0.0204920405209841;0.20821997105644;0.75218523878437;0.0131982633863965;0.00364688856729378;0.0248914616497829;0.00729377713458755
BH-L2;min;20;0.11904422;17275;16819;456;3660;13424;354;3597;12994;228;63;430;126;4;1;4;0;2;0;1;0;4;0;2;0;1;0;4;0;2;0;1;0;1;0;2;0;0.973603473227207;0.0263965267727931;0.211866859623734;0.777076700434153;0.0204920405209841;0.20821997105644;0.75218523878437;0.0131982633863965;0.00364688856729378;0.0248914616497829;0.00729377713458755
BH-L3;min;20;0.11904422;17275;16819;456;3660;13424;354;3597;12994;228;63;430;126;10;1;8;0;3;0;2;0;8;0;4;0;2;0;7;0;4;0;1;0;2;0;3;0;0.973603473227207;0.0263965267727931;0.211866859623734;0.777076700434153;0.0204920405209841;0.20821997105644;0.75218523878437;0.0131982633863965;0.00364688856729378;0.0248914616497829;0.00729377713458755
BH-L4;min;20;0.11904422;17275;16819;456;3660;13424;354;3597;12994;228;63;430;126;17;1;16;0;4;0;2;0;14;0;6;0;2;0;14;0;5;0;1;0;3;0;3;0;0.973603473227207;0.0263965267727931;0.211866859623734;0.777076700434153;0.0204920405209841;0.20821997105644;0.75218523878437;0.0131982633863965;0.00364688856729378;0.0248914616497829;0.00729377713458755
BH-L5;min;20;0.11904422;17275;16819;456;3660;13424;354;3597;12994;228;63;430;126;35;1;31;0;6;0;3;0;32;0;8;0;3;0;30;0;7;0;1;0;5;0;3;0;0.973603473227207;0.0263965267727931;0.211866859623734;0.777076700434153;0.0204920405209841;0.20821997105644;0.75218523878437;0.0131982633863965;0.00364688856729378;0.0248914616497829;0.00729377713458755
BH-90-L0;min;20;0.12464368;10599;10144;455;1800;7178;1800;1721;6788;1635;79;390;165;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.957071421832248;0.0429285781677517;0.169827342202095;0.677233701292575;0.169827342202095;0.162373808849891;0.640437777148788;0.154259835833569;0.00745353335220304;0.0367959241437871;0.0155675063685253
BH-90-L1;min;20;0.12464368;10599;10144;455;1800;7178;1800;1721;6788;1635;79;390;165;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.957071421832248;0.0429285781677517;0.169827342202095;0.677233701292575;0.169827342202095;0.162373808849891;0.640437777148788;0.154259835833569;0.00745353335220304;0.0367959241437871;0.0155675063685253
BH-90-L2;min;20;0.12464368;10599;10144;455;1800;7178;1800;1721;6788;1635;79;390;165;3;1;3;0;2;0;1;0;2;0;3;0;1;0;2;0;3;0;1;0;1;0;2;0;0.957071421832248;0.0429285781677517;0.169827342202095;0.677233701292575;0.169827342202095;0.162373808849891;0.640437777148788;0.154259835833569;0.00745353335220304;0.0367959241437871;0.0155675063685253
BH-90-L3;min;20;0.12464368;10599;10144;455;1800;7178;1800;1721;6788;1635;79;390;165;10;1;7;0;3;0;1;0;4;0;7;0;1;0;4;0;6;0;1;0;2;0;3;0;0.957071421832248;0.0429285781677517;0.169827342202095;0.677233701292575;0.169827342202095;0.162373808849891;0.640437777148788;0.154259835833569;0.00745353335220304;0.0367959241437871;0.0155675063685253
BH-90-L4;min;20;0.12464368;10599;10144;455;1800;7178;1800;1721;6788;1635;79;390;165;13;1;12;0;5;0;2;0;7;0;11;0;2;0;7;0;10;0;1;0;3;0;4;0;0.957071421832248;0.0429285781677517;0.169827342202095;0.677233701292575;0.169827342202095;0.162373808849891;0.640437777148788;0.154259835833569;0.00745353335220304;0.0367959241437871;0.0155675063685253
BH-90-L5;min;20;0.12464368;10599;10144;455;1800;7178;1800;1721;6788;1635;79;390;165;19;1;18;0;4;0;2;0;11;0;14;0;2;0;11;0;12;0;1;0;4;0;2;0;0.957071421832248;0.0429285781677517;0.169827342202095;0.677233701292575;0.169827342202095;0.162373808849891;0.640437777148788;0.154259835833569;0.00745353335220304;0.0367959241437871;0.0155675063685253
BL-L0;min;20;0.10114175;8875;8439;436;1820;7007;230;1738;6588;113;82;419;117;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.95087323943662;0.0491267605633803;0.205070422535211;0.789521126760563;0.0259154929577465;0.195830985915493;0.74230985915493;0.0127323943661972;0.00923943661971831;0.0472112676056338;0.0131830985915493
BL-L1;min;20;0.10114175;8875;8439;436;1820;7007;230;1738;6588;113;82;419;117;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.95087323943662;0.0491267605633803;0.205070422535211;0.789521126760563;0.0259154929577465;0.195830985915493;0.74230985915493;0.0127323943661972;0.00923943661971831;0.0472112676056338;0.0131830985915493
BL-L2;min;20;0.10114175;8875;8439;436;1820;7007;230;1738;6588;113;82;419;117;2;1;2;0;1;0;1;0;2;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;0.95087323943662;0.0491267605633803;0.205070422535211;0.789521126760563;0.0259154929577465;0.195830985915493;0.74230985915493;0.0127323943661972;0.00923943661971831;0.0472112676056338;0.0131830985915493
BL-L3;min;20;0.10114175;8875;8439;436;1820;7007;230;1738;6588;113;82;419;117;4;1;4;0;2;0;2;0;4;0;3;0;2;0;4;0;2;0;1;0;2;0;2;0;0.95087323943662;0.0491267605633803;0.205070422535211;0.789521126760563;0.0259154929577465;0.195830985915493;0.74230985915493;0.0127323943661972;0.00923943661971831;0.0472112676056338;0.0131830985915493
BL-L4;min;20;0.10114175;8875;8439;436;1820;7007;230;1738;6588;113;82;419;117;7;1;6;0;3;0;2;0;6;0;4;0;2;0;6;0;2;0;1;0;3;0;2;0;0.95087323943662;0.0491267605633803;0.205070422535211;0.789521126760563;0.0259154929577465;0.195830985915493;0.74230985915493;0.0127323943661972;0.00923943661971831;0.0472112676056338;0.0131830985915493
BL-L5;min;20;0.10114175;8875;8439;436;1820;7007;230;1738;6588;113;82;419;117;11;1;9;0;3;0;2;0;10;0;4;0;2;0;9;0;3;0;1;0;3;0;2;0;0.95087323943662;0.0491267605633803;0.205070422535211;0.789521126760563;0.0259154929577465;0.195830985915493;0.74230985915493;0.0127323943661972;0.00923943661971831;0.0472112676056338;0.0131830985915493
