CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
80;FALSE;mmas;0;2.29;7.78;0.46;75;NA;NA;NA;NA;NA
81;FALSE;eas;1;0.25;4.34;0.24;30;NA;NA;254;50;0
82;FALSE;acs;3;2.75;9.34;0.74;78;0.4;NA;NA;27;1
83;FALSE;mmas;2;4;6.84;0.49;6;NA;NA;NA;39;0
84;FALSE;ras;0;1.5;1.84;0.99;54;NA;86;NA;NA;NA
85;TRUE;mmas;3;2.13;3.09;0.12;18;NA;NA;NA;10;1
86;FALSE;acs;1;4.63;8.09;0.61;66;0.77;NA;NA;33;0
87;FALSE;as;0;3.38;5.59;0.37;42;NA;NA;NA;NA;NA
88;FALSE;eas;2;0.88;0.59;0.86;90;NA;NA;160;44;0
89;FALSE;as;1;1.82;9.97;0.8;24;NA;NA;NA;7;0
90;FALSE;ras;3;4.32;4.97;0.3;72;NA;55;NA;30;1
91;FALSE;as;0;4.37;4.21;0.32;81;NA;NA;NA;NA;NA
92;FALSE;ras;2;3.06;8.41;0.87;53;NA;41;NA;48;0
93;FALSE;ras;2;2.87;1.74;0.3;46;NA;41;NA;20;1
94;FALSE;mmas;3;3.35;2.96;0.39;27;NA;NA;NA;13;1
95;FALSE;as;3;1.66;0.25;0.16;48;NA;NA;NA;31;0
96;FALSE;ras;2;2.76;7.59;0.33;33;NA;66;NA;29;1
97;FALSE;as;3;0.18;5.07;0.84;26;NA;NA;NA;40;0
98;FALSE;as;0;1.16;7.38;0.28;78;NA;NA;NA;NA;NA
99;FALSE;acs;1;1.39;8.47;0.09;14;0.04;NA;NA;25;0
100;FALSE;mmas;0;4.03;2.42;0.99;53;NA;NA;NA;NA;NA
101;FALSE;eas;3;0.68;1.17;0.54;55;NA;NA;134;21;0
102;FALSE;as;1;4.1;6.8;0.7;52;NA;NA;NA;23;0
103;FALSE;acs;1;2.36;3.47;0.23;72;0.51;NA;NA;47;0
104;FALSE;ras;3;3.47;8.4;0.17;98;NA;4;NA;47;0
105;FALSE;mmas;1;4.89;8.53;0.05;14;NA;NA;NA;18;0
106;FALSE;ras;0;0.47;4.19;0.46;63;NA;29;NA;NA;NA
107;FALSE;acs;3;1.69;8.06;0.79;85;0.33;NA;NA;17;0
108;FALSE;acs;3;3.79;1.44;0.19;79;0.12;NA;NA;7;1
109;FALSE;mmas;1;2.71;1.64;0.66;41;NA;NA;NA;38;0
110;FALSE;eas;0;3.12;2.57;0.17;7;NA;NA;501;NA;NA
111;FALSE;acs;2;3.76;5.95;0.09;48;0.57;NA;NA;34;1
112;FALSE;acs;3;4.63;4.35;0.43;73;0.08;NA;NA;42;1
113;FALSE;acs;0;4.26;9.77;0.45;82;0.4;NA;NA;NA;NA
114;FALSE;as;1;2.69;6.48;0.47;38;NA;NA;NA;33;0
115;FALSE;acs;0;1.4;9.66;0.36;36;0.68;NA;NA;NA;NA
116;FALSE;ras;1;3.17;6.85;0.68;68;NA;23;NA;39;1
117;FALSE;mmas;2;2.07;8.23;0.15;59;NA;NA;NA;21;1
118;FALSE;ras;3;3.65;2.84;0.75;8;NA;57;NA;43;1
119;FALSE;acs;3;3.65;8;0.34;86;0.25;NA;NA;17;0
120;FALSE;ras;3;0.97;5.98;0.47;22;NA;96;NA;35;1
121;FALSE;ras;3;0.8;1.24;0.15;43;NA;12;NA;44;0
122;FALSE;ras;3;0.45;4.66;0.08;22;NA;80;NA;9;0
123;FALSE;mmas;3;0.03;3.78;0.62;32;NA;NA;NA;21;0
124;FALSE;mmas;0;4.91;2.73;0.57;42;NA;NA;NA;NA;NA
125;FALSE;mmas;3;3.76;1.05;0.43;36;NA;NA;NA;15;0
126;FALSE;mmas;3;3.1;1.83;0.53;39;NA;NA;NA;38;1
127;FALSE;eas;1;4.51;9.3;0.23;56;NA;NA;567;6;0
128;FALSE;mmas;2;2.82;6.65;0.41;33;NA;NA;NA;50;1
129;FALSE;as;2;4.21;7.88;0.31;64;NA;NA;NA;28;0
130;FALSE;acs;1;0.77;0.47;0.96;16;0.8;NA;NA;41;1
131;TRUE;acs;3;3.88;4.83;0.09;24;0.02;NA;NA;17;1
132;FALSE;eas;1;3.18;5.93;0.34;73;NA;NA;403;34;1
133;FALSE;acs;2;0.71;7.64;0.06;46;0.44;NA;NA;15;0
134;FALSE;ras;2;3.42;2;0.61;61;NA;36;NA;38;0
135;FALSE;eas;2;3.88;1.46;0.57;14;NA;NA;460;21;1
136;FALSE;ras;2;3.95;2.26;0.31;50;NA;40;NA;44;0
137;FALSE;acs;2;1.14;0.16;0.46;31;0.26;NA;NA;18;0
138;FALSE;ras;1;1.53;4.14;0.33;5;NA;63;NA;28;1
139;FALSE;mmas;3;4.39;2.37;0.38;21;NA;NA;NA;22;1
140;FALSE;mmas;3;2.11;6.87;0.26;41;NA;NA;NA;33;1
141;FALSE;acs;1;3.58;5.46;0.41;81;0.81;NA;NA;30;1
142;FALSE;acs;2;4.72;0.01;0.27;45;0.07;NA;NA;25;1
143;FALSE;as;1;2.51;1.46;0.58;7;NA;NA;NA;35;0
144;FALSE;eas;3;1.44;7.59;0.79;71;NA;NA;102;43;0
145;FALSE;mmas;0;4.97;3.79;0.23;34;NA;NA;NA;NA;NA
146;FALSE;eas;1;4.75;6.49;0.36;66;NA;NA;434;20;0
147;FALSE;mmas;2;4.01;0.8;0.74;71;NA;NA;NA;25;0
148;FALSE;as;2;5;5.23;0.32;73;NA;NA;NA;10;0
149;FALSE;as;3;0.74;0.51;0.95;37;NA;NA;NA;49;1
150;FALSE;acs;3;3.47;3.36;0.22;60;0.06;NA;NA;35;0
151;FALSE;ras;1;1.94;4.95;0.91;42;NA;19;NA;33;0
152;FALSE;eas;2;3.59;5.5;0.28;42;NA;NA;552;34;0
153;FALSE;as;1;0.06;4.45;0.02;37;NA;NA;NA;38;1
154;FALSE;ras;3;1.9;1.68;0.8;11;NA;10;NA;19;0
155;FALSE;as;3;3.96;4.43;0.49;33;NA;NA;NA;23;1
156;FALSE;mmas;3;2.58;0.08;0.68;22;NA;NA;NA;25;0
157;FALSE;as;2;4.41;1.47;0.22;27;NA;NA;NA;32;0
158;FALSE;eas;2;2.14;1.61;0.12;61;NA;NA;370;23;0
159;FALSE;as;3;0.23;1.71;0.28;17;NA;NA;NA;24;0
160;FALSE;as;3;3.24;4.96;0.39;19;NA;NA;NA;6;0
161;FALSE;as;2;0.8;8.89;0.04;12;NA;NA;NA;26;0
162;FALSE;eas;1;3.29;6.72;0.12;81;NA;NA;29;14;0
163;FALSE;eas;3;1.83;2.42;0.61;55;NA;NA;705;38;0
164;FALSE;ras;3;1.41;1.94;0.92;15;NA;52;NA;39;0
165;FALSE;acs;0;3.78;1.3;0.29;22;0.21;NA;NA;NA;NA
166;FALSE;eas;3;2.01;3.57;0.41;21;NA;NA;630;36;0
167;TRUE;acs;3;4.78;9.82;0.32;24;0.68;NA;NA;26;1
168;FALSE;as;0;2.05;7.4;0.54;32;NA;NA;NA;NA;NA
169;FALSE;eas;3;3.98;7.05;0.06;31;NA;NA;469;34;0
170;FALSE;mmas;1;1.21;4.01;0.29;54;NA;NA;NA;34;1
171;FALSE;eas;0;2.76;4.14;0.38;51;NA;NA;284;NA;NA
172;FALSE;eas;0;2;5.93;0.21;58;NA;NA;140;NA;NA
173;FALSE;as;1;4.49;3.05;0.4;35;NA;NA;NA;17;1
174;FALSE;acs;0;4.36;3.95;0.57;17;0.7;NA;NA;NA;NA
175;FALSE;ras;3;3.52;9.61;0.13;30;NA;49;NA;27;0
176;FALSE;ras;1;3.34;0.74;0.66;28;NA;17;NA;32;0
177;FALSE;as;1;2.58;4.23;0.28;33;NA;NA;NA;31;0
178;FALSE;mmas;1;4.76;3.41;0.2;57;NA;NA;NA;30;1
179;FALSE;as;3;4.66;6.89;0.52;14;NA;NA;NA;26;1
180;FALSE;acs;2;3.25;2.58;0.49;24;0.13;NA;NA;26;1
181;FALSE;acs;0;3.24;6.58;0.16;58;0.19;NA;NA;NA;NA
182;FALSE;acs;3;4.56;8.96;0.2;57;0.48;NA;NA;37;1
183;FALSE;acs;0;4.32;5.57;0.05;14;0.32;NA;NA;NA;NA
184;FALSE;acs;2;2.84;6.62;0.24;25;0.14;NA;NA;32;0
185;FALSE;acs;0;2.16;2.55;0.25;45;0.47;NA;NA;NA;NA
186;FALSE;acs;1;4.88;7;0.28;13;0.16;NA;NA;32;0
187;FALSE;as;2;4.32;2.84;0.48;59;NA;NA;NA;34;1
188;FALSE;acs;3;4.22;9.07;0.38;34;0.17;NA;NA;32;0
189;FALSE;as;3;3.74;3.86;0.04;26;NA;NA;NA;19;1
190;FALSE;mmas;3;4.61;4.94;0.13;11;NA;NA;NA;25;1
191;FALSE;as;3;4.52;4.99;0.08;35;NA;NA;NA;26;1
192;FALSE;acs;2;3.78;2.98;0.14;55;0.23;NA;NA;9;0
193;TRUE;acs;3;2.87;2.71;0.35;42;0.21;NA;NA;27;1
194;FALSE;eas;2;3.67;5.85;0.28;17;NA;NA;118;21;1
195;FALSE;acs;2;4.37;3.31;0.39;22;0;NA;NA;28;0
196;TRUE;acs;3;1.51;5.29;0.18;33;0.42;NA;NA;10;1
197;FALSE;as;1;3.36;9.13;0.16;26;NA;NA;NA;11;1
198;FALSE;acs;3;4.71;7.23;0.14;20;0.01;NA;NA;17;0
199;FALSE;mmas;3;4.39;9.17;0.17;36;NA;NA;NA;24;0
200;FALSE;as;3;3.43;8.13;0.2;60;NA;NA;NA;23;0
201;FALSE;acs;2;4.01;4.53;0.4;20;0.05;NA;NA;13;0
202;FALSE;as;1;2.32;7.88;0.11;42;NA;NA;NA;10;1
203;FALSE;ras;3;0.22;2.09;0.1;48;NA;72;NA;28;0
204;FALSE;mmas;3;2.11;4.36;0.05;22;NA;NA;NA;20;1
205;FALSE;eas;3;3.26;7.3;0.19;44;NA;NA;19;27;0
206;FALSE;ras;1;4.1;9.1;0.38;32;NA;34;NA;24;1
207;FALSE;as;3;0.62;5.36;0.23;50;NA;NA;NA;6;0
208;FALSE;ras;3;2.73;2.04;0.28;8;NA;57;NA;23;1
