CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
12;TRUE;FALSE;178;4;0;NA;NA;1.65;2.11;0.62;12;12
23;TRUE;FALSE;10;5;2;NA;10;1.89;1.09;0.25;23;23
28;TRUE;FALSE;22;1;1;NA;NA;2.36;1.87;0.08;28;28
32;TRUE;FALSE;13;0;1;NA;NA;2.24;2.46;0.35;32;32
102;TRUE;FALSE;8;2;1;NA;NA;1.48;0.8;0.3;102;102
138;TRUE;FALSE;17;0;1;NA;NA;2.49;2.38;0.33;138;138
191;TRUE;FALSE;52;4;0;NA;NA;1.74;2.32;0.5;191;191
192;TRUE;FALSE;82;4;0;NA;NA;2.31;2.45;0.64;192;192
222;TRUE;FALSE;29;0;1;NA;NA;2.43;2.29;0.14;222;222
272;TRUE;FALSE;9;0;1;NA;NA;2.07;1.51;0.2;272;272
293;TRUE;FALSE;13;4;0;NA;NA;2.01;2.1;0.37;293;293
302;TRUE;FALSE;92;4;0;NA;NA;2.05;2.12;0.73;302;302
350;TRUE;FALSE;54;4;0;NA;NA;2.37;2.42;0.54;350;350
366;TRUE;TRUE;85;4;0;NA;NA;2.15;2.28;0.55;366;366
368;TRUE;FALSE;65;4;0;NA;NA;2.08;2.49;0.67;368;368
420;TRUE;FALSE;101;4;0;NA;NA;2.35;2.41;0.57;420;420
448;TRUE;FALSE;101;4;0;NA;NA;2.07;2.33;0.48;448;448
458;TRUE;FALSE;93;4;0;NA;NA;2.16;2.46;0.52;458;458
466;TRUE;FALSE;44;4;0;NA;NA;2.39;2.42;0.53;466;466
469;TRUE;FALSE;77;4;0;NA;NA;2.2;2.31;0.48;469;469
