network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BH-L0;min;20;0.2;415;0;415;100;393;122;0;0;0;100;393;122;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.240963855421687;0.946987951807229;0.293975903614458;0;0;0;0.240963855421687;0.946987951807229;0.293975903614458
BH-L1;min;20;0.2;415;0;415;100;393;122;0;0;0;100;393;122;2;1;0;0;2;1;1;0;2;0;2;0;0;0;0;0;0;0;1;0;2;0;2;0;0;1;0.240963855421687;0.946987951807229;0.293975903614458;0;0;0;0.240963855421687;0.946987951807229;0.293975903614458
BH-L2;min;20;0.2;415;0;415;100;393;122;0;0;0;100;393;122;4;1;0;0;4;1;1;0;3;0;4;0;0;0;0;0;0;0;1;0;3;0;4;0;0;1;0.240963855421687;0.946987951807229;0.293975903614458;0;0;0;0.240963855421687;0.946987951807229;0.293975903614458
BH-L3;min;20;0.235;415;0;415;100;393;122;0;0;0;100;393;122;6;1;0;0;6;1;2;0;6;0;5;0;0;0;0;0;0;0;2;0;6;0;5;0;0;1;0.240963855421687;0.946987951807229;0.293975903614458;0;0;0;0.240963855421687;0.946987951807229;0.293975903614458
BH-L4;min;20;0.23;415;0;415;100;393;122;0;0;0;100;393;122;11;1;0;0;11;1;3;0;10;0;8;0;0;0;0;0;0;0;3;0;10;0;8;0;0;1;0.240963855421687;0.946987951807229;0.293975903614458;0;0;0;0.240963855421687;0.946987951807229;0.293975903614458
BH-L5;min;20;0.26;415;0;415;100;393;122;0;0;0;100;393;122;18;1;0;0;18;1;2;0;16;0;14;0;0;0;0;0;0;0;2;0;16;0;14;0;0;1;0.240963855421687;0.946987951807229;0.293975903614458;0;0;0;0.240963855421687;0.946987951807229;0.293975903614458
BH-65-L0;min;20;0.25;485;0;485;100;461;124;0;0;0;100;461;124;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.206185567010309;0.950515463917526;0.255670103092783;0;0;0;0.206185567010309;0.950515463917526;0.255670103092783
BH-65-L1;min;20;0.25;485;0;485;100;461;124;0;0;0;100;461;124;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.206185567010309;0.950515463917526;0.255670103092783;0;0;0;0.206185567010309;0.950515463917526;0.255670103092783
BH-65-L2;min;20;0.25;485;0;485;100;461;124;0;0;0;100;461;124;5;1;0;0;5;1;1;0;4;0;4;0;0;0;0;0;0;0;1;0;4;0;4;0;0;1;0.206185567010309;0.950515463917526;0.255670103092783;0;0;0;0.206185567010309;0.950515463917526;0.255670103092783
BH-65-L3;min;20;0.25;485;0;485;100;461;124;0;0;0;100;461;124;14;1;0;0;14;1;2;0;9;0;11;0;0;0;0;0;0;0;2;0;9;0;11;0;0;1;0.206185567010309;0.950515463917526;0.255670103092783;0;0;0;0.206185567010309;0.950515463917526;0.255670103092783
BH-65-L4;min;20;0.28;485;0;485;100;461;124;0;0;0;100;461;124;19;1;0;0;19;1;2;0;17;0;10;0;0;0;0;0;0;0;2;0;17;0;10;0;0;1;0.206185567010309;0.950515463917526;0.255670103092783;0;0;0;0.206185567010309;0.950515463917526;0.255670103092783
BH-65-L5;min;20;0.26;485;0;485;100;461;124;0;0;0;100;461;124;22;1;0;0;22;1;2;0;20;0;10;0;0;0;0;0;0;0;2;0;20;0;10;0;0;1;0.206185567010309;0.950515463917526;0.255670103092783;0;0;0;0.206185567010309;0.950515463917526;0.255670103092783
BL-L0;min;20;0.2;385;0;385;100;348;137;0;0;0;100;348;137;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0.25974025974026;0.903896103896104;0.355844155844156;0;0;0;0.25974025974026;0.903896103896104;0.355844155844156
BL-L1;min;20;0.2;385;0;385;100;348;137;0;0;0;100;348;137;2;1;0;0;2;1;1;0;2;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;0.25974025974026;0.903896103896104;0.355844155844156;0;0;0;0.25974025974026;0.903896103896104;0.355844155844156
BL-L2;min;20;0.2;385;0;385;100;348;137;0;0;0;100;348;137;3;1;0;0;3;1;1;0;3;0;2;0;0;0;0;0;0;0;1;0;3;0;2;0;0;1;0.25974025974026;0.903896103896104;0.355844155844156;0;0;0;0.25974025974026;0.903896103896104;0.355844155844156
BL-L3;min;20;0.21;385;0;385;100;348;137;0;0;0;100;348;137;6;1;0;0;6;1;1;0;5;0;5;0;0;0;0;0;0;0;1;0;5;0;5;0;0;1;0.25974025974026;0.903896103896104;0.355844155844156;0;0;0;0.25974025974026;0.903896103896104;0.355844155844156
BL-L4;min;20;0.21;385;0;385;100;348;137;0;0;0;100;348;137;6;1;0;0;6;1;1;0;5;0;5;0;0;0;0;0;0;0;1;0;5;0;5;0;0;1;0.25974025974026;0.903896103896104;0.355844155844156;0;0;0;0.25974025974026;0.903896103896104;0.355844155844156
BL-L5;min;20;0.21;385;0;385;100;348;137;0;0;0;100;348;137;10;1;0;0;10;1;2;0;9;0;7;0;0;0;0;0;0;0;2;0;9;0;7;0;0;1;0.25974025974026;0.903896103896104;0.355844155844156;0;0;0;0.25974025974026;0.903896103896104;0.355844155844156
