network_name;problem_type;number_of_runs;best_known_solution;configurations;regular_configurations;elite_configurations;start_configurations;standard_configurations;end_configurations;regular_start_configurations;regular_standard_configurations;regular_end_configurations;elite_start_configurations;elite_standard_configurations;elite_end_configurations;max_configurations;min_configurations;max_regular_configurations;min_regular_configurations;max_elite_configurations;min_elite_configurations;max_start_configurations;min_start_configurations;max_standard_configurations;min_standard_configurations;max_end_configurations;min_end_configurations;max_regular_start_configurations;min_regular_start_configurations;max_regular_standard_configurations;min_regular_standard_configurations;max_regular_end_configurations;min_regular_end_configurations;max_elite_start_configurations;min_elite_start_configurations;max_elite_standard_configurations;min_elite_standard_configurations;max_elite_end_configurations;min_elite_end_configurations;regular_configurations_rate;elite_configurations_rate;start_configurations_rate;standard_configurations_rate;end_configurations_rate;regular_start_configurations_rate;regular_standard_configurations_rate;regular_end_configurations_rate;elite_start_configurations_rate;elite_standard_configurations_rate;elite_end_configurations_rate
BL-L0;min;20;0.19521317;4364;4016;348;1317;2440;807;1217;2157;642;100;283;165;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.92025664527956;0.07974335472044;0.301787351054079;0.559120073327223;0.184922089825848;0.278872593950504;0.494271310724106;0.14711274060495;0.0229147571035747;0.0648487626031164;0.0378093492208983
BL-L1;min;20;0.19521317;4364;4016;348;1317;2440;807;1217;2157;642;100;283;165;2;1;2;0;2;0;1;0;2;0;2;0;1;0;1;0;1;0;1;0;1;0;2;0;0.92025664527956;0.07974335472044;0.301787351054079;0.559120073327223;0.184922089825848;0.278872593950504;0.494271310724106;0.14711274060495;0.0229147571035747;0.0648487626031164;0.0378093492208983
BL-L2;min;20;0.19521317;4364;4016;348;1317;2440;807;1217;2157;642;100;283;165;4;1;4;0;3;0;2;0;3;0;4;0;2;0;2;0;4;0;1;0;3;0;3;0;0.92025664527956;0.07974335472044;0.301787351054079;0.559120073327223;0.184922089825848;0.278872593950504;0.494271310724106;0.14711274060495;0.0229147571035747;0.0648487626031164;0.0378093492208983
BL-L3;min;20;0.19521317;4364;4016;348;1317;2440;807;1217;2157;642;100;283;165;11;1;9;0;5;0;2;0;6;0;8;0;2;0;4;0;6;0;1;0;3;0;5;0;0.92025664527956;0.07974335472044;0.301787351054079;0.559120073327223;0.184922089825848;0.278872593950504;0.494271310724106;0.14711274060495;0.0229147571035747;0.0648487626031164;0.0378093492208983
BL-L4;min;20;0.19521317;4364;4016;348;1317;2440;807;1217;2157;642;100;283;165;22;1;20;0;5;0;3;0;8;0;21;0;3;0;6;0;20;0;1;0;4;0;5;0;0.92025664527956;0.07974335472044;0.301787351054079;0.559120073327223;0.184922089825848;0.278872593950504;0.494271310724106;0.14711274060495;0.0229147571035747;0.0648487626031164;0.0378093492208983
BL-L5;min;20;0.19521317;4364;4016;348;1317;2440;807;1217;2157;642;100;283;165;27;1;21;0;9;0;4;0;16;0;17;0;4;0;11;0;12;0;2;0;6;0;9;0;0.92025664527956;0.07974335472044;0.301787351054079;0.559120073327223;0.184922089825848;0.278872593950504;0.494271310724106;0.14711274060495;0.0229147571035747;0.0648487626031164;0.0378093492208983
BL-32-L0;min;20;0.23225396;2882;2516;366;640;1802;640;540;1502;474;100;300;166;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0.873004857737682;0.126995142262318;0.22206800832755;0.625260235947259;0.22206800832755;0.187369882026371;0.52116585704372;0.164469118667592;0.0346981263011797;0.104094378903539;0.0575988896599584
BL-32-L1;min;20;0.23225396;2882;2516;366;640;1802;640;540;1502;474;100;300;166;2;1;2;0;1;0;1;0;2;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;0.873004857737682;0.126995142262318;0.22206800832755;0.625260235947259;0.22206800832755;0.187369882026371;0.52116585704372;0.164469118667592;0.0346981263011797;0.104094378903539;0.0575988896599584
BL-32-L2;min;20;0.23225396;2882;2516;366;640;1802;640;540;1502;474;100;300;166;4;1;3;0;2;0;2;0;2;0;4;0;2;0;2;0;3;0;1;0;2;0;2;0;0.873004857737682;0.126995142262318;0.22206800832755;0.625260235947259;0.22206800832755;0.187369882026371;0.52116585704372;0.164469118667592;0.0346981263011797;0.104094378903539;0.0575988896599584
BL-32-L3;min;20;0.23225396;2882;2516;366;640;1802;640;540;1502;474;100;300;166;8;1;6;0;3;0;2;0;4;0;8;0;2;0;4;0;6;0;1;0;2;0;3;0;0.873004857737682;0.126995142262318;0.22206800832755;0.625260235947259;0.22206800832755;0.187369882026371;0.52116585704372;0.164469118667592;0.0346981263011797;0.104094378903539;0.0575988896599584
BL-32-L4;min;20;0.23225396;2882;2516;366;640;1802;640;540;1502;474;100;300;166;19;1;10;0;9;0;2;0;5;0;19;0;2;0;5;0;10;0;1;0;5;0;9;0;0.873004857737682;0.126995142262318;0.22206800832755;0.625260235947259;0.22206800832755;0.187369882026371;0.52116585704372;0.164469118667592;0.0346981263011797;0.104094378903539;0.0575988896599584
BL-32-L5;min;20;0.23225396;2882;2516;366;640;1802;640;540;1502;474;100;300;166;17;1;12;0;8;0;2;0;9;0;16;0;2;0;9;0;11;0;2;0;4;0;8;0;0.873004857737682;0.126995142262318;0.22206800832755;0.625260235947259;0.22206800832755;0.187369882026371;0.52116585704372;0.164469118667592;0.0346981263011797;0.104094378903539;0.0575988896599584
