CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
20;TRUE;FALSE;82;0;0;NA;NA;1.89;2.23;0.58;20;20
23;TRUE;FALSE;45;1;0;NA;NA;1.73;2.39;0.64;23;23
88;TRUE;FALSE;80;4;2;NA;NA;1.48;2.14;0.64;88;88
94;TRUE;FALSE;108;0;0;NA;NA;2.14;2.41;0.43;94;94
118;TRUE;FALSE;90;4;0;NA;NA;1.28;1.55;0.69;118;118
143;TRUE;FALSE;125;4;2;NA;NA;0.83;2.48;0.61;143;143
195;TRUE;FALSE;60;4;0;NA;NA;1.54;2.43;0.61;195;195
219;TRUE;FALSE;130;4;0;NA;NA;2.27;1.86;0.32;219;219
220;TRUE;FALSE;5;4;1;NA;NA;0.71;1.77;0.53;220;220
237;TRUE;FALSE;144;4;0;NA;NA;1.21;2.36;0.67;237;237
242;TRUE;FALSE;157;4;0;NA;NA;2.22;2.38;0.27;242;242
261;TRUE;FALSE;136;4;2;NA;NA;0.92;2.26;0.81;261;261
268;TRUE;FALSE;86;4;0;NA;NA;1.52;2.33;0.47;268;268
321;TRUE;FALSE;146;4;2;NA;NA;0.59;2.39;0.85;321;321
361;TRUE;FALSE;100;4;0;NA;NA;1.33;2.35;0.53;361;361
385;TRUE;FALSE;134;4;2;NA;NA;0.84;2.23;0.84;385;385
401;TRUE;FALSE;64;4;0;NA;NA;1.67;2.4;0.45;401;401
434;TRUE;FALSE;95;4;0;NA;NA;1.58;2.47;0.43;434;434
454;TRUE;FALSE;57;4;0;NA;NA;1.27;2.43;0.6;454;454
456;TRUE;TRUE;162;4;2;NA;NA;0.44;2.37;0.81;456;456
