CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
16;TRUE;FALSE;mmas;3;3.5;0.85;0.18;35;NA;NA;NA;22;0;16;16
30;TRUE;FALSE;acs;3;2.71;9.91;0.65;44;0.99;NA;NA;30;1;30;30
48;TRUE;FALSE;mmas;3;3.26;4.75;0.41;63;NA;NA;NA;42;1;48;48
69;TRUE;FALSE;acs;3;1.97;4.99;0.99;40;0.38;NA;NA;45;1;69;69
82;TRUE;FALSE;ras;3;3.69;2.18;0.84;55;NA;82;NA;24;0;82;82
113;TRUE;FALSE;acs;3;1.82;5.81;0.78;34;0.54;NA;NA;26;0;113;113
132;TRUE;FALSE;acs;3;2.61;0.49;0.54;44;0.46;NA;NA;11;0;132;132
141;TRUE;FALSE;acs;3;4.93;9.27;0.79;65;0.43;NA;NA;43;0;141;141
193;TRUE;FALSE;acs;3;3.44;0.88;0.74;62;0.51;NA;NA;23;0;193;193
236;TRUE;FALSE;acs;3;3.21;0.43;0.73;54;0.18;NA;NA;12;0;236;236
242;TRUE;FALSE;mmas;3;3.58;3.74;0.21;32;NA;NA;NA;14;0;242;242
302;TRUE;FALSE;acs;3;2.71;1.19;0.61;52;0.01;NA;NA;9;0;302;302
331;TRUE;TRUE;acs;3;2.6;1.75;0.62;52;0.26;NA;NA;12;0;331;331
341;TRUE;FALSE;mmas;3;3.92;4.1;0.13;33;NA;NA;NA;12;0;341;341
346;TRUE;FALSE;acs;3;3.66;0.33;0.65;58;0.16;NA;NA;8;0;346;346
379;TRUE;FALSE;acs;3;2.95;0.77;0.49;53;0.32;NA;NA;17;0;379;379
395;TRUE;FALSE;acs;3;2.51;2.51;0.66;55;0.28;NA;NA;12;0;395;395
419;TRUE;FALSE;acs;3;2.65;2.38;0.66;54;0.28;NA;NA;9;0;419;419
