CONFIG_ID;IS_ELITE;IS_BEST;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia;ORIGINAL_CONFIG_ID;TESTING_CONFIG_ID
6;TRUE;FALSE;119;4;0;NA;NA;0.58;1.94;0.66;6;6
13;TRUE;FALSE;156;4;0;NA;NA;0.74;2.09;0.6;13;13
55;TRUE;FALSE;29;4;1;NA;NA;2.03;1.59;0.84;55;55
107;TRUE;FALSE;33;4;0;NA;NA;0.8;1.92;0.41;107;107
114;TRUE;FALSE;95;4;0;NA;NA;0.33;2.07;0.36;114;114
167;TRUE;FALSE;106;4;0;NA;NA;0.98;2.31;0.65;167;167
177;TRUE;FALSE;86;4;0;NA;NA;1.75;2.24;0.5;177;177
190;TRUE;FALSE;189;4;0;NA;NA;1.71;2.2;0.45;190;190
191;TRUE;FALSE;58;4;0;NA;NA;1.23;2.28;0.55;191;191
238;TRUE;FALSE;62;4;0;NA;NA;2.44;2.13;0.37;238;238
248;TRUE;FALSE;148;4;0;NA;NA;1.32;2.25;0.28;248;248
267;TRUE;FALSE;108;4;0;NA;NA;1.73;2.45;0.46;267;267
285;TRUE;FALSE;87;4;0;NA;NA;1.67;2.36;0.48;285;285
302;TRUE;FALSE;73;4;0;NA;NA;1.88;2.22;0.55;302;302
325;TRUE;FALSE;119;4;0;NA;NA;1.69;2.43;0.39;325;325
351;TRUE;TRUE;67;4;0;NA;NA;1.58;2.49;0.41;351;351
352;TRUE;FALSE;67;4;0;NA;NA;1.81;2.47;0.45;352;352
376;TRUE;FALSE;81;4;0;NA;NA;1.81;2.27;0.42;376;376
402;TRUE;FALSE;78;4;0;NA;NA;2.06;2.25;0.54;402;402
403;TRUE;FALSE;87;4;0;NA;NA;1.87;2.49;0.42;403;403
416;TRUE;FALSE;55;4;0;NA;NA;1.48;2.35;0.47;416;416
426;TRUE;FALSE;67;4;0;NA;NA;1.91;2.33;0.44;426;426
